"rownum","BaseItemTypesKey","Block"
0,5734,24
1,5735,23
2,5736,26
3,5737,25
4,5738,24
5,5739,23
6,5740,25
7,5741,26
8,5742,25
9,5743,24
10,5744,23
11,5745,25
12,5746,26
13,5747,25
14,5748,24
15,5749,23
16,5750,25
17,5751,25
18,5752,27
19,5753,29
20,5754,25
21,5755,26
22,5756,24
23,5757,27
24,5758,26
25,5759,25
26,5760,26
27,5761,24
28,5762,27
29,5763,26
30,5764,25
31,5765,26
32,5766,24
33,5767,27
34,5768,26
35,5769,25
36,5770,24
37,5771,26
38,5772,28
39,5773,22
40,5774,24
41,5775,22
42,5776,24
43,5777,23
44,5778,25
45,5779,24
46,5780,22
47,5781,24
48,5782,23
49,5783,25
50,5784,24
51,5785,22
52,5786,24
53,5787,23
54,5788,25
55,5789,22
56,5790,24
57,5791,26
58,5792,24
59,5793,24
60,5794,27
61,5795,26
62,5796,25
63,5797,24
64,5798,27
65,5799,26
66,5800,25
67,5801,24
68,5802,27
69,5803,26
70,5804,25
71,5805,22
72,5806,24
73,5807,26
74,5808,24
75,5809,22
76,5810,24
77,5811,26
78,5812,24
79,5813,22
80,5814,24
81,5815,26
82,5816,24
83,5817,22
84,5818,24
85,5819,24
86,5820,25
87,5821,26
88,5822,24
89,5823,24
90,5824,25
91,5825,26
92,5826,24
93,5827,24
94,5828,25
95,5829,26
96,5830,24
97,5831,20
