"rownum","Buff","[rid]","i32"
0,"global_auras",[480],-1
1,"global_auras",[474],-2
2,"global_auras",[476],-3
3,"global_auras",[478],-4
4,"global_auras",[167],-5
5,"global_auras",[148],-6
6,"global_auras",[154],-7
7,"global_auras",[158],-8
8,"global_auras",[150],-9
9,"global_auras",[964],-10
10,"global_auras",[970],-11
11,"global_auras",[975],-12
12,"global_auras",[992],-13
13,"global_auras",[998],-14
14,"global_auras",[1003],-15
15,"global_auras",[1015],-16
16,"global_auras",[1016],-17
17,"global_auras",[1017],-18
18,"global_auras",[1025],-19
19,"global_auras",[1024],-20
20,"global_auras",[1062],-21
21,"global_auras",[1063],-22
22,"global_auras",[1064],-23
23,"global_auras",[1082],-24
24,"global_auras",[1084],-25
25,"global_auras",[1085],-26
26,"global_auras",[1086],-27
27,"global_auras",[1152],-28
28,"global_auras",[1157],-29
29,"global_auras",[1155],-30
30,"global_auras",[1158],-31
31,"global_auras",[1162],-32
32,"global_auras",[1163],-33
33,"global_auras",[1210],-34
34,"global_auras",[1213],-35
35,"global_auras",[1216],-36
36,"global_auras",[1240],-37
37,"global_auras",[1241],-38
38,"global_auras",[1308],-39
39,"global_auras",[1309],-40
40,"global_auras",[1333],-41
41,"global_auras",[1352],-42
42,"global_auras",[1353],-43
43,"global_auras",[1373],-44
44,"global_auras",[1378],-45
45,"global_auras",[1379],-46
46,"global_auras",[1380],-47
47,"global_auras",[1381],-48
48,"global_auras",[1422],-49
49,"global_auras",[1428],-50
50,"global_auras",[1429],-51
51,"global_auras",[1516],-52
52,"global_auras",[1517],-53
53,"global_auras",[1518],-54
54,"global_auras",[1519],-55
55,"global_auras",[1520],-56
56,"global_auras",[1521],-57
57,"global_auras",[1627],-58
58,"global_auras",[1628],-59
59,"global_auras",[1680],-60
60,"global_auras",[1681],-61
61,"global_auras",[1736],-62
62,"global_auras",[1748],-63
63,"global_auras",[1749],-64
64,"global_auras",[1750],-65
65,"global_auras",[1804],-66
66,"global_auras",[1805],-67
67,"global_auras",[1806],-68
68,"global_auras",[1807],-69
69,"global_auras",[1808],-70
70,"global_auras",[1929],-71
71,"global_auras",[1930],-72
72,"global_auras",[1931],-73
73,"global_auras",[1993],-74
74,"global_auras",[1994],-75
75,"global_auras",[1995],-76
76,"global_auras",[2119],-77
77,"global_auras",[2120],-78
78,"global_auras",[2121],-79
79,"global_auras",[2122],-80
80,"anger",[149],0
81,"anger",[150],1
82,"anger",[151],2
83,"anger",[152],3
84,"hatred",[153],0
85,"hatred",[154],1
86,"hatred",[155],2
87,"hatred",[725],3
88,"hatred",[156],4
89,"wrath",[157],0
90,"wrath",[158],1
91,"wrath",[159],2
92,"wrath",[160],3
93,"haste",[162],0
94,"haste",[474],1
95,"haste",[163],2
96,"steelskin",[1042],0
97,"steelskin",[1491],1
98,"steelskin",[1043],2
99,"ignite",[2],0
100,"ignite",[379],1
101,"ignite",[473],2
