"rownum","Id","ExclusionGroup","i32","i32","i32","i32"
0,"LINK","",0,0,0,0
1,"Entry_1_Simple","",1,1,1,1
2,"Middle_1_SimpleN","",1,1,2,2
3,"Middle_1_SimpleS","",1,1,2,2
4,"End_1_BranchN","",1,1,3,3
5,"End_1_Modal","",1,1,3,3
6,"Entry_2_SimpleS","",2,2,1,1
7,"Middle_2_SimpleN","",2,2,2,2
8,"Entry_2_SimpleN","",2,2,1,1
9,"End_2_BranchN","",2,2,3,3
10,"End_2_Modal","",2,2,3,3
11,"Entry_3_Modal",0,3,3,1,1
12,"Entry_3_Simple","",3,3,1,1
13,"Middle_3_Simple","",3,3,2,2
14,"Middle_3_Modal",0,3,3,2,2
15,"End_3_Triangle","",3,3,3,3
16,"End_3_Loop","",3,3,3,3
17,"Entry_Modal",0,4,4,1,1
18,"Entry_Branched","",4,4,1,1
19,"Entry_Trinket","",4,4,1,1
20,"Entry_Key",0,4,4,1,1
21,"Entry_Relic","",4,4,1,1
22,"Entry_Locked",0,4,4,1,1
23,"Entry_Diamond","",4,4,1,1
24,"Entry_Zig",0,4,4,1,1
25,"Entry_Shortcut","",4,4,1,1
26,"Entry_Gazebo","",4,4,1,1
27,"Middle_Dungeon","",4,4,2,2
28,"Middle_Trinket","",4,4,2,2
29,"Middle_Blocked",0,4,4,2,2
30,"Middle_Path","",4,4,2,2
31,"Middle_Gated",0,4,4,2,2
32,"Middle_Bauble","",4,4,2,2
33,"Middle_Branched","",4,4,2,2
34,"Middle_Fort",0,4,4,2,2
35,"Middle_Heirloom","",4,4,2,2
36,"Middle_Warren",0,4,4,2,2
37,"End_Key",0,4,4,3,3
38,"End_Modal",0,4,4,3,3
39,"End_Chest","",4,4,3,3
40,"End_Vaults","",4,4,3,3
41,"End_Snare","",4,4,3,3
42,"End_Loop","",4,4,3,3
43,"End_Split","",4,4,3,3
44,"End_Shortcut","",4,4,3,3
45,"End_Manor",0,4,4,3,3
46,"End_Zag","",4,4,3,3
