"rownum","Id","TextAudioT1","TextAudioT2","TextAudioT3","TextAudioT4","TextAudioT5","bool","TextAudioT6"
0,"EnvoyGreeting",8855,8863,8870,8880,8885,1,""
1,"MavenBossFightEncounter",8910,9362,9729,10071,10358,"",""
2,"MavenBossVictory",8936,9393,9757,10086,10409,"",""
3,"MavenInvitationToFight",8948,9414,9778,10109,10467,"",""
4,"MavenPassivesWon",8957,9429,9795,10124,10485,"",""
5,"MavenPostfightPrompt",8964,9436,9809,10137,10500,"",""
6,"MavenFirstOffAtlassBossEncounter",8972,9450,9832,10152,10515,"",""
7,"MavenOffAtlasBossEncounter",8975,9456,9835,10156,10518,"",""
8,"MavenFirstOffAtlasBossVictory",8984,9464,9846,10164,10541,"",""
9,"MavenOffAtlasBossVictory",8987,9472,9849,10167,10546,"",""
10,"MavenOffAtlasInvitation",8996,9479,9865,10177,10567,"",""
11,"MavenKitavaComment",8999,9487,9877,10186,10576,"",""
12,"MavenElderComment",9001,9490,9880,10188,10579,"",""
13,"MavenShaperComment",9003,9494,9883,10190,10581,"",""
14,"MavenSirusComment",9006,9497,9886,10192,10584,"",""
15,"MavenGroupBossFightComment",9009,9500,9889,10195,10587,"",""
16,"MavenTrioFightComment",9011,9506,9891,10197,10590,"",""
17,"MavenMerveilFightComment",9014,9512,9894,10200,10593,"",""
18,"MavenWitnessPhaseTransition",9016,9515,9897,10203,10596,"",""
19,"MavenObservingCombatGasp",9024,9527,9527,10215,10605,"",""
20,"MavenIntroMultiBossArena",9027,9554,9909,10227,10617,"",""
21,"MavenOutroMultiBossArena",9037,9569,9923,10236,10632,"",""
22,"MavenReleaseBossIntoArena",9052,9584,9935,10244,10647,"",""
23,"MavenHealSkill",9070,9612,9956,10261,10691,"",""
24,"MavenGuardSkill",9076,9625,9970,10271,10698,"",""
25,"MavenSpaceVines",9082,9632,9976,10277,10702,"",""
26,"MavenSpaceInfuseWeapons",9087,9638,9982,10283,10712,"",""
27,"MavenDamageReductionOrbs",9092,9644,9988,10288,10720,"",""
28,"MavenSpaceFlameWall",9098,9652,9994,10294,10727,"",""
29,"MavenChasingOrb",9103,9659,10001,10300,10733,"",""
30,"MavenSpeedZones",9109,9665,10007,10306,10739,"",""
31,"MavenBossClone",9115,9672,10012,10311,10745,"",""
32,"MavenSpaceCharges",9129,9687,10023,10321,10656,"",""
33,"MavenVoidZones",9129,9687,10023,10321,10656,"",""
34,"MavenAoE",9140,9691,10038,10329,10668,"",""
35,"MavenProjectiles",9150,9705,10046,10335,10677,"",""
36,"MavenTangleInfluenceIntro",12740,12742,12744,12746,12748,"",""
37,"MavenTangleLure",12750,12752,12754,12756,12758,"",""
38,"MavenCleansingFireInfluenceIntro",12760,12762,12764,12766,12768,"",""
39,"MavenCleansingFireLure",12770,12772,12774,12776,12778,"",""
40,"MavenInfiniteHungerEncounter",12780,12782,12784,12786,12788,"",12790
41,"MavenInfiniteHungerDefeated",12792,12794,12796,12798,12800,"",12806
42,"MavenBlackStarEncounter",12812,12815,12817,12819,12821,"",12823
43,"MavenBlackStarDefeated",12825,12827,12829,12831,12833,"",12839
44,"MavenEaterOfWorldsEncounter",12845,12847,12849,12851,12853,"",12859
45,"MavenEaterOfWorldsDefeated",12865,12867,12869,12871,12873,"",12879
46,"MavenSearingExarchEncounter",12885,12887,12889,12891,12893,"",12899
47,"MavenSearingExarchDefeated",12905,12907,12909,12911,12913,"",12919
48,"MavenEldritchLanguageEncounter",12925,12927,12929,12931,12933,"",12935
49,"MavenInteractionWithSearingExarch",12937,12939,"","","","",""
50,"MavenInteractionWithEaterOfWorlds",12940,12944,12946,"","","",""
51,"MavenAllPlayersDead",12948,12950,"","","","",""
52,"MavenAllBossesDead",12952,12954,12956,"","","",""
53,"MavenKeystoneSummonBosses",12959,"","","","","",""
