"rownum","MonsterVarietiesKey","LegionFactionsKey","LegionRanksKey","i32","MiscAnimatedKey","i32","i32","[i32]","[i32]","[i32]","[i32]","[i32]","[i32]","i32","i32","[rid]","MonsterVarietiesKey2"
0,7436,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
1,7437,0,0,0,[3074],10,2,[100],[200],[0],[580],[650],[60],15,50,[1],""
2,7438,0,0,0,[3073],10,2,[100],[200],[0],[440],[600],[60],15,50,[1],""
3,7439,0,0,0,[3074],10,2,[100],[200],[0],[550],[580],[60],15,50,[1],""
4,7440,0,0,0,[],0,2,[],[],[],[],[],[],15,50,[],""
5,7450,0,1,0,[3073],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
6,7453,0,1,1,[3077],10,1,[10],[20],[0],[130],[300],[60],15,50,[1],""
7,7456,0,1,0,[],0,1,[],[],[],[],[],[],15,120,[],""
8,7460,0,2,0,[],0,1,[],[],[],[],[],[],15,50,[],""
9,7463,0,2,2,[],0,1,[],[],[],[],[],[],15,50,[],""
10,7468,0,3,3,[],0,1,[],[],[],[],[],[],15,50,[],""
11,7469,2,0,0,[3078],10,1,[100],[200],[0],[900],[1010],[60],15,60,[1],""
12,7473,2,1,1,[3081],10,1,[130],[200],[0],[170],[550],[75],15,60,[1],""
13,7476,2,1,0,[3080],10,1,[100],[200],[0],[580],[650],[50],15,60,[1],""
14,7481,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
15,7484,2,2,0,[],0,1,[],[],[],[],[],[],15,40,[],""
16,7487,2,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
17,7492,3,0,0,[3086],10,2,[100],[200],[0],[900],[1010],[60],15,50,[1],""
18,7495,3,0,0,[3086],10,1,[100],[200],[0],[900],[1010],[60],15,50,[1],""
19,7501,3,1,0,[],0,1,[],[],[],[],[],[],15,50,[],""
20,7502,3,1,1,[],0,1,[],[],[],[],[],[],15,110,[],""
21,7505,3,1,0,[],0,1,[],[],[],[],[],[],15,110,[],""
22,7511,3,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
23,7514,3,2,1,[],0,1,[],[],[],[],[],[],15,60,[],""
24,7518,3,3,3,[],0,1,[],[],[],[],[],[],15,60,[],7517
25,7521,4,0,0,[3084],10,1,[100],[200],[0],[440],[530],[60],15,50,[1],""
26,7522,4,0,0,[3084],10,1,[100],[200],[0],[440],[520],[60],15,50,[1],""
27,7523,4,0,0,[],0,1,[],[],[],[],[],[],15,60,[],""
28,7533,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
29,7534,4,1,2,[],0,1,[],[],[],[],[],[],15,50,[],""
30,7541,4,2,2,[],0,1,[],[],[],[],[],[],15,60,[],""
31,7544,4,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
32,7547,4,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
33,7549,1,0,0,[3088],10,1,[100],[200],[0],[440],[600],[60],15,50,[1],""
34,7550,1,0,0,[3088],10,1,[100],[200],[0],[440],[550],[60],15,50,[1],""
35,7551,1,0,1,[],0,1,[],[],[],[],[],[],15,50,[],""
36,7561,1,1,2,[],0,3,[],[],[],[],[],[],15,50,[],""
37,7565,1,0,0,[],0,1,[],[],[],[],[],[],15,50,[],""
38,7568,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
39,7570,1,1,0,[],0,1,[],[],[],[],[],[],15,60,[],""
40,7573,1,2,1,[],0,1,[],[],[],[],[],[],15,40,[],""
41,7576,1,2,0,[],0,1,[],[],[],[],[],[],15,60,[],""
42,7579,1,3,3,[],0,1,[],[],[],[],[],[],15,60,[],""
43,7441,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
44,7442,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
45,7443,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
46,7444,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
47,7445,0,57,0,[],0,2,[],[],[],[],[],[],150,50,[],""
48,7457,0,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
49,7458,0,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
50,7459,0,57,0,[],0,1,[],[],[],[],[],[],150,120,[],""
51,7470,2,57,0,[],0,8,[],[],[],[],[],[],150,60,[],""
52,7479,2,57,1,[],0,1,[],[],[],[],[],[],150,60,[],""
53,7480,2,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
54,7498,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
55,7499,3,57,0,[],0,5,[],[],[],[],[],[],150,50,[],""
56,7508,3,57,0,[],0,1,[],[],[],[],[],[],150,50,[],""
57,7509,3,57,1,[],0,1,[],[],[],[],[],[],150,110,[],""
58,7510,3,57,0,[],0,1,[],[],[],[],[],[],150,110,[],""
59,7524,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
60,7525,4,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
61,7526,4,57,0,[],0,3,[],[],[],[],[],[],150,60,[],""
62,7535,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
63,7536,4,57,2,[],0,1,[],[],[],[],[],[],150,50,[],""
64,7552,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
65,7553,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
66,7554,1,57,1,[],0,1,[],[],[],[],[],[],150,50,[],""
67,7562,1,57,2,[],0,3,[],[],[],[],[],[],150,50,[],""
68,7566,1,57,0,[],0,3,[],[],[],[],[],[],150,50,[],""
69,7571,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
70,7572,1,57,0,[],0,1,[],[],[],[],[],[],150,60,[],""
