"rownum","rid","i32","BK2File","SoundFile","bool","BK2File2","bool","rid","f32"
0,42,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,2,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",18385,1.75
2,5370,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,5371,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,5372,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,5373,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,5374,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,5375,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,5376,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,5377,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,5378,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,5379,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,5380,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
