"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterCategory"
0,11414,9886,"Fires Barrage of Arrows\r\nFires Hail of Arrows",0
1,11415,9887,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow",0
2,11416,9888,"Fires Barrage of Arrows\r\nFires Hail of Arrows\r\nFires Forking Arrow\r\nCasts Hatred",0
3,11417,9889,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered",5
4,11418,9890,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered",5
5,11419,9891,"Casts Glacial Cascade\r\nCasts Arctic Armour\r\nUses Glacial Hammer\r\nBecomes Empowered if Allied Fiery Cannibal nearby\r\nGlacial Cascade Triggers Ice Nova on hit while Empowered\r\nGlacial Hammer Triggers Ice Crash on hit while Empowered\r\nCasts Purity of Ice",5
6,11420,9892,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered",5
7,11421,9893,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered",5
8,11422,9894,"Casts Firestorm\r\nCasts Flame Dash\r\nBecomes Empowered if allied Frozen Cannibal nearby\r\nCasts Cremation while Empowered\r\nUses Molten Strike while Empowered\r\nCasts Purity of Fire",5
9,11423,9895,"Reforms after being killed",2
10,11424,9896,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage",2
11,11425,9897,"Reforms after being killed\r\nExplodes on death for 5% of life as Physical, Fire, and Lightning Damage\r\nExplosion Scorches",2
12,11426,9975,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers",5
13,11427,9976,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision",5
14,11428,9977,"Casts Cannon Barrage\r\nCasts Tidal Wave\r\nSummons Geysers\r\nPrecision\r\nNearby Allies take reduced Cold Damage",5
15,11429,9985,"Cyclones\r\nLacerates\r\nRains down blades",2
16,11430,9986,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks",2
17,11431,9987,"Cyclones\r\nLacerates\r\nRains down blades\r\nNearby allies have 20% chance to Impale with Attacks\r\nNearby allies have 30% increased Impale Effect",2
18,11432,9916,"Throws Physical Projectiles",1
19,11433,9917,"Throws Physical Projectiles\r\n100% increased Impale Effect",1
20,11434,9918,"Throws Physical Projectiles\r\n100% increased Impale Effect\r\nOwner gains 10% increased Impale Effect",1
21,11435,9898,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive",0
22,11436,9899,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit",0
23,11437,9900,"Attacks with swords when not Defensive\r\nFires Mortars when Defensive\r\nInflicts Withered for 2 seconds on Hit\r\nCreates Aura of Chaos when hitting Poisoned enemies",0
24,11438,9925,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier",1
25,11439,9926,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier",1
26,11440,9927,"Spells have 1% base Critical Strike Chance\r\nHas 400% base Critical Strike Multiplier\r\nNearby allies have +30% Critical Strike Multiplier\r\nCasts Zealotry",1
27,11441,9910,"Cyclones\r\nCleaves",1
28,11442,9911,"Cyclones\r\nCleaves\r\nMaims on hit",1
29,11443,9912,"Cyclones\r\nCleaves\r\nMaims on hit\r\nOwner gains 10% increased Effect of Maim",1
30,11444,9954,"",3
31,11445,9955,"",3
32,11446,9956,"",3
33,11447,9907,"Vomits Blood\r\nApplies Corrupting Blood",1
34,11448,9908,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood",1
35,11449,9909,"Vomits Blood\r\nApplies Corrupting Blood\r\nAbsorbs Corrupting Blood, exploding it and dealing Physical Damage based on the damage of the Corrupting Blood\r\nCasts Pride",1
36,11450,9913,"Attacks with Dualstrike\r\nPeriodically enrages",1
37,11451,9914,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage",1
38,11452,9915,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage",1
39,11453,9979,"",5
40,11454,9980,"",5
41,11455,9981,"",5
42,11456,9982,"Throws Poisonous Concoction",5
43,11457,9983,"Throws Poisonous Concoction\r\n200% increased effect of flasks",5
44,11458,9984,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds",5
45,11459,9933,"",2
46,11460,9934,"",2
47,11461,9935,"",2
48,11462,9991,"Creates moving Cursed Ground",3
49,11463,9992,"Creates moving Cursed Ground\r\nUses Smite",3
50,11464,9993,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies",3
51,11465,9945,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering",3
52,11466,9946,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks",3
