"rownum","Id","BaseItem","UniqueCraft","bool","i32","CraftItemType","Name","CraftTag","bool"
0,"PerandusUnique","",0,1,0,23,"","",1
1,"PhreciaUnique","",1,1,0,24,"","",1
2,"VerusoUnique","",2,1,0,25,"","",1
3,"NevaliusUnique","",3,1,0,26,"","",1
4,"GrattusUnique","",4,1,0,27,"","",1
5,"Metadata/Items/Armours/BodyArmours/BodyStr1",6058,"","",1,1,"","",""
6,"Metadata/Items/Armours/BodyArmours/BodyStr2",6059,"","",1,1,"","",""
7,"Metadata/Items/Armours/BodyArmours/BodyStr3",6060,"","",1,1,"","",""
8,"Metadata/Items/Armours/BodyArmours/BodyStr4",6061,"","",1,1,"","",""
9,"Metadata/Items/Armours/BodyArmours/BodyStr5",6062,"","",1,1,"","",""
10,"Metadata/Items/Armours/BodyArmours/BodyStr6",6063,"","",1,1,"","",""
11,"Metadata/Items/Armours/BodyArmours/BodyStr7",6064,"","",1,1,"","",""
12,"Metadata/Items/Armours/BodyArmours/BodyStr8",6065,"","",1,1,"","",""
13,"Metadata/Items/Armours/BodyArmours/BodyStr9",6066,"","",1,1,"","",""
14,"Metadata/Items/Armours/BodyArmours/BodyStr10",6067,"","",1,1,"","",""
15,"Metadata/Items/Armours/BodyArmours/BodyStr11",6068,"","",1,1,"","",""
16,"Metadata/Items/Armours/BodyArmours/BodyStr12",6069,"","",1,1,"","",""
17,"Metadata/Items/Armours/BodyArmours/BodyStr13",6070,"","",1,1,"","",""
18,"Metadata/Items/Armours/BodyArmours/BodyStr14",6071,"","",1,1,"","",""
19,"Metadata/Items/Armours/BodyArmours/BodyStr15",6072,"","",1,1,"","",""
20,"Metadata/Items/Armours/BodyArmours/BodyStr16",6073,"","",1,1,"","",""
21,"Metadata/Items/Armours/BodyArmours/BodyStr17",6074,"","",1,1,"","",""
22,"Metadata/Items/Armours/BodyArmours/BodyDex1",6079,"","",2,1,"","",""
23,"Metadata/Items/Armours/BodyArmours/BodyDex2",6080,"","",2,1,"","",""
24,"Metadata/Items/Armours/BodyArmours/BodyDex3",6081,"","",2,1,"","",""
25,"Metadata/Items/Armours/BodyArmours/BodyDex4",6082,"","",2,1,"","",""
26,"Metadata/Items/Armours/BodyArmours/BodyDex5",6083,"","",2,1,"","",""
27,"Metadata/Items/Armours/BodyArmours/BodyDex6",6084,"","",2,1,"","",""
28,"Metadata/Items/Armours/BodyArmours/BodyDex7",6085,"","",2,1,"","",""
29,"Metadata/Items/Armours/BodyArmours/BodyDex8",6086,"","",2,1,"","",""
30,"Metadata/Items/Armours/BodyArmours/BodyDex9",6087,"","",2,1,"","",""
31,"Metadata/Items/Armours/BodyArmours/BodyDex10",6088,"","",2,1,"","",""
32,"Metadata/Items/Armours/BodyArmours/BodyDex11",6089,"","",2,1,"","",""
33,"Metadata/Items/Armours/BodyArmours/BodyDex12",6090,"","",2,1,"","",""
34,"Metadata/Items/Armours/BodyArmours/BodyDex13",6091,"","",2,1,"","",""
35,"Metadata/Items/Armours/BodyArmours/BodyDex14",6092,"","",2,1,"","",""
36,"Metadata/Items/Armours/BodyArmours/BodyDex15",6093,"","",2,1,"","",""
37,"Metadata/Items/Armours/BodyArmours/BodyDex16",6094,"","",2,1,"","",""
38,"Metadata/Items/Armours/BodyArmours/BodyDex17",6095,"","",2,1,"","",""
39,"Metadata/Items/Armours/BodyArmours/BodyInt1",6099,"","",3,1,"","",""
40,"Metadata/Items/Armours/BodyArmours/BodyInt2",6100,"","",3,1,"","",""
41,"Metadata/Items/Armours/BodyArmours/BodyInt3",6101,"","",3,1,"","",""
42,"Metadata/Items/Armours/BodyArmours/BodyInt4",6102,"","",3,1,"","",""
43,"Metadata/Items/Armours/BodyArmours/BodyInt5",6103,"","",3,1,"","",""
44,"Metadata/Items/Armours/BodyArmours/BodyInt6",6104,"","",3,1,"","",""
45,"Metadata/Items/Armours/BodyArmours/BodyInt7",6105,"","",3,1,"","",""
46,"Metadata/Items/Armours/BodyArmours/BodyInt8",6106,"","",3,1,"","",""
47,"Metadata/Items/Armours/BodyArmours/BodyInt9",6107,"","",3,1,"","",""
48,"Metadata/Items/Armours/BodyArmours/BodyInt10",6108,"","",3,1,"","",""
49,"Metadata/Items/Armours/BodyArmours/BodyInt11",6109,"","",3,1,"","",""
50,"Metadata/Items/Armours/BodyArmours/BodyInt12",6110,"","",3,1,"","",""
51,"Metadata/Items/Armours/BodyArmours/BodyInt13",6111,"","",3,1,"","",""
52,"Metadata/Items/Armours/BodyArmours/BodyInt14",6112,"","",3,1,"","",""
53,"Metadata/Items/Armours/BodyArmours/BodyInt15",6113,"","",3,1,"","",""
54,"Metadata/Items/Armours/BodyArmours/BodyInt16",6114,"","",3,1,"","",""
55,"Metadata/Items/Armours/BodyArmours/BodyInt17",6115,"","",3,1,"","",""
56,"Metadata/Items/Armours/BodyArmours/BodyStrDex1",6119,"","",4,1,"","",""
57,"Metadata/Items/Armours/BodyArmours/BodyStrDex2",6120,"","",4,1,"","",""
58,"Metadata/Items/Armours/BodyArmours/BodyStrDex3",6121,"","",4,1,"","",""
59,"Metadata/Items/Armours/BodyArmours/BodyStrDex4",6122,"","",4,1,"","",""
60,"Metadata/Items/Armours/BodyArmours/BodyStrDex5",6123,"","",4,1,"","",""
61,"Metadata/Items/Armours/BodyArmours/BodyStrDex6",6124,"","",4,1,"","",""
62,"Metadata/Items/Armours/BodyArmours/BodyStrDex7",6125,"","",4,1,"","",""
63,"Metadata/Items/Armours/BodyArmours/BodyStrDex8",6126,"","",4,1,"","",""
64,"Metadata/Items/Armours/BodyArmours/BodyStrDex9",6127,"","",4,1,"","",""
65,"Metadata/Items/Armours/BodyArmours/BodyStrDex10",6128,"","",4,1,"","",""
66,"Metadata/Items/Armours/BodyArmours/BodyStrDex11",6129,"","",4,1,"","",""
67,"Metadata/Items/Armours/BodyArmours/BodyStrDex12",6130,"","",4,1,"","",""
68,"Metadata/Items/Armours/BodyArmours/BodyStrDex13",6131,"","",4,1,"","",""
69,"Metadata/Items/Armours/BodyArmours/BodyStrDex14",6132,"","",4,1,"","",""
70,"Metadata/Items/Armours/BodyArmours/BodyStrDex15",6133,"","",4,1,"","",""
71,"Metadata/Items/Armours/BodyArmours/BodyStrDex16",6134,"","",4,1,"","",""
72,"Metadata/Items/Armours/BodyArmours/BodyStrDex17",6135,"","",4,1,"","",""
73,"Metadata/Items/Armours/BodyArmours/BodyStrInt1",6139,"","",6,1,"","",""
74,"Metadata/Items/Armours/BodyArmours/BodyStrInt2",6140,"","",6,1,"","",""
75,"Metadata/Items/Armours/BodyArmours/BodyStrInt3",6141,"","",6,1,"","",""
76,"Metadata/Items/Armours/BodyArmours/BodyStrInt4",6142,"","",6,1,"","",""
77,"Metadata/Items/Armours/BodyArmours/BodyStrInt5",6143,"","",6,1,"","",""
78,"Metadata/Items/Armours/BodyArmours/BodyStrInt6",6144,"","",6,1,"","",""
79,"Metadata/Items/Armours/BodyArmours/BodyStrInt7",6145,"","",6,1,"","",""
