"rownum","Tattoo","Override","Set","Tribe","OverrideType"
0,11268,0,0,0,""
1,11269,1,0,0,""
2,11270,2,0,0,""
3,11271,3,0,0,""
4,11272,4,0,0,""
5,11273,5,0,0,""
6,11274,6,0,0,""
7,11275,7,0,1,""
8,11276,8,0,1,""
9,11277,9,0,1,""
10,11278,10,2,1,""
11,11279,11,0,1,""
12,11280,12,0,1,""
13,11281,13,0,1,""
14,11282,14,0,2,""
15,11283,15,0,2,""
16,11284,16,0,2,""
17,11285,17,0,2,""
18,11286,18,0,2,""
19,11287,19,0,2,""
20,11288,20,0,2,""
21,11289,21,0,3,""
22,11290,22,0,3,""
23,11291,23,0,3,""
24,11292,24,2,3,""
25,11293,25,0,3,""
26,11294,26,0,3,""
27,11295,27,0,3,""
28,11296,28,0,4,""
29,11297,29,1,4,""
30,11298,30,2,4,""
31,11299,31,1,4,""
32,11300,32,1,4,""
33,11301,33,1,4,""
34,11302,34,2,4,""
35,11303,35,1,5,""
36,11304,36,1,5,""
37,11305,37,1,5,""
38,11306,38,2,5,""
39,11307,39,2,5,""
40,11308,40,1,5,""
41,11309,41,1,5,""
42,11310,42,1,6,""
43,11311,43,1,6,""
44,11312,44,1,6,""
45,11313,45,1,6,""
46,11314,46,1,6,""
47,11315,47,1,6,""
48,11316,48,1,6,""
49,11317,49,2,7,""
50,11318,50,2,7,""
51,11319,51,2,7,""
52,11320,52,2,7,""
53,11321,53,2,7,""
54,11322,54,2,7,""
55,11323,55,2,7,""
56,11324,56,1,8,""
57,11325,57,1,8,""
58,11326,58,2,8,""
59,11327,59,1,8,""
60,11328,60,2,8,""
61,11329,61,2,8,""
62,11330,62,1,8,""
63,11331,63,2,9,""
64,11332,64,2,9,""
65,11333,65,2,9,""
66,11334,66,0,9,""
67,11335,67,2,9,""
68,11336,68,2,9,""
69,11337,69,2,9,""
70,11338,70,3,10,""
71,11339,71,3,10,""
72,11340,72,3,10,""
73,11341,73,3,10,""
74,11342,74,3,10,""
75,11343,75,3,10,""
76,11344,76,3,10,""
77,11345,77,3,10,""
78,11346,78,4,10,""
79,11347,79,4,10,""
80,11348,80,4,10,""
81,11349,81,5,10,""
82,11350,82,5,10,""
83,11351,83,5,10,""
84,11352,84,6,10,""
85,11353,85,6,10,""
86,11354,86,6,10,""
87,11355,87,3,10,""
88,11356,88,3,10,""
89,11357,89,4,10,""
90,11358,90,5,10,""
91,11359,91,6,10,""
92,11360,92,7,10,15
