"rownum","BaseItemType","i32","i32"
0,5087,30,105
1,5086,160,105
2,4986,150,131
3,4970,0,0
4,5089,30,105
5,5088,160,105
6,5007,150,131
7,5016,160,105
8,4926,15,3
9,4925,95,62
10,4927,200,0
11,4924,5,0
12,5091,160,131
13,5043,30,105
14,5042,160,105
15,4981,150,131
16,5080,210,234
17,5092,180,234
18,5076,150,131
19,5046,120,131
20,5004,250,131
21,5011,0,160
22,5010,0,160
23,5067,160,105
24,5047,120,131
25,4951,175,131
26,5006,200,131
27,5034,30,105
28,5037,160,105
29,5036,60,211
30,5097,0,0
31,4920,15,62
32,4919,25,62
33,4923,1100,235
34,4921,550,338
35,4916,65,62
36,4915,45,62
37,5005,450,340
38,4922,550,340
39,4967,0,0
40,4976,180,131
41,4938,0,0
42,4937,0,0
43,4936,0,0
44,4935,0,0
45,4934,0,0
46,5015,160,105
47,4998,150,131
48,5022,0,160
49,4975,150,131
50,5017,150,0
51,5090,160,0
52,4973,180,131
53,4974,100,131
54,4985,80,62
55,5053,320,211
56,5008,150,131
57,4959,80,62
58,5082,0,0
59,5083,0,0
60,5081,0,0
61,5069,30,105
62,4996,0,0
63,5041,160,0
64,4982,0,0
65,5070,160,105
66,5071,30,105
67,5012,30,105
68,5058,0,0
69,4972,150,131
70,4979,0,0
71,4978,0,0
72,4932,0,0
73,4931,0,0
74,4930,0,0
75,4929,0,0
76,4928,0,0
77,5021,0,0
78,5096,30,105
79,5035,30,105
80,5038,160,105
81,5023,160,105
82,5019,30,105
83,5057,0,0
84,5072,160,105
85,5073,30,105
86,5020,1,160
87,5030,0,0
88,4999,160,131
89,4971,120,131
90,5033,0,0
91,5014,0,0
92,5048,120,131
93,5000,190,235
94,5061,160,0
95,5049,160,235
96,5040,160,0
97,4947,0,0
98,4987,0,0
99,4989,0,0
100,4988,0,0
101,4991,0,0
102,4990,0,0
103,4944,0,0
104,5001,0,0
105,4983,220,235
106,4913,50,62
107,4912,20,62
108,4914,0,0
109,4911,45,62
110,4910,15,62
111,4909,55,62
112,4908,25,62
113,4942,250,235
114,4960,150,131
115,4950,250,131
116,5059,0,0
117,5062,0,0
118,4963,45,131
119,5003,55,131
120,4962,55,131
121,5024,160,105
122,5018,30,105
123,5056,0,0
124,4939,150,131
125,5054,30,105
126,5052,160,105
127,5029,0,0
128,5028,0,0
129,5027,0,0
130,5026,0,0
131,5025,0,0
132,4964,0,0
133,5075,150,235
134,5064,0,0
135,5063,350,0
136,5009,0,0
137,4977,120,131
138,4946,0,0
139,5105,0,0
140,4941,0,0
141,5013,30,105
142,5084,90,131
143,5093,160,105
144,5085,0,0
145,5068,160,105
146,5032,150,131
147,4949,25,3
148,4948,120,131
149,5095,160,105
150,5094,30,105
151,5099,0,0
152,5100,0,0
153,4969,100,44
154,4984,0,0
155,5031,260,338
156,4940,150,131
157,4953,80,62
158,5066,30,105
159,4995,180,235
160,4952,120,131
161,4965,120,0
162,5051,160,105
163,5055,30,105
164,5050,160,131
165,4993,190,235
166,4945,150,131
167,4997,30,62
168,5039,160,131
169,4943,250,235
170,4907,330,235
171,4906,550,340
172,4905,85,62
173,4980,250,131
174,4968,0,0
175,5045,30,105
176,5044,160,105
177,5078,0,0
178,5077,350,0
179,697,100,0
180,448,90,0
181,2237,110,217
182,2236,125,217
183,2214,110,217
184,2213,125,217
185,1061,110,217
186,435,10,200
187,1705,125,217
188,1704,110,217
189,2021,115,200
190,746,90,62
191,1151,110,270
192,420,75,200
193,628,110,131
194,2247,125,200
195,1559,95,131
196,1125,95,0
197,1892,120,220
198,1650,100,131
199,1647,125,62
200,1611,120,0
201,2056,110,205
202,2191,120,205
203,2189,120,271
204,2062,125,270
205,1670,0,271
206,1757,110,200
207,421,95,131
208,458,100,200
209,453,95,200
210,451,25,62
211,438,95,200
212,1582,110,217
213,1583,125,217
214,1837,135,200
215,693,80,131
216,2020,120,200
217,2330,110,217
218,2329,125,217
219,686,100,200
220,838,100,131
221,763,95,200
222,1895,95,131
223,1646,110,131
224,1171,125,131
225,949,125,131
226,945,120,131
227,2193,125,0
228,1651,125,131
229,454,90,62
230,1883,130,200
231,1885,0,0
232,1919,110,217
233,1923,125,217
234,425,80,0
235,696,90,131
236,2103,110,217
237,2102,125,217
238,2301,0,0
239,2058,125,205
240,1896,115,205
241,1597,110,217
242,1598,125,217
243,2256,120,270
244,2255,125,270
245,1236,125,217
246,2117,110,217
247,2116,125,217
248,450,90,0
249,2353,110,217
250,2352,125,217
251,1130,90,131
252,1133,100,131
253,1128,90,131
254,1131,125,131
255,1129,80,131
256,1132,85,200
257,744,75,0
258,749,75,0
259,1736,95,0
260,1060,125,0
261,457,65,0
262,745,75,0
263,1041,90,0
264,732,90,131
265,770,125,131
266,1648,130,220
267,692,95,62
268,459,80,0
269,695,80,62
270,1146,110,131
271,748,90,131
272,642,110,131
273,1157,110,217
274,1808,110,217
275,1803,125,217
276,2194,0,220
277,437,35,62
278,792,120,131
279,429,15,62
280,854,110,131
281,794,120,200
282,1126,110,131
283,750,75,131
284,694,90,131
285,842,110,131
286,1101,125,217
287,428,90,200
288,2195,0,0
289,1142,110,131
290,1028,120,200
291,948,125,131
292,1141,100,131
293,447,120,131
294,1645,115,160
295,844,100,0
296,845,100,131
297,747,95,131
298,629,95,131
299,1843,0,220
300,630,95,0
301,1649,130,0
302,843,100,131
303,730,90,131
304,1100,125,131
305,1062,110,217
306,1149,115,0
307,1150,95,62
308,1148,110,131
309,1137,95,0
310,1145,125,0
311,1147,90,0
312,1751,100,131
313,1143,105,200
314,1934,110,217
315,1938,125,217
316,2418,0,269
317,2416,125,200
318,2417,125,269
319,2414,0,200
320,2415,125,200
321,2382,0,269
322,436,70,131
323,1139,125,131
324,2288,115,0
325,2161,125,270
326,2398,0,0
327,2413,125,269
328,2149,125,200
329,1154,125,200
330,2397,125,269
331,2396,125,269
332,2283,120,200
333,1140,100,131
334,2294,125,200
335,2395,135,200
336,2297,120,200
337,1658,120,131
338,1761,125,200
339,1164,95,220
340,1165,130,200
341,2286,115,200
342,2299,135,200
343,2287,115,200
344,1884,125,131
345,2150,150,270
346,2290,125,200
347,2298,120,200
348,2289,0,271
349,2023,120,271
350,1166,100,200
351,2081,0,0
352,2080,0,0
353,2079,0,0
354,2078,130,0
355,2296,0,0
356,1664,115,131
357,2196,0,0
358,848,90,220
359,1807,110,217
360,1802,125,217
361,655,100,131
362,841,120,131
363,840,100,131
364,1906,0,0
365,433,25,62
366,2295,115,0
367,1719,110,217
368,1720,125,217
369,2160,120,270
370,1762,120,200
371,456,55,62
372,1127,110,217
373,1144,85,160
374,1642,100,62
375,1004,110,131
376,727,70,131
377,864,110,131
378,1170,100,160
379,2412,0,269
380,726,80,0
381,731,90,131
382,1881,110,131
383,449,90,0
384,455,70,62
385,2293,0,0
386,2292,0,0
387,2291,0,0
388,473,0,0
389,756,200,200
390,852,0,0
391,2230,320,411
392,2235,180,272
393,2234,150,189
394,2225,130,91
395,2224,100,133
396,2227,80,52
397,2232,80,161
398,2229,230,244
399,2226,80,52
400,2228,250,184
401,2231,180,272
402,691,100,0
403,638,60,0
404,507,40,0
405,2206,320,411
406,2212,180,272
407,2211,150,189
408,2200,100,133
409,2201,130,91
410,2203,80,52
411,2209,80,161
412,2205,230,244
413,2202,80,52
414,2204,250,184
415,2207,180,272
416,2258,180,0
417,2259,180,0
418,2260,130,0
419,2262,80,0
420,2261,80,0
421,2263,250,0
422,2264,210,0
423,921,150,0
424,442,15,62
425,2266,180,340
426,2265,130,145
427,2268,80,100
428,2267,80,100
429,2269,250,275
430,2270,275,407
431,1702,320,411
432,1711,180,272
433,992,130,0
434,994,80,0
435,996,160,0
436,993,80,0
437,995,250,0
438,1709,180,272
439,1706,150,189
440,1710,180,0
441,1707,100,91
442,1697,130,133
443,1699,80,52
444,1708,80,161
445,1701,230,244
446,1698,80,52
447,1700,250,184
448,1163,150,0
449,1158,100,0
450,1160,80,0
451,1162,110,0
452,1159,80,0
453,1161,250,0
454,645,160,131
455,644,150,131
456,643,160,131
457,2055,320,650
458,2281,175,234
459,2132,130,145
460,2134,80,100
461,2137,190,340
462,2133,80,100
463,2135,250,275
464,394,70,97
465,893,250,407
466,463,85,131
467,574,110,88
468,573,70,42
469,499,90,62
470,572,70,42
471,571,215,136
472,382,50,62
473,381,50,0
474,1998,0,0
475,1996,0,0
476,1992,0,0
477,1994,0,0
478,1993,0,0
479,1995,0,0
480,1997,0,0
481,832,320,510
482,465,195,131
483,2284,150,0
484,570,110,88
485,569,70,42
486,492,175,200
487,568,70,42
488,567,215,136
489,1172,0,0
490,680,0,0
491,1957,0,0
492,1959,0,0
493,1039,320,411
494,1043,180,272
495,1050,180,272
496,1776,180,478
497,1057,150,189
498,1034,130,133
499,1036,80,52
500,1044,80,161
501,1038,230,244
502,1035,80,52
503,1037,250,184
504,2138,180,0
505,991,220,0
506,989,150,0
507,990,120,0
508,398,65,97
509,931,65,0
510,466,15,28
511,2119,640,489
512,2127,300,377
513,2121,200,266
514,2122,260,181
515,2124,160,106
516,2128,160,322
517,2126,360,544
518,2123,160,106
519,2125,500,370
520,2120,460,489
521,2199,0,200
522,783,240,200
523,439,90,200
524,839,160,303
525,1082,190,0
526,1260,0,0
527,1259,0,0
528,1258,0,0
529,1257,0,0
530,1256,0,0
531,1255,0,0
532,1254,0,0
533,1079,175,165
534,2152,100,0
535,1862,80,97
536,512,0,0
537,511,0,0
538,510,0,0
539,509,0,0
540,533,0,0
541,532,0,0
542,531,0,0
543,530,0,0
544,529,0,0
545,528,0,0
546,523,0,0
547,522,0,0
548,521,0,0
549,520,0,0
550,594,0,305
551,593,0,305
552,592,0,200
553,591,0,200
554,2063,0,0
555,2064,0,0
556,2066,0,0
557,2068,0,0
558,2067,0,0
559,2069,0,0
560,2172,180,338
561,1897,110,234
562,1201,0,0
563,1202,0,0
564,1196,0,0
565,1198,0,0
566,1200,0,0
567,1197,0,0
568,1199,0,0
569,1750,160,165
570,1621,110,131
571,1752,130,0
572,1754,80,0
573,1753,80,0
574,1755,250,0
575,444,40,62
576,1064,210,200
577,871,130,113
578,873,80,65
579,872,80,65
580,874,250,229
581,1097,300,407
582,649,110,88
583,651,70,42
584,650,70,42
585,653,0,338
586,652,215,136
587,654,100,407
588,1081,190,0
589,752,190,200
590,937,90,97
591,1853,0,0
592,1852,0,0
593,1851,0,0
594,1829,0,0
595,1828,0,0
596,835,175,165
597,1643,150,97
598,396,130,97
599,1098,130,0
600,1686,175,0
601,1817,130,0
602,1819,80,0
603,1818,80,0
604,1820,250,0
605,1943,640,0
606,1947,360,0
607,1945,300,0
608,1946,200,0
609,1939,260,0
610,1941,160,0
611,1948,160,0
612,1944,460,0
613,1940,160,0
614,1942,500,0
615,716,0,0
616,712,0,0
617,1972,0,0
618,1965,0,0
619,1084,190,0
620,405,225,165
621,2282,120,166
622,403,200,0
623,634,80,0
624,633,80,0
625,632,80,0
626,631,80,0
627,781,190,200
628,1570,320,411
629,1578,180,272
630,1579,180,272
631,2051,180,0
632,1584,150,189
633,1580,180,0
634,1576,100,91
635,1572,130,133
636,1574,80,52
637,1581,80,161
638,1571,230,244
639,1573,80,52
640,1575,250,184
641,1600,640,821
642,1609,360,544
643,2053,360,0
644,1608,300,377
645,1610,360,0
646,1606,200,181
647,1602,260,266
648,1604,160,106
649,1607,160,322
650,1601,460,489
651,1603,160,106
652,1605,500,370
653,392,75,165
654,765,0,0
655,767,0,0
656,766,0,0
657,768,0,0
658,524,130,165
659,1832,0,0
660,1834,0,0
661,1833,0,0
662,1835,0,0
663,401,90,0
664,577,300,510
665,663,190,338
666,485,220,338
667,622,180,338
668,1759,320,0
669,636,200,338
670,1855,150,165
671,562,0,0
672,558,130,113
673,541,95,113
674,554,0,0
675,550,0,0
676,545,130,113
677,537,120,113
678,1816,320,0
679,561,0,0
680,557,80,65
681,542,60,65
682,553,0,0
683,549,0,0
684,546,80,65
685,536,80,65
686,497,150,131
687,728,110,200
688,656,150,338
689,560,0,0
690,556,80,65
691,540,60,65
692,552,0,0
693,548,0,0
694,544,80,65
695,535,80,65
696,559,0,0
697,555,250,229
698,539,190,229
699,551,0,0
700,547,0,0
701,543,250,229
702,534,240,229
703,538,335,0
704,2309,0,0
705,2061,150,0
706,2311,0,330
707,2312,0,0
708,2314,0,0
709,2313,0,0
710,2315,0,0
711,1179,0,0
712,1174,0,0
713,1176,0,0
714,1178,0,0
715,1175,0,0
716,1177,0,0
717,1638,130,113
718,1640,80,65
719,1639,80,65
720,1641,250,229
721,1186,0,0
722,1181,0,0
723,1183,0,0
724,1185,0,0
725,1182,0,0
726,1184,0,0
727,1854,150,0
728,1011,80,0
729,1900,170,337
730,441,70,62
731,508,0,0
732,602,180,200
733,1083,190,0
734,2323,320,411
735,2325,180,272
736,2324,180,272
737,2326,150,189
738,2318,130,91
739,2317,100,133
740,2320,80,52
741,2328,80,161
742,2322,230,244
743,2319,80,52
744,2321,250,184
