"rownum","rid","i32","bool"
0,36045,45,""
1,36046,48,""
2,36047,51,""
3,36048,54,""
4,36049,57,""
5,36050,60,""
6,36051,63,""
7,36052,45,""
8,36053,48,""
9,36054,51,""
10,36055,54,""
11,36056,57,""
12,36057,60,""
13,36058,63,""
14,36059,45,""
15,36060,48,""
16,36061,51,""
17,36062,54,""
18,36063,57,""
19,36064,60,""
20,36065,63,""
21,36066,45,""
22,36067,48,""
23,36068,51,""
24,36069,54,""
25,36070,57,""
26,36071,60,""
27,36072,63,""
28,36073,48,""
29,36074,51,""
30,36075,54,""
31,36076,57,""
32,36077,60,""
33,36078,48,""
34,36079,51,""
35,36080,54,""
36,36081,57,""
37,36082,48,""
38,36083,51,""
39,36084,54,""
40,36085,57,""
41,36086,48,""
42,36087,51,""
43,36088,54,""
44,36089,57,""
45,36090,48,""
46,36091,51,""
47,36092,54,""
48,36093,57,""
49,36098,45,""
50,36099,48,""
51,36100,51,""
52,36094,48,""
53,36095,51,""
54,36096,54,""
55,36097,57,""
56,36101,48,""
57,36102,51,""
58,36103,54,""
59,36104,57,""
60,36105,48,""
61,36106,51,""
62,36107,54,""
63,36108,57,""
64,36109,60,""
65,36110,63,""
66,36111,48,""
67,36112,51,""
68,36113,54,""
69,36114,48,""
70,36115,51,""
71,36116,54,""
72,36117,48,""
73,36118,51,""
74,36119,54,""
75,36120,48,""
76,36121,51,""
77,36122,54,""
78,36123,48,""
79,36124,51,""
80,36125,54,""
81,36126,48,""
82,36127,51,""
83,36128,54,""
84,36129,48,""
85,36130,51,""
86,36131,54,""
87,36132,48,""
88,36133,51,""
89,36134,54,""
90,36135,57,""
91,36136,51,""
92,36137,54,""
93,36138,57,""
94,36139,48,""
95,36140,51,""
96,36141,54,""
97,36142,57,""
98,36143,48,""
99,36144,51,""
100,36145,54,""
101,36146,57,""
102,36147,54,""
103,36148,54,""
104,36149,48,""
105,36150,51,""
106,36151,54,""
107,36152,51,""
108,36153,54,""
109,36154,57,""
110,36155,45,""
111,36156,48,""
112,36157,51,""
113,36158,51,""
114,36159,51,""
115,36160,51,""
116,36161,45,""
117,36162,48,""
118,36163,51,""
119,36164,45,""
120,36165,48,""
121,36166,51,""
122,36167,51,""
123,36168,54,""
124,36169,57,""
125,36170,60,""
126,36171,51,""
127,36172,54,""
128,36173,57,""
129,36174,100,""
130,36175,100,""
131,36176,100,""
132,36177,100,""
133,36178,100,""
134,36179,100,""
135,36180,100,""
136,36181,100,""
137,36182,100,""
138,36183,54,""
139,36184,57,""
140,36185,60,""
141,36186,54,""
142,36187,57,""
143,36188,60,""
144,36189,54,""
145,36190,57,""
146,36191,60,""
147,36192,54,""
148,36193,57,""
149,36194,60,""
150,36195,100,1
151,36196,100,1
152,36197,100,1
153,36198,100,1
154,36199,100,1
155,36200,100,1
156,36201,100,1
157,36202,100,1
158,36203,100,1
159,36204,100,1
160,36205,100,1
161,36206,100,1
162,36207,100,1
163,36208,100,1
164,36209,100,1
165,36210,100,1
166,36211,100,1
167,36212,100,1
168,36213,100,1
169,36214,100,1
170,36215,100,1
171,36216,100,1
172,36217,100,1
173,36218,100,""
174,36219,100,""
175,36220,100,""
176,36221,100,""
177,36222,100,""
178,36223,100,""
179,36224,100,""
180,36225,100,""
181,36226,100,""
182,36227,100,""
183,36228,100,""
184,36229,100,""
185,36230,100,""
186,36231,100,""
187,36232,100,""
188,36233,100,""
189,36234,100,""
190,36235,100,""
191,36236,100,""
192,36237,100,""
193,36238,100,""
194,36239,100,""
195,36240,100,""
196,36241,100,""
197,36242,100,""
198,36243,100,""
199,36244,100,""
200,36245,100,""
201,36246,100,""
202,36247,100,""
203,36248,100,""
204,36249,100,""
205,36250,100,""
206,36251,100,""
207,36252,100,""
208,36253,100,""
209,36254,100,""
210,36255,100,""
211,36256,100,""
212,36257,100,""
213,36258,100,""
214,36259,100,""
215,36260,100,""
216,36261,100,""
217,36262,100,""
218,36263,100,""
219,36264,100,""
220,36265,100,""
221,36266,100,""
222,36267,100,""
223,36268,100,""
224,36269,100,""
225,36270,100,""
