"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","bool","bool","[rid]","[rid]","i32","bool","bool","i32"
0,6811,1957,1959,1,1,60,1,20,120,"",1,[],[],0,1,"",0
1,6810,2197,2197,1,1,60,1,20,120,1,1,[],[],0,1,"",0
2,7134,2628,2628,1,1,60,1,20,120,"","",[],[],0,1,"",0
3,7135,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
4,7136,2628,2628,1,1,60,1,20,120,"",1,[],[],0,1,"",0
5,5135,1089,1089,1,1,60,1,20,120,"","",[],[],0,1,"",0
6,7932,3483,3483,1,1,60,0,20,120,"","",[],[],0,1,"",0
7,8143,3753,3753,1,1,60,1,20,120,"",1,[],[],0,1,"",0
8,8144,3753,3753,1,1,60,1,20,120,"",1,[],[],0,1,"",0
9,8147,3753,3753,1,1,105,1,40,120,1,1,[],[],0,1,"",0
10,8148,3753,3753,1,1,80,1,20,120,1,1,[],[],0,1,"",0
11,8503,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
12,8504,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
13,8505,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
14,8507,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
15,8508,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
16,8509,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
17,8510,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
18,8511,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
19,8512,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
20,8514,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
21,8516,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
22,8517,4419,4419,1,"",30,1,15,120,"",1,[],[],30,"","",0
23,9067,4419,4419,1,1,0,1,5,60,"","",[],[],0,"","",0
24,9372,4419,4419,1,"",105,1,20,75,"",1,[],[],0,"",1,0
25,9373,4419,4419,1,"",105,1,24,75,"",1,[],[],0,"",1,0
26,9374,4419,4419,1,"",105,1,15,75,"",1,[],[],0,"",1,0
27,7933,3483,3483,1,1,60,0,20,120,1,1,[],[],0,1,"",0
28,8506,4419,4419,1,1,60,1,20,120,"",1,[],[],0,"","",0
29,8765,1957,1959,1,1,60,1,25,120,1,1,[],[],60,1,"",180
