"rownum","BaseItemTypesKey","SpawnWeight","ModsKey","Tier","bool","bool","rid","rid","i32"
0,5813,1818,10354,1,"","","","",3
1,5814,1818,10355,1,"","","","",0
2,5815,1818,10356,1,"","","","",0
3,5816,1818,10358,1,"","","","",0
4,5817,1818,10357,1,"","","","",0
5,5818,1818,10359,1,"","","","",0
6,5819,1818,10360,1,"","","","",0
7,5820,1818,10361,1,"","","","",0
8,5821,1,10379,1,"","","","",0
9,5822,1818,10380,1,"","","","",0
10,5823,1818,10381,1,"","","","",0
11,5824,1818,10382,1,"","","","",0
12,5837,2100,10383,2,"","","","",0
13,5825,2100,12127,2,"","","","",0
14,5826,2100,12123,2,"","","","",0
15,5827,2100,12126,2,"","","","",0
16,5828,2100,12128,2,"","","","",0
17,5829,2100,12124,2,"","","","",0
18,5830,350,12135,2,"","","","",0
19,5831,350,12135,2,"","","","",0
20,5832,350,12134,2,"","","","",0
21,5833,350,12134,2,"","","","",0
22,5834,350,12136,2,"","","","",0
23,5835,350,12136,2,"","","","",0
24,5836,2100,12132,2,"","","","",0
25,5838,2400,12125,3,"","","","",0
26,5839,2400,12133,3,"","","","",0
27,5840,2400,12131,3,"","","","",0
28,5841,2400,12137,3,"","","","",0
29,5842,2400,12129,3,"","","","",0
30,5843,800,12130,3,"","","","",0
31,5844,800,12130,3,"","","","",0
32,5845,800,12130,3,"","","","",0
33,5846,2400,12122,3,"","","","",0
34,5847,100,"",4,"","","","",0
