"rownum","Icon","Image"
0,"None",""
1,"ChiyouIcon","Art/2DArt/UIImages/InGame/AchievementChiyou"
2,"GoddessIcon","Art/2DArt/UIImages/InGame/AchievementChiyou_Goddess"
3,"AffinityIcon","Art/2DArt/UIImages/InGame/StashAffinitySymbol"
4,"JingweiIcon","Art/2DArt/UIImages/InGame/AchievementChiyou_Goddess"
5,"GodOfThunderIcon","Art/2DArt/UIImages/InGame/AchievementChiyou_GodOfThunder"
6,"LunarIcon","Art/2DArt/UIImages/InGame/AchievementChiyou_Lunar"
7,"GoldenChiyouIcon","Art/2DArt/UIImages/InGame/AchievementGoldenChiyou"
8,"BlueGodOfThunderIcon","Art/2DArt/UIImages/InGame/AchievementChiyou_GodOfThunderAlt"
9,"Wuzhiqi","Art/2DArt/UIImages/InGame/AchievementChiyou_WaterGoblinMonkey"
