"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","i32"
0,"Fireball","[498,13165]",[610],[25],2.921,0,1027745409
1,"FireballAltX","[498,13165]",[610],[25],3.5,0,1030590824
2,"FireballAltY","[498,13165,14587]","[610,19576]","[25,50]",2.921,0,1027745409
3,"FireballRoyale","[498,13165]","[610,5750,18291]","[25,35,9]",3.4315,0,1026081109
4,"MonsterFireball",[498],"[659,18291]","[-50,9]",2.5,0,1025597925
5,"MonsterFireballContactPos","[498,7078,4577,5824]","[659,18291]","[-50,9]",2.5,0,1025597925
6,"BlightMonsterFireball",[498],[18291],[9],2.5,0,1027101164
7,"GemlingFireball1",[498],[18291],[9],1.7889,0,1025597925
8,"GemlingFireball2",[498],"[173,8619,6196,1210,317,6848,18291]","[2,100,-100,20,-35,20,9]",1.7889,0,1025597925
9,"GemlingFireball3",[498],"[317,18291]","[-35,9]",1.1889,0,1025597925
10,"FireballSuperNovaCitystalker","[498,1776]","[173,5750,18291]","[8,-80,9]",0.6111,0,1025597925
11,"MonsterFireball3Parallel",[498],"[173,8619,6196,6848,18291]","[2,100,-100,20,9]",1.1889,0,1025597925
12,"HolyFireElementalFireball",[498],"[659,18291]","[-50,9]",1.1889,0,1025597925
13,"LegionTemplarFireball",[498],"[659,18291]","[-50,9]",2.75,0,1025758986
14,"HolyCitystalkerFireball",[498],"[659,18291]","[-50,9]",1.1889,0,1025597925
15,"AbberathMinionFireball","[498,7078,4577,5824]",[18291],[9],1.7833,0,1025597925
16,"AbberathMinionFireballMap","[498,7078,4577,5824]",[18291],[9],1.605,0,1025597925
17,"ExileShadowFireball","[1776,498,2317]","[659,173,216,214,175,18291]","[-50,18,50,3,-80,9]",0.9444,0,1025597925
18,"AvariusFireball","[498,4577]","[6151,18291]","[1,9]",4.4444,0,1022739087
19,"AvariusWickermanFireball","[498,4577]","[6151,18291]","[1,9]",2,0,1022739087
20,"AvariusJudgeFireball",[498],"[659,18291]","[-50,9]",1.1889,0,1025597925
21,"BlackguardClericBossFireball",[498],"[659,18291]","[-50,9]",1.1889,0,1025597925
22,"VaalSideAreaBossHolyFireball","[498,854,1776]","[659,860,862,173,175,18291]","[-50,20000,80,6,-30,9]",1.1889,0,1025597925
23,"PhoenixMinionFireball",[498],"[175,659,18291]","[-35,-50,9]",4.6444,0,1025597925
