"rownum","Id","[i32]","i32","[i32]","bool"
0,"MapGeofriNormal",[42],1,[566402691],1
1,"MapGeofriMagic",[42],2,[566402691],1
2,"MapGeofriRare",[42],3,[566402691],1
3,"MapMonkeyNormal",[276],1,[-347898435],1
4,"MapMonkeyMagic",[276],2,[-347898435],1
5,"MapMonkeyUnique","[458,0]",0,"[-25324482,-1822314065]",""
6,"MapAliraSuperZombie",[748],0,[-1805354307],""
7,"MapAliraZombieZerg",[918],0,[-1505545745],1
8,"MapAliraBanditArcher","[1080,0]",0,"[-889802396,2063899922]",1
9,"MapKraitynMagicBandits","[1412,0,1552]",2,"[1724967973,-1574231130,1823943938]",1
10,"MapSkeletonLargeBoss",[1912],1,[-403427272],1
11,"MapStatueMaleBoss",[2088],0,[322021568],""
12,"MapStatueFemaleBoss",[2292],0,[1708533552],""
13,"MapLightningGolemBoss",[2506],0,[-825187885],1
14,"TreeMonkeyParasite",[2684],1,[1719791360],""
15,"AbberathGoats","[2838,0]",4,"[1705637226,-926678782]",1
16,"AbberathGoatsPhase2","[3104,0]",4,"[1822950592,1448877889]",1
17,"DespairBearProjectiles",[3400],0,[-1690171670],1
18,"DoedreStonePillar1",[3540],0,[-79797179],1
19,"DoedreStonePillar2",[3726],0,[688435008],1
20,"DoedreStonePillar3",[3914],0,[-528967967],1
21,"KitavaKitavaDemons",[4090],0,[-1303383412],1
22,"AbberathGoatsMap","[4256,0]",4,"[661800939,-1417488459]",1
23,"AbberathGoatsPhase2Map","[4540,0]",4,"[-1168546020,207989924]",1
24,"AliraSummonCauldron",[4842],0,[521177313],1
25,"ElderUnstableSpawner1",[5028],0,[-220843807],1
26,"ElderUnstableSpawner2","[5274,0]",0,"[583179156,1497289115]",1
27,"ElderUnstableSpawner3",[5710],0,[2031070070],1
28,"ElderUnstableSpawner4",[5960],0,[1274908798],1
29,"ElderUnstableSpawner5",[6222],0,[-1865651863],1
30,"DelveRogueExileSpawner","[6480,0,6696,0,6912,0]",0,"[-1342306113,1534458883,-299910771,-772998909,569764042,-2029478566]",1
