"rownum","BaseItemType","HASH32","i32","i32","[rid]","i32","MonsterMod","bool","CraftTag","row","i32","rid","CraftedMod","ItemClasses","i32"
0,57,606369470,1,100,[4098],300,4090,"",316,12,0,22059,"",[],0
1,58,1860412592,1,100,[4098],300,4091,"",323,13,0,22060,"",[],0
2,59,3614522244,1,100,[4098],300,4092,"",317,14,0,22061,"",[],0
3,60,371926669,1,100,[4098],150,4093,"",313,15,0,22062,"",[],0
4,61,2825035247,1,100,[4098],180,4086,"",309,16,0,22063,"",[],0
5,62,558387611,1,100,[4098],180,4087,"",310,17,0,22064,"",[],0
6,63,4217435183,1,100,[4098],180,4088,"",311,18,0,22065,"",[],0
7,64,3288707393,1,100,[4098],90,4094,"",312,19,0,22066,"",[],0
8,65,3519825351,1,100,[4098],120,4095,"",319,20,0,22067,"",[],0
9,66,2208274413,1,100,[4098],120,4096,"",34,21,0,22068,"",[],0
10,67,1505875072,1,100,[4098],60,4089,"",324,22,0,22069,"",[],0
11,68,2438800725,1,100,[4098],240,4097,"",581,23,0,22070,"",[],0
12,69,3073452723,1,100,[4111],10,4103,"",316,"",1,22059,"",[],0
13,70,394938549,1,100,[4111],10,4104,"",323,"",1,22060,"",[],0
14,71,2074231179,1,100,[4111],10,4105,"",317,"",1,22061,"",[],0
15,72,577438355,1,100,[4111],5,4106,"",313,"",1,22062,"",[],0
16,73,4172909234,1,100,[4111],6,4099,"",309,"",1,22063,"",[],0
17,74,3587074643,1,100,[4111],6,4100,"",310,"",1,22064,"",[],0
18,75,1764598813,1,100,[4111],6,4101,"",311,"",1,22065,"",[],0
19,76,3691047882,1,100,[4111],3,4107,"",312,"",1,22066,"",[],0
20,77,122023020,1,100,[4111],4,4108,"",319,"",1,22067,"",[],0
21,78,3406251003,1,100,[4111],4,4109,"",34,"",1,22068,"",[],0
22,79,890988114,1,100,[4111],2,4102,"",324,"",1,22069,"",[],0
23,80,1170564337,1,100,[4111],8,4110,"",581,"",1,22070,"",[],0
24,81,1148714083,1,100,[4117],0,4112,"",1128,"",2,"","","[25,5,4]",0
25,82,3401098377,1,100,[4117],0,4113,"","","",2,"",3911,[24],1
26,83,1764541432,1,100,[4117],0,4114,"","","",2,"",3909,"[22,23]",0
27,84,194206808,1,100,[4117],0,4115,"","","",2,"",3910,[21],0
