"rownum","i32","i32","i32","i32","i32","i32","rid"
0,4004,2,43,0,0,0,""
1,4005,2,43,0,0,0,""
2,4006,2,43,0,0,0,""
3,4007,2,43,0,0,0,""
4,4008,2,43,0,0,0,""
5,4042,2,43,0,0,0,""
6,4043,2,43,0,0,0,""
7,4044,2,43,0,0,0,""
8,4045,2,43,0,0,0,""
9,4046,2,43,0,0,0,""
10,4047,2,43,0,0,0,""
11,4048,2,43,0,0,0,""
12,4049,2,43,0,0,0,""
13,4050,2,43,0,0,0,""
14,4051,2,43,0,0,0,""
15,4165,2,-16843010,-16843010,-16843010,-16843010,""
16,4166,2,-16843010,-16843010,-16843010,-16843010,""
17,4167,2,-16843010,-16843010,-16843010,-16843010,""
18,4168,2,-16843010,-16843010,-16843010,-16843010,""
19,4169,2,-16843010,-16843010,-16843010,-16843010,""
20,4009,2,-16843010,-16843010,-16843010,-16843010,0
21,4010,2,-16843010,-16843010,-16843010,-16843010,0
22,4011,2,-16843010,-16843010,-16843010,-16843010,0
23,4012,2,-16843010,-16843010,-16843010,-16843010,0
24,4013,2,-16843010,-16843010,-16843010,-16843010,3
25,4014,2,-16843010,-16843010,-16843010,-16843010,3
26,4015,2,-16843010,-16843010,-16843010,-16843010,3
27,4016,2,-16843010,-16843010,-16843010,-16843010,3
28,4017,2,-16843010,-16843010,-16843010,-16843010,1
29,4018,2,-16843010,-16843010,-16843010,-16843010,1
30,4019,2,-16843010,-16843010,-16843010,-16843010,1
31,4020,2,-16843010,-16843010,-16843010,-16843010,1
32,4021,2,-16843010,-16843010,-16843010,-16843010,2
33,4022,2,-16843010,-16843010,-16843010,-16843010,2
34,4023,2,-16843010,-16843010,-16843010,-16843010,2
35,4024,2,-16843010,-16843010,-16843010,-16843010,2
36,677,2,-16843010,-16843010,-16843010,-16843010,4
37,678,2,-16843010,-16843010,-16843010,-16843010,4
38,679,2,-16843010,-16843010,-16843010,-16843010,4
39,680,2,-16843010,-16843010,-16843010,-16843010,4
40,681,2,-16843010,-16843010,-16843010,-16843010,4
41,682,2,-16843010,-16843010,-16843010,-16843010,5
42,683,2,-16843010,-16843010,-16843010,-16843010,5
43,684,2,-16843010,-16843010,-16843010,-16843010,5
44,685,2,-16843010,-16843010,-16843010,-16843010,5
