"rownum","BaseItemType","Block","i32"
0,273,25,0
1,2329,25,0
2,2177,26,0
3,2178,26,0
4,2179,26,0
5,2180,26,0
6,2181,26,0
7,2182,26,0
8,2183,26,0
9,2184,26,0
10,2185,26,0
11,2186,26,0
12,2187,26,0
13,2188,26,0
14,2189,26,0
15,2190,25,0
16,2191,25,0
17,2192,25,0
18,2193,25,0
19,2194,25,0
20,2195,25,0
21,2196,25,0
22,2197,25,0
23,2198,25,0
24,2199,25,0
25,2200,25,0
26,2201,25,0
27,2202,25,0
28,2203,25,0
29,2204,25,0
30,2205,25,0
31,2206,25,0
32,2207,25,0
33,2208,25,0
34,2209,25,0
35,2210,25,0
36,2211,25,0
37,2212,20,0
38,2213,20,0
39,2214,20,0
40,2215,20,0
41,2216,20,0
42,2217,20,0
43,2218,20,0
44,2219,20,0
45,2220,20,0
46,2221,20,0
47,2222,20,0
48,2223,20,0
49,2224,20,0
50,2526,26,0
51,2527,26,0
52,2528,26,0
53,2529,26,0
54,2530,26,0
55,2531,26,0
56,2532,25,0
57,2533,25,0
58,2534,25,0
59,2535,25,0
60,2536,25,0
61,2537,25,0
62,2538,25,0
63,2539,25,0
64,2540,25,0
65,2541,25,0
66,2542,25,0
67,2543,25,0
68,2544,20,0
69,2545,20,0
70,2546,20,0
71,2547,20,0
72,2548,20,0
73,2549,20,0
74,2630,26,0
75,2631,26,0
76,2632,26,0
77,2633,25,0
78,2634,25,0
79,2635,25,0
80,2636,25,0
81,2637,25,0
82,2638,25,0
83,2639,20,0
84,2640,20,0
85,2641,20,0
