"rownum","StatsKey","TagsKeys","bool","i32","bool"
0,10024,[316],1,0,1
1,10025,[34],1,0,1
2,10026,[319],1,0,1
3,10027,[317],1,0,1
4,10028,[323],1,0,1
5,10029,[309],1,0,1
6,10030,[581],1,0,1
7,10031,[313],1,0,1
8,10032,[324],1,0,1
9,10033,[312],1,0,1
10,10034,[310],1,0,1
11,10035,[311],1,0,1
12,2422,[319],"",1,""
13,2421,[34],"",1,""
14,11781,[313],1,0,""
15,11782,[309],1,0,""
16,11783,[311],1,0,""
17,11784,[310],1,0,""
18,11785,[312],1,0,""
19,11786,[608],1,0,""
20,11787,[323],1,0,""
21,11788,[324],1,0,""
22,11789,[572],1,0,""
23,11790,[581],1,0,""
24,11791,[583],1,0,""
25,11792,[579],1,0,""
26,11840,[316],1,0,""
27,11883,[317],1,0,""
28,11884,[580],1,0,""
29,12168,[],1,0,""
30,13338,[659],1,0,""
31,17463,[320],1,0,""
32,17464,[605],1,0,""
33,17465,"[606,653]",1,0,""
34,3722,[],"",0,1
