"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","Armour","Difficulty","MinionDamage","AltLife1","AltDamage1","AltDamage2","AltLife2","EvasiveEvasion","AilmentThreshold","StunThreshold","i32"
0,"1",9.16,11,51,15,17,51,3,1,3.62,22,0,0,0,6000,0,0,0
1,"2",10.26,14,56,20,18,78,6,1,4.59,28,0,0,1,6000,1,0,0
2,"3",11.39,17,60,24,20,106,8,1,5.62,35,0,0,2,6000,2,0,0
3,"4",12.57,20,65,28,24,135,10,1,6.72,41,0,0,3,6000,3,0,0
4,"5",13.78,24,70,33,31,166,13,1,7.88,48,0,0,4,6000,4,0,0
5,"6",15.03,27,75,38,43,197,16,1,9.11,55,0,0,5,6000,5,0,0
6,"7",16.32,31,80,45,57,230,19,1,10.42,63,0,0,5,6000,6,0,0
7,"8",17.65,35,86,50,75,264,22,1,11.8,70,0,0,6,6000,7,0,0
8,"9",19.02,38,91,58,96,299,26,1,13.26,77,0,0,7,6000,8,0,0
9,"10",20.44,42,97,67,120,335,30,1,14.8,85,0,0,8,6000,9,0,0
10,"11",21.9,46,103,78,150,373,34,1,16.44,93,0,0,9,6000,10,0,0
11,"12",23.41,50,110,89,181,412,39,1,18.16,101,0,0,10,6000,11,0,0
12,"13",24.97,54,116,103,219,453,43,1,19.98,109,0,0,11,6000,12,0,0
13,"14",26.57,59,123,118,261,495,49,1,21.9,118,0,0,12,6000,13,0,0
14,"15",28.23,63,130,134,308,538,54,1,23.92,126,0,0,13,6000,14,0,0
15,"16",29.93,67,137,158,358,583,60,1,26.06,135,0,0,14,6000,15,0,0
16,"17",31.69,72,145,178,416,630,67,1,28.31,144,0,0,14,6000,16,0,0
17,"18",33.5,76,152,200,482,678,73,1,30.68,153,0,0,15,6000,17,0,0
18,"19",35.37,81,160,224,549,728,81,1,33.17,163,0,0,16,6000,17,0,0
19,"20",37.29,86,169,249,623,780,89,1,35.8,172,0,0,17,6000,17,0,0
20,"21",39.27,91,177,276,704,834,97,1,38.56,182,0,0,18,6000,17,0,0
21,"22",41.31,96,186,305,796,889,106,1,41.47,192,0,0,19,6000,17,0,0
22,"23",43.41,101,195,335,881,946,116,1,44.52,202,0,0,20,6000,17,0,0
