"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32","ModsKeys0","ModsKeys1","rid","i32","i32","[rid]","[rid]","rid","[rid]","[i32]","rid","rid","rid","i32","i32"
0,1775,[],"[13301,13289]","[13294,13293]",4,100,100,"",158,[],[],22054,2,0,"[13371,13298]",[],22365,"[1066,1068,0]","[1500,1500,1000]","",13302,554,100,15
1,1776,[],"[13303,13289]","[13294,13293]",4,100,100,"",158,[],[],22054,2,0,"[13372,13298]",[],22366,"[1069,1067,0]","[1500,1500,1000]","",13304,552,100,15
2,1777,[],"[13305,13289]","[13294,13293]",4,100,100,"",158,[],[],22054,2,0,"[13373,13298]",[],22367,"[1068,1069,0]","[1500,1500,1000]","",13306,553,100,15
3,1778,[],"[13307,13290]","[13295,13293]",4,100,100,"",158,[],[],22055,2,1,"[13374,13299]",[],22368,"[1068,1066,0]","[1500,1500,1000]","",13308,559,100,15
4,1779,[],"[13309,13290]","[13295,13293]",4,100,100,"",158,[],[],22055,2,1,"[13375,13299]",[],22369,"[1067,1069,0]","[1500,1500,1000]","",13310,558,100,15
5,1780,[],"[13311,13290]","[13295,13293]",4,100,100,"",158,[],[],22055,2,1,"[13376,13299]",[],22370,"[1074,1067,1065,0]","[0,1500,1500,1000]","",13312,560,100,15
6,1781,[],"[13313,13291]","[13296,13293]",4,100,100,"",158,[],[],22056,2,2,"[13377,13300]",[],22371,"[1066,1068,0]","[1500,1500,1000]","",13314,556,100,15
7,1782,[],"[13315,13291]","[13296,13293]",4,100,100,"",158,[],[],22056,2,2,"[13378,13300]",[],22372,"[1068,1065,0]","[1500,1500,1000]","",13316,557,100,15
8,1784,[],"[13317,13291]","[13296,13293]",4,100,100,"",158,[],[],22056,2,2,"[13379,13300]",[],22373,"[1070,1067,0]","[1500,1500,1000]","",13318,555,100,15
9,1785,[],"[13319,13292]","[13297,13293]",33,100,9,"",158,[13320],[13321],22057,1,3,"[13380,13297]",[5125],"",[],[],"",13322,561,100,100
10,1786,[],"[13323,13292]","[13297,13293]",66,100,9,"",158,[],[],22057,0,3,"[13381,13297]",[5124],"",[],[],"",13324,562,100,100
11,1783,[],"[13315,13291]",[13296],0,100,0,"",158,[],[],22056,2,2,"[13378,13300]",[],"",[],[],"",13385,"",0,0
