"rownum","Boss","Progress","MinMapTier","i32","i32","rid","f32","rid"
0,0,0,9,205,351,"",0.15,""
1,0,1,10,206,205,"",0.18,""
2,0,2,11,4205,206,7,0.21,1997
3,0,3,12,208,207,"",0.24,""
4,0,4,13,209,208,"",0.27,""
5,0,5,14,210,209,"",0.3,""
6,0,6,15,211,210,"",0.33,""
7,0,7,16,4205,211,8,0.36,1997
8,0,8,14,4205,212,"",0.4,""
9,1,0,9,321,352,"",0.1,""
10,1,1,10,322,321,"",0.12,""
11,1,2,11,4205,322,9,0.15,1998
12,1,3,12,324,323,"",0.17,""
13,1,4,13,325,324,"",0.2,""
14,1,5,14,326,325,"",0.22,""
15,1,6,15,327,326,"",0.25,""
16,1,7,16,4205,327,10,0.27,1998
17,1,8,14,4205,328,"",0.3,""
