"rownum","i32","i32","[rid]"
0,2,90,"[7925,8171,8353,9337]"
1,3,20,[9254]
2,4,20,[]
3,5,5,[]
4,7,0,[]
5,8,0,[]
6,1,0,[]
7,2,100,[9284]
8,9,0,[7717]
9,10,0,[8052]
10,11,0,[8049]
11,12,0,[]
12,13,0,[]
13,14,0,[]
14,15,0,[]
15,16,1,[8260]
16,16,2,[8260]
17,16,3,[8260]
18,16,4,[8260]
19,16,5,[8260]
20,17,2,[]
21,18,100,[]
22,18,250,"[7459,8181]"
23,18,270,[]
24,18,300,[]
25,18,600,[8703]
26,23,0,[]
27,19,10,[]
28,19,50,[]
29,19,100,[]
30,19,150,[]
31,20,0,[]
32,21,2,[]
33,21,3,[]
34,21,4,[]
35,21,5,[]
36,22,0,[8182]
37,24,0,[]
38,25,0,[]
39,26,0,[]
40,28,0,[]
41,18,1000,[8242]
