"rownum","Result","Recipe","i32"
0,27,"[12,9]",1167
1,28,"[31,33,16]",1168
2,29,"[5,20]",1169
3,30,"[21,29,10]",1170
4,31,"[6,21]",1171
5,32,"[16,20]",1172
6,33,"[26,17]",1173
7,34,"[1,10]",1174
8,35,"[24,5]",1175
9,36,"[0,14]",1176
10,37,"[19,34,9]",1177
11,38,"[0,18,15]",1178
12,39,"[2,4]",1179
13,40,"[3,18]",1180
14,41,"[22,31,16]",1181
15,42,"[7,4]",1182
16,43,"[31,8]",1183
17,44,"[7,2,11]",1184
18,45,"[8,13]",1185
19,46,"[10,22]",1186
20,47,"[11,4]",1187
21,48,"[25,12]",1188
22,49,"[14,1]",1189
23,50,"[18,19,25]",1190
24,51,"[3,32,17]",1191
25,52,"[44,15,1]",1192
26,53,"[34,24,49]",1193
27,54,"[50,39,28]",1194
28,55,"[50,45,28]",1195
29,56,"[43,36,29]",1196
30,57,"[40,47,27]",1197
31,58,"[13,33,45]",1198
32,59,"[42,26,32]",1199
33,60,"[36,41,35]",1200
34,61,"[54,55,46,48]",1201
35,62,"[58,59,49,43]",1202
