"rownum","MonsterVarietiesKey","BestiaryGroupsKey","Name","BestiaryEncountersKey","bool","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool","BestiaryCapturableMonstersKey","IsDisabled","i32","bool"
0,105,3,"Cave Beast",10,"","","","",0,"","","",1344,1
1,107,3,"Enraptured Beast",10,"","","","",0,"","","",1344,1
2,108,3,"Enraptured Beast",10,"","","","",0,"",1,"",1344,1
3,121,3,"Bone Cruncher",10,"","","","",0,"","","",1344,1
4,122,3,"Hairy Bonecruncher",10,"","","","",0,"","","",1344,1
5,123,3,"Shaggy Monstrosity",10,"","","","",0,"","","",1344,1
6,124,3,"Thicket Hulk",10,"","","","",0,"","","",1344,1
7,125,3,"Skeletal Beast",10,"","","","",0,"","","",1344,1
8,129,3,"Corrupted Beast",10,"","","","",0,"","","",1344,1
9,133,3,"Skeletal Beast",10,"","","",125,0,"",7,1,1344,""
10,140,3,"Armour Cruncher",10,"","","","",0,"","","",1344,1
11,141,3,"Forest Beast",10,"","","","",0,"","","",1344,1
12,220,1,"Goatman",6,"","","","",1,"","","",1344,1
13,221,1,"Elder-Blessed Goatman",6,"","","","",1,"","",1,1344,""
14,223,1,"Goatman Stomper",6,"","","","",1,"","","",1344,1
15,234,1,"Bearded Devil",6,"","","","",1,"","",1,1344,""
16,235,1,"Alpine Devil",6,"","","","",1,"","","",1344,1
17,236,1,"Alpine Devil",6,"","","","",1,"",16,"",1344,1
18,237,1,"Bearded Devil",6,"","","","",1,"",15,"",1344,1
19,262,1,"Goatman Shaman",6,"","","","",2,"","","",1344,1
20,273,1,"Goatman Fire-raiser",6,"","","","",2,"","","",1344,1
21,274,1,"Bearded Shaman",6,"","","","",2,"","","",1344,1
22,276,1,"Bearded Skycaller",6,"","","","",2,"","","",1344,1
23,277,1,"Alpine Shaman",6,"","","","",2,"","","",1344,1
24,278,1,"Alpine Shaman",6,"","","","",2,"",23,"",1344,1
25,279,1,"Hill Devil",6,"","","","",1,"","","",1344,1
26,280,1,"Colossus Crusher",6,"","","","",1,"","","",1344,1
27,302,2,"Arctic Wolf",7,"","","","",4,"","","",1344,1
28,303,2,"Snow Wolf",7,"","","","",4,"","","",1344,1
29,304,2,"Freezing Wolf",7,"","","","",4,"","","",1344,1
30,306,2,"Dire Wolf",7,"","","","",4,"","",1,1344,""
31,319,0,"Elder-Blessed Hellion",1,"","","","",3,"","",1,1344,""
32,322,0,"Flame Hellion",1,"","","","",3,"","","",1344,1
33,326,0,"Dune Hellion",1,"","","","",3,"","","",1344,1
34,327,0,"Ruins Hellion",1,"","","","",3,"","","",1344,1
35,330,0,"Mountain Hellion",2,"","","","",3,"","","",1344,1
36,333,0,"Mountain Hellion Alpha",2,"","","","",3,"","","",1344,1
37,335,0,"Enslaved Hellion",1,"","","","",3,"","","",1344,1
38,337,0,"Enslaved Hellion",1,"","","","",3,"",37,"",1344,1
39,343,0,"Shackled Hellion",1,"","","","",3,"","","",1344,1
40,345,0,"Shackled Hellion",1,"","","",343,3,"",39,1,1344,""
41,346,0,"Shackled Hellion",1,"","","",343,3,"",39,1,1344,""
42,347,0,"Shackled Hellion",1,"","","",343,3,"",39,1,1344,""
43,349,1,"Blood Ape",5,"","","","",5,"","","",1344,1
44,352,1,"Dread Primate",5,"","","","",5,"","","",1344,1
45,353,1,"Dread Primate",5,"","","","",5,"",44,"",1344,1
46,354,1,"Stygian Ape",5,"","","","",5,"","","",1344,1
47,360,1,"Infested Ape",5,"","","","",5,"","","",1344,1
48,361,1,"Infested Ape",5,"","","","",5,"",47,"",1344,1
49,362,1,"Blood Chieftain",4,"","","","",28,"","","",1344,1
50,366,1,"Carnage Chieftain",4,"","","","",28,"","","",1344,1
51,367,1,"Stygian Silverback",4,"","","","",28,"","","",1344,1
52,373,1,"Host Chieftain",4,"","","","",28,"","","",1344,1
53,374,1,"Host Chieftain",4,"","","","",28,"",52,"",1344,1
54,376,1,"Carnage Ape",5,"","","","",5,"","","",1344,1
55,378,1,"Barrow Ape",5,"","","","",5,"","","",1344,1
56,429,5,"Rhoa Mare",16,"","","","",6,"","","",1344,1
57,430,5,"Elder-Blessed Rhoa",16,"","","","",6,"","",1,1344,""
