"rownum","Id","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","i32"
0,"Fireball","[498,13199]",[610],[25],2.921,0,1027745409
1,"FireballAltX","[498,13199]",[610],[25],3.5,0,1030590824
2,"FireballAltY","[498,13199,14624]","[610,19617]","[25,50]",2.921,0,1027745409
3,"FireballRoyale","[498,13199]","[610,5750,18328]","[25,35,9]",3.4315,0,1026081109
4,"MonsterFireball",[498],"[659,18328]","[-50,9]",2.5,0,1025597925
5,"MonsterFireballContactPos","[498,7078,4577,5824]","[659,18328]","[-50,9]",2.5,0,1025597925
6,"BlightMonsterFireball",[498],[18328],[9],2.5,0,1027101164
7,"GemlingFireball1",[498],[18328],[9],1.7889,0,1025597925
8,"GemlingFireball2",[498],"[173,8624,6196,1210,317,6848,18328]","[2,100,-100,20,-35,20,9]",1.7889,0,1025597925
9,"GemlingFireball3",[498],"[317,18328]","[-35,9]",1.1889,0,1025597925
10,"FireballSuperNovaCitystalker","[498,1776]","[173,5750,18328]","[8,-80,9]",0.6111,0,1025597925
11,"MonsterFireball3Parallel",[498],"[173,8624,6196,6848,18328]","[2,100,-100,20,9]",1.1889,0,1025597925
12,"HolyFireElementalFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
13,"LegionTemplarFireball",[498],"[659,18328]","[-50,9]",2.75,0,1025758986
14,"HolyCitystalkerFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
15,"AbberathMinionFireball","[498,7078,4577,5824]",[18328],[9],1.7833,0,1025597925
16,"AbberathMinionFireballMap","[498,7078,4577,5824]",[18328],[9],1.605,0,1025597925
17,"ExileShadowFireball","[1776,498,2317]","[659,173,216,214,175,18328]","[-50,18,50,3,-80,9]",0.9444,0,1025597925
18,"AvariusFireball","[498,4577]","[6151,18328]","[1,9]",4.4444,0,1022739087
19,"AvariusWickermanFireball","[498,4577]","[6151,18328]","[1,9]",2,0,1022739087
20,"AvariusJudgeFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
21,"BlackguardClericBossFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
22,"VaalSideAreaBossHolyFireball","[498,854,1776]","[659,860,862,173,175,18328]","[-50,20000,80,6,-30,9]",1.1889,0,1025597925
23,"PhoenixMinionFireball",[498],"[175,659,18328]","[-35,-50,9]",4.6444,0,1025597925
24,"IzaroDaemonFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
25,"MonsterFireballSideArea","[854,498]","[860,862,18328]","[20000,80,9]",1.1889,0,1025597925
26,"ProphecyFireballBurst",[498],"[216,214,18328]","[100,3,9]",1.5222,0,1026134796
27,"EssenceFireballBurst",[498],"[216,18328]","[100,9]",1.5222,0,1026134796
28,"ProphecyMultiFireball",[498],"[173,18328]","[4,9]",1.1889,0,1025597925
29,"MonsterFireballStrMissionBoss",[498],"[175,1788,18328]","[-60,30,9]",0.5889,0,1025597925
30,"MonsterFireballKaomsChest",[498],[18328],[9],1.5222,0,1026134796
31,"MonsterMultiFireball",[498],"[659,173,18328]","[-50,2,9]",0.7778,0,1025597925
32,"MonsterMultiFireballSpectre",[498],"[659,173,18328]","[-50,2,9]",0.7778,0,1025597925
33,"MonsterSplitFireball","[1113,498]","[659,18328]","[-50,9]",0.9556,0,1025597925
34,"MonsterSplitFireballSpectre","[1113,498]","[659,18328]","[-50,9]",0.9556,0,1025597925
35,"MonsterLesserMultiFireball",[498],"[659,173,18328]","[-50,1,9]",0.8889,0,1025597925
36,"MonsterLesserMultiFireballSpectre",[498],"[659,173,18328]","[-50,1,9]",0.8889,0,1025597925
37,"MonsterFireballGoatmanBoss","[498,7078,4577,5824]","[1788,18328]","[30,9]",1.0222,0,1024121530
38,"MonsterFireballVaalSummonedSkeleton",[498],"[659,18328]","[-50,9]",0.9749,0,1027772252
39,"PyroFireball",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
40,"PyroFireballInvasion",[],"[659,18328]","[-50,9]",1.1889,0,1025597925
41,"BloodlinesYellowElementalPyroFireball",[498],"[659,2118,2119,2120,2468,18328]","[-50,8,800,30,-15,9]",0.4467,0,1024148374
42,"PyroFireballBossSideArea",[498],"[659,216,18328]","[-50,120,9]",1.0222,0,1025597925
43,"PyroChaosFireball",[498],"[659,18328]","[-50,9]",1.3556,0,1021933781
44,"WbAnimatedItemChaosFireball","[498,2469,12417]","[1485,2118,2119,2120,1210,18328]","[35,3,700,20,-60,9]",1.3556,0,1021933781
45,"GladiatorBossFireball",[498],"[659,173,18328]","[-50,2,9]",0.9444,0,1027906470
46,"ExileFireball",[498],"[659,18328]","[-50,9]",0.9444,0,1027906470
47,"GemlingFireball",[498],"[659,610,173,18328]","[-50,100,2,9]",0.7778,0,1025758986
48,"ProphecyDragonFireball",[498],"[659,175,173,5750,18328]","[-50,-50,2,75,9]",1.7778,0,1026134796
49,"FrostfireMageDragonFireball",[498],"[659,175,173,5750,18328]","[-50,-50,2,75,9]",1.7778,0,1026134796
50,"WestFireball","[498,4577,7078,5824]","[173,1210,175,18328]","[2,150,-70,9]",3,0,1026134796
51,"KitavaClericFireball",[498],"[659,175,610,5750,18328]","[-50,20,25,50,9]",1.7778,0,1026027422
52,"MonsterFireballRepeat",[498],"[659,18328]","[-50,9]",1.1889,0,1025597925
53,"ReliquaryMonsterFireball","[498,195]","[2118,2119,2120,2468,1788,209,5750,18328]","[3,65,30,-15,80,167,-40,9]",3.8889,0,1025758986
54,"FireballIncusionFire",[498],"[659,18328]","[-40,9]",0.9722,0,1028443341
55,"FireballIncusionLightning",[498],"[659,18328]","[-40,9]",1.0938,0,1028443341
56,"FireballIncursionChaos",[498],"[659,18328]","[-40,9]",2,0,1020054733
57,"FireballIncursionChaosAtlasUber",[498],"[659,18328,175]","[-40,9,-50]",2,0,1020054733
