"rownum","Id","BaseItemTypesKey","HASH16","HASH32","i32","bool","bool","[rid]","rid","Skills","i32","bool","rid","bool"
0,"Metadata/Pet/Kiwi/Basic",4819,37988,-398558118,8,"","",[1],27,[],0,"","",""
1,"Metadata/Pet/Kiwi/Bronze",4820,44438,774276016,8,"","",[1],27,[],0,"","",""
2,"Metadata/Pet/Kiwi/Silver",4821,42132,-80846918,8,"","",[1],27,[],0,"","",""
3,"Metadata/Pet/Kiwi/Gold",4822,60474,1808500721,8,"","",[1],27,[],0,"","",""
4,"Metadata/Pet/Kiwi/Diamond",4823,18975,235029533,9,"","",[1],27,[],0,"","",""
5,"Metadata/Pet/Basilisk/Green",4796,61895,-1091154127,8,"","",[1],86,[],0,"","",""
6,"Metadata/Pet/Basilisk/Infernal",4797,36008,237863557,8,"","",[1],75,[],0,"","",""
7,"Metadata/Pet/Basilisk/Spectral",4798,17172,1286475706,8,"","",[1],86,[],0,"","",""
8,"Metadata/Pet/Frog/Blue",4799,37577,1910039313,8,"","",[1],86,[],0,"","",""
9,"Metadata/Pet/Frog/BlueCrown",4800,48394,1576132859,8,"","",[1],86,[],0,"","",""
10,"Metadata/Pet/Frog/Green",4801,58853,1150919036,8,"","",[1],86,[],0,"","",""
11,"Metadata/Pet/Frog/GreenCrown",4802,38190,-1138087676,8,"","",[1],86,[],0,"","",""
12,"Metadata/Pet/Frog/Red",4803,47577,-1986187196,8,"","",[1],86,[],0,"","",""
13,"Metadata/Pet/Frog/RedCrown",4804,46175,1589963419,8,"","",[1],86,[],0,"","",""
14,"Metadata/Pet/Frog/Mysterious",4805,45262,-943687922,8,"","",[1],86,[],0,"","",""
15,"Metadata/Pet/Scorpion/Black",4806,37381,-296518570,8,"","",[1],60,[],0,"","",""
16,"Metadata/Pet/Scorpion/Chrome",4807,20859,386156159,8,"","",[1],86,[],0,"","",""
17,"Metadata/Pet/Scorpion/Purple",4808,13085,1481075546,8,"","",[1],86,[],0,"","",""
18,"Metadata/Pet/Scorpion/Red",4809,29389,-2141064532,8,"","",[1],86,[],0,"","",""
19,"Metadata/Pet/Scorpion/White",4810,41999,784698058,8,"","",[1],86,[],0,"","",""
20,"Metadata/Pet/Scorpion/Yellow",4811,20903,465717861,8,"","",[1],86,[],0,"","",""
21,"Metadata/Pet/Weta/Basic",4815,33343,1722344599,8,"","",[1],86,[],0,"","",""
22,"Metadata/Pet/Weta/Colossal",4816,12979,1519151167,8,"","",[1],86,[],0,"","",""
23,"Metadata/Pet/Weta/Giant",4817,29172,1896349948,8,"","",[1],86,[],0,"","",""
24,"Metadata/Pet/Scorpion/fire_upgrade",4812,30851,493774317,8,"","",[1],75,[],0,"","",""
25,"Metadata/Pet/Scorpion/acid_upgrade",4813,37150,501714169,8,"","",[1],1,[],0,"","",""
26,"Metadata/Pet/Scorpion/Light_upgrade",4814,5815,-902046580,8,"","",[1],82,[],0,"","",""
