"rownum","rid","[rid]","DDSFiles","i32","[i32]","i32","[f32]","bool","bool"
0,1471,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds""]",0,[],0,[],"",""
1,1487,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/BloodArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds"",""Art/2DArt/SkillIcons/SandArmour.dds""]",0,[],0,[],"",""
2,861,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/BloodLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds"",""Art/2DArt/SkillIcons/SandLacerate.dds""]",0,[],0,[],"",""
3,1468,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/BloodBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds"",""Art/2DArt/SkillIcons/SandBladeStorm.dds""]",0,[],0,[],"",""
4,1473,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds""]",0,[],0,[],"",""
5,1474,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Bloodspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds"",""Art/2DArt/SkillIcons/Sandspears.dds""]",0,[],0,[],"",""
6,1504,"[1390,1355]","[""Art/2DArt/SkillIcons/PlagueBearerMaxPoison.dds"",""Art/2DArt/SkillIcons/PlagueBearerUnleashing.dds""]",0,[],0,[],"",""
7,1616,[1570],"[""Art/2DArt/SkillIcons/CallOfSteelSkill2.dds""]",2,"[1996,0]",3,"[1.4,1.4,0.95,1.05]",1,1
8,1724,[1869],"[""Art/2DArt/SkillIcons/Chronomancer2.dds""]",0,[],0,[],"",""
9,1770,"[1287,1298,2144,1288,1299,2145]","[""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/BloodStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds"",""Art/2DArt/BuffIcons/SandStance.dds""]",0,[],0,[],"",""
