"rownum","Id","XOffset","YOffset","FirstSlotIndex","Width","Height","bool","Tab","SlotSize","HideIfEmpty","Subtab","StoredItems","bool","string","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",237,96,0,1,1,"",0,66,"",0,[7676],"","",0
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",237,186,1,1,1,"",0,66,"",0,[7677],"","",0
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",147,186,2,1,1,"",0,66,"",0,[7678],"","",0
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",147,96,3,1,1,"",0,66,"",0,[7679],"","",0
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",725,96,4,1,1,"",0,66,"",0,[7681],"","",0
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",725,186,5,1,1,"",0,66,"",0,[7682],"","",0
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",634,186,6,1,1,"",0,66,"",0,[7683],"","",0
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",634,96,7,1,1,"",0,66,"",0,[7684],"","",0
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,96,8,1,1,"",0,66,1,0,[7686],"","",0
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,186,9,1,1,"",0,66,1,0,[7687],"","",0
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",391,186,10,1,1,"",0,66,1,0,[7688],"","",0
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",391,96,11,1,1,"",0,66,1,0,[7689],"","",0
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,648,12,1,1,"",0,66,"",0,[7691],"","",0
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,736,13,1,1,"",0,66,"",0,[7692],"","",0
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",391,736,14,1,1,"",0,66,"",0,[7693],"","",0
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",391,648,15,1,1,"",0,66,"",0,[7694],"","",0
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",147,553,16,1,1,"",0,66,"",0,[7711],"","",0
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,"",1,74,"",0,[7712],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsFireInvSlots",10
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,"",1,74,"",0,[7713],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsColdInvSlots",11
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,"",1,74,"",0,[7714],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsLightningInvSlots",12
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,"",1,74,"",0,[7715],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsPhysicalInvSlots",13
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,"",1,74,"",0,[7716],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachFragmentsChaosInvSlots",14
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,1,1,74,"",0,[190],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardFireInvSlots",5
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,1,1,74,"",0,[191],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardColdInvSlots",6
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,1,1,74,"",0,[192],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardLightningInvSlots",7
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,1,1,74,"",0,[193],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardPhysicalInvSlots",8
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,1,1,74,"",0,[194],"","Art/2DArt/UIImages/InGame/MTX/FragmentTab/BreachShardChaosInvSlots",9
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",262,553,27,1,1,"",0,66,"",0,[7748],"","",0
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,"",2,75,"",0,[9864],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,"",2,75,"",0,[9865],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,"",2,75,"",0,[9866],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,"",2,75,"",0,[9874],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,"",2,75,"",0,[9875],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,"",2,75,"",0,[9876],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,"",2,75,"",0,[9883],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,"",2,75,"",0,[9884],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,"",2,75,"",0,[9885],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,"",2,75,"",0,[9890],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,"",2,75,"",0,[9891],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,"",2,75,"",0,[9892],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,"",2,75,"",0,[9902],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,"",2,75,"",0,[9903],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
42,"Metadata/Items/Scarabs/ScarabShaperRares3",693,89,42,1,1,"",2,75,"",0,[9904],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
43,"Metadata/Items/Scarabs/ScarabElderRares1",491,482,43,1,1,"",2,75,"",0,[9906],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
44,"Metadata/Items/Scarabs/ScarabElderRares2",592,482,44,1,1,"",2,75,"",0,[9907],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
45,"Metadata/Items/Scarabs/ScarabElderRares3",693,482,45,1,1,"",2,75,"",0,[9908],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
46,"Metadata/Items/Scarabs/ScarabSulphite1",68,382,46,1,1,"",2,75,"",0,[9914],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
47,"Metadata/Items/Scarabs/ScarabSulphite2",169,382,47,1,1,"",2,75,"",0,[9915],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
48,"Metadata/Items/Scarabs/ScarabSulphite3",270,382,48,1,1,"",2,75,"",0,[9916],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",491,579,49,1,1,"",2,75,"",0,[9921],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",592,579,50,1,1,"",2,75,"",0,[9922],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",693,579,51,1,1,"",2,75,"",0,[9923],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
52,"Metadata/Items/Scarabs/ScarabTorment1",68,284,52,1,1,"",2,75,"",0,[9928],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
53,"Metadata/Items/Scarabs/ScarabTorment2",169,284,53,1,1,"",2,75,"",0,[9929],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
54,"Metadata/Items/Scarabs/ScarabTorment3",270,284,54,1,1,"",2,75,"",0,[9930],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
55,"Metadata/Items/Scarabs/ScarabStrongbox1",68,675,55,1,1,"",2,75,"",0,[9936],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
56,"Metadata/Items/Scarabs/ScarabStrongbox2",169,675,56,1,1,"",2,75,"",0,[9937],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
57,"Metadata/Items/Scarabs/ScarabStrongbox3",270,675,57,1,1,"",2,75,"",0,[9938],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
58,"Metadata/Items/Scarabs/ScarabHarbinger1",491,384,58,1,1,"",2,75,"",0,[9945],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
59,"Metadata/Items/Scarabs/ScarabHarbinger2",592,384,59,1,1,"",2,75,"",0,[9946],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
60,"Metadata/Items/Scarabs/ScarabHarbinger3",693,384,60,1,1,"",2,75,"",0,[9947],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
61,"Metadata/Items/Scarabs/ScarabPerandus1",491,189,61,1,1,"",2,75,"",0,[9953],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
62,"Metadata/Items/Scarabs/ScarabPerandus2",592,189,62,1,1,"",2,75,"",0,[9954],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
63,"Metadata/Items/Scarabs/ScarabPerandus3",693,189,63,1,1,"",2,75,"",0,[9955],1,"Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentTabScarabsStackedSlot",0
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",345,368,64,1,1,"",0,66,"",0,[7737],"","",0
