"rownum","i32","i32","Requirement (English)","Requirement (French)","Requirement (German)","Requirement (Japanese)","Requirement (Korean)","Requirement (Portuguese)","Requirement (Russian)","Requirement (Spanish)","Requirement (Thai)","Requirement (Traditional Chinese)"
0,0,355,"Complete a Tier 16 Map","Terminez une Carte de palier 16","Schließt eine Karte des Levels 16 ab","ティア16マップの完了","16등급 지도 완료하기","Complete um Mapa de Tier 16","Завершите карту 16 уровня","Completa un mapa de grado 16","ผ่านแผนที่ระดับ 16 ด่านหนึ่ง","完成 1 張階級 16 的地圖"
1,1,356,"Defeat an Elder Guardian","Triomphez d'un Gardien de l'Ancien","Vernichtet einen Wächter des Ältesten","エルダーの守護者の撃破","엘더 수호자 처치하기","Derrote um Guardião do Ancião","Победите Хранителя Древнего","Derrota a un guardián del Antiguo","สยบ องครักษ์เอลเดอร์ ตนหนึ่ง","擊敗異界尊師守護者"
2,2,357,"Defeat a Shaper Guardian","Triomphez d'un Gardien du Façonneur","Vernichtet einen Wächter des Schöpfers","シェイパーの守護者の撃破","쉐이퍼 수호자 처치하기","Derrote um Guardião do Criador","Победите Хранителя Создателя","Derrota a un guardián del Creador","สยบ องครักษ์เชปเปอร์ ตนหนึ่ง","擊敗塑界者守護者"
3,3,358,"Defeat a Conqueror of the Atlas","Triomphez d'un Conquérant de l'Atlas","Vernichtet einen Eroberer des Atlas","アトラスの征服者の撃破","아틀라스의 정복자 처치하기","Derrote os Conquistadores de Atlas","Победите Завоевателя Атласа","Derrota a un Conquistador del Atlas","สยบ ผู้พิชิตสุดขอบโลก คนหนึ่ง","擊敗輿圖征服者"
4,4,359,"Defeat Sirus, Awakener of Worlds","Triomphez de Sirus, l'Éveilleur de Mondes","Vernichtet Sirus, Erwecker der Welten","世界を覚醒させる者シラスの撃破","세계의 각성자 사이러스 처치하기","Derrote Sirus, Precursor de Mundos","Победите Сируса, Пробудителя миров","Derrota a Sirus, Despertador de mundos","สยบ ไซรัส ผู้ทำให้โลกตื่น","擊敗喚世者．賽勒斯"
5,5,360,"Defeat Venarius in the Cortex","Triomphez de Vénarius dans le Cortex","Vernichtet Venarius im Cortex","コーテクスでヴェナリウスの撃破","코텍스의 베나리우스 처치하기","Derrote Venarius no Córtex","Победите Венария в Коре","Derrota a Venarius en el Córtex","สยบ เวนาริอุส ใน แกนความทรงจำ","擊敗深層記憶中的維那利斯"
6,6,361,"Defeat The Shaper","Triomphez du Façonneur","Vernichtet den Schöpfer","シェイパーの撃破","쉐이퍼 처치하기","Derrote o Criador","Победите Создателя","Derrota al Creador","สยบ เชปเปอร์","擊敗塑界者"
7,7,362,"Defeat The Elder in The Shaper's Realm","Triomphez de l'Ancien dans le Royaume du Façonneur","Vernichtet den Ältesten im Reich des Schöpfers","シェイパーの領域でエルダーの撃破","쉐이퍼의 영역의 엘더 처치하기","Derrote o Ancião no Reino do Criador","Победите Древнего во Владениях Создателя","Derrota al Antiguo en el Reino del Creador","สยบ เอลเดอร์ ใน ดินแดนของเชปเปอร์","擊敗塑者之域中的異界尊師"
8,8,363,"Defeat The Maven","Triomphez de la Prodige","Vernichtet die Seherin","メイヴェンの撃破","메이븐 처치하기","Derrote a Maven","Победите Мейвен","Derrota a la Especialista","สยบ เมเวน","擊敗釋界"
9,9,364,"Defeat The Eater of Worlds","Triomphez du Mangeur de mondes","Vernichtet den Weltenfresser","世界を喰らう者の撃破","세계 포식자 처치하기","Derrote o Devorador de Mundos","Победите Пожирателя миров","Derrota al Devorador de mundos","สยบ ผู้กลืนกินโลกา","擊敗吞噬天地"
10,10,365,"Defeat The Searing Exarch","Triomphez de l'Exarque ardent","Vernichtet den Brennenden Exarchen","焼き尽くす代行者の撃破","작열의 총주교 처치","Derrote o Exarca Cauterizador","Победите Пламенного экзарха","Derrota al Exarca abrasador","สยบ อุปราชอาบเพลิง","擊敗灼烙總督"
11,11,366,"Complete Maven's Invitation: The Feared","Terminez l'Invitation de la Prodige : Les Redoutés","Schließt die Einladung der Seherin ab: Die Gefürchteten","メイヴェンの招待状: 恐れられし者の完了","메이븐의 초대: 끔찍한 영역 완료하기","Complete o Convite da Maven: Os Temidos","Завершите Приглашение Мейвен: Внушающие страх","Completa la Invitación de la Especialista: Los temidos","ผ่านคำเชิญของเมเวน: ผู้ต้องกลัวเกรง","完成釋界之邀：恐懼"
