"rownum","Id","MiscAnimated","[i32]","[string]","string","string","string","string","i32"
0,"ChargeEndurance",2,[],[],"orb_finish","","orb_appear","orb_idle",0
1,"ChargeFrenzy",4,[],[],"orb_finish","","orb_appear","orb_idle",0
2,"ChargePower",3,[],[],"orb_finish","","orb_appear","orb_idle",0
3,"ChargeEnduranceElder",1774,[],[],"orb_finish","","orb_appear","orb_idle",0
4,"ChargeFrenzyElder",1775,[],[],"orb_finish","","orb_appear","orb_idle",0
5,"ChargePowerElder",1773,[],[],"orb_finish","","orb_appear","orb_idle",0
6,"ChargePowerAlternate",672,[],[],"orb_finish","","orb_appear","orb_idle",0
7,"ChargeFrenzyBloodDance",4117,[],[],"orb_finish","","orb_appear","orb_idle",0
8,"ChargeFrenzySuper",850,[],[],"orb_finish","","","",0
9,"ChargeSpirit",1677,[],[],"orb_finish","","","",0
10,"ChargeSiphoning",1815,[],[],"orb_finish","","","",0
11,"ChargeVoid",1818,[],[],"orb_finish","","","",0
12,"ChargeDivine",2881,[],[],"orb_finish","","","",0
13,"ChargeInspiration",3459,[],[],"orb_finish","","","",0
14,"ChargeBrutal",5067,[],[],"orb_finish","","","",0
15,"ChargeAffliction",5068,[],[],"orb_finish","","","",0
16,"ChargeAbsorption",5069,[],[],"orb_finish","","","",0
17,"BloodlinesChargeZeal",473,[],[],"orb_finish","","","",0
18,"BloodlinesChargeVigor",474,[],[],"orb_finish","","","",0
19,"CurseTemporalChains",34,[],[],"orb_finish","","","",0
20,"CurseTemporalChainsNew",4530,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
21,"IzaroTemporalChains",847,[],[],"orb_finish","","","",0
22,"IzaroDeathTemporalChains",870,[],[],"orb_finish","","","",0
23,"CurseEnfeeble",41,[],[],"orb_finish","","","",0
24,"CurseVulnerability",44,[],[],"orb_finish","","","",0
25,"IzaroVulnerabilityOrb",849,[],[],"orb_finish","","","",0
26,"IzaroDeathVulnerabilityOrb",872,[],[],"orb_finish","","","",0
27,"CurseElementalWeakness",35,[],[],"orb_finish","","","",0
28,"IzaroElementalWeaknessOrb",848,[],[],"orb_finish","","","",0
29,"IzaroDeathElementalWeaknessOrb",871,[],[],"orb_finish","","","",0
30,"CurseFireWeakness",36,[],[],"orb_finish","","","",0
31,"CurseColdWeakness",37,[],[],"orb_finish","","","",0
32,"CurseLightningWeakness",38,[],[],"orb_finish","","","",0
33,"CurseChaosWeakness",1762,[],[],"orb_finish","","","",0
34,"CursePunishment",40,[],[],"orb_finish","","","",0
35,"CurseSilence",270,[100],"[""orb_idle""]","orb_finish","hexproof","","",0
36,"CurseWarlordsMark",39,[],[],"orb_finish","","","",0
37,"CurseAssassinsMark",42,[],[],"orb_finish","","","",0
38,"CurseSnipersMark",43,[],[],"orb_finish","","","",0
39,"CursePoachersMark",45,[],[],"orb_finish","","","",0
40,"CurseAlchemistsMark",46,[],[],"orb_finish","","","",0
41,"FlaskCurseImmunity",149,[],[],"orb_finish","","","",0
42,"DoedreRedOrb",1401,[],[],"orb_finish","","","",0
43,"DoedreGreenOrb",1400,[],[],"orb_finish","","","",0
44,"DoedrePurpleOrb",1399,[],[],"orb_finish","","","",0
45,"ShrinePlus",252,[],[],"orb_finish","","","",0
46,"ShrineFist",251,[],[],"orb_finish","","","",0
47,"ShrineSword",254,[],[],"orb_finish","","","",0
48,"ShrineWing",250,[],[],"orb_finish","","","",0
49,"ShrineThorns",308,[],[],"orb_finish","","","",0
50,"ShrineFire",255,[],[],"orb_finish","","","",0
51,"ShrineLightning",257,[],[],"orb_finish","","","",0
52,"ShrineArc",259,[],[],"orb_finish","","","",0
53,"ShrineCold",256,[],[],"orb_finish","","","",0
54,"ShrineSmoke",309,[],[],"orb_finish","","","",0
55,"ShrineMassive",318,[],[],"orb_finish","","","",0
56,"ShrineShield",253,[],[],"orb_finish","","","",0
57,"ShrineResistance",306,[],[],"orb_finish","","","",0
58,"ShrineGodMode",320,[],[],"orb_finish","","","",0
59,"ShrineEchoing",319,[],[],"orb_finish","","","",0
60,"ShrineCurse",307,[],[],"orb_finish","","","",0
61,"ShrineSkeletons",258,[],[],"orb_finish","","","",0
62,"ShrineResonating",2988,[],[],"orb_finish","","","",0
63,"Blind",120,[],[],"orb_finish","","","",0
64,"BlindOrbSand",3032,[],[],"orb_finish","","","",0
65,"CorruptedBloodNonPlayer",3497,[],[],"orb_finish","","","",0
66,"CorruptedBloodHeritageNonPlayer",6421,[],[],"orb_finish","","","",0
67,"CorruptedBloodPlayer",3498,[],[],"orb_finish","","","",0
68,"CorruptedBloodHeritagePlayer",6422,[],[],"orb_finish","","","",0
69,"Stun",418,[],[],"orb_finish","","","",0
70,"Debilitate",4371,[],[],"","","","",0
71,"DebilitateCelestial",4436,[],[],"","","","",0
72,"Maleditction",4372,[],[],"","","","",0
73,"TormentTouched",478,[],[],"orb_finish","","","",0
74,"PietysRage",577,[],[],"orb_finish","","","",0
75,"Bonespire",792,[],[],"orb_finish","","","",0
76,"AtlasAdjudicatorCharges",3735,[],[],"orb_finish","","","",0
77,"SeaWitchScreechOrb",330,[],[],"orb_finish","","","",0
78,"RighteousFireOrb",103,[],[],"orb_finish","","","",0
79,"ViperStrikeOrb",27,[],[],"orb_finish","","","",0
80,"Deathmark",3460,[],[],"","","","",0
81,"WintertideBrandOrb",4194,[],[],"orb_finish","","","",0
82,"HackyInvisibleSymbol",2233,[],[],"","","","",0
83,"CurseEnfeebleNew",4599,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
84,"CursePunishmentNew",4600,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
85,"CurseFlammabilityNew",4601,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
86,"CurseFrostbiteNew",4602,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
87,"CurseConductivityNew",4603,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
88,"CurseElementalWeaknessNew",4604,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
89,"CurseVulnerabilityNew",4605,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
90,"CurseDespairNew",4606,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof","","",0
91,"SteelOrb",4717,[],[],"end_01","","","",0
92,"HeistConversionOrb",4771,[],[],"","","","",0
93,"SteelOrbTemple",4808,[],[],"end_01","","","",0
94,"FanatacismCharge",4996,[],[],"orb_finish","","","",0
95,"BloodScytheCharge",5275,[],[],"orb_finish","","","",0
96,"UltimatumFrostInfection",5303,[],[],"end_float_01","","","",0
97,"UltimatumPhysBuff",5351,[],[],"orb_finish","","","",0
98,"UltimatumEleBuff",5352,[],[],"orb_finish","","","",0
99,"WintertideBrandCelestialOrb",5808,[],[],"","","","",0
100,"SkadiDebuff",6124,[],[],"","","","",0
101,"ShrineGreed",6259,[],[],"orb_finish","","","",0
102,"TangleTentacleZapped",6286,[],[],"orb_finish","","","",0
103,"CleansingFirePhantasmPossessionOrb",6316,[],[],"ring_finish","","","",0
104,"ChargePowerCrystalStygian",6425,[],[],"orb_finish","","orb_appear","orb_idle",0
105,"ChargeEnduranceCrystalStygian",6426,[],[],"orb_finish","","orb_appear","orb_idle",0
106,"ChargeFrenzyCrystalStygian",6427,[],[],"orb_finish","","orb_appear","orb_idle",0
107,"ChargeEnduranceCrystalDemonic",6459,[],[],"orb_finish","","orb_appear","orb_idle",0
108,"ChargePowerCrystalDemonic",6460,[],[],"orb_finish","","orb_appear","orb_idle",0
109,"ChargeFrenzyCrystalDemonic",6461,[],[],"orb_finish","","orb_appear","orb_idle",0
110,"ChargeEnduranceCrystalGhostflame",6462,[],[],"orb_finish","","orb_appear","orb_idle",0
111,"ChargePowerCrystalGhostflame",6463,[],[],"orb_finish","","orb_appear","orb_idle",0
112,"ChargeFrenzyCrystalGhostflame",6464,[],[],"orb_finish","","orb_appear","orb_idle",0
113,"ChargePowerEldritchVoidBattery",6471,[],[],"orb_finish","","","",0
114,"ChargePowerFrenzyScalingHelmet1",6492,[],[],"orb_finish","","","",0
115,"ChargePowerFrenzyScalingHelmet2",6493,[],[],"orb_finish","","","",0
116,"ChargePowerFrenzyScalingHelmet3",6494,[],[],"orb_finish","","","",0
117,"ChargePowerFrenzyScalingHelmet4",6495,[],[],"orb_finish","","","",0
118,"ChargePowerFrenzyScalingHelmet5",6496,[],[],"orb_finish","","","",0
119,"ChargePowerFrenzyScalingHelmet6",6497,[],[],"orb_finish","","","",0
120,"ChargePowerFrenzyScalingHelmet7",6498,[],[],"orb_finish","","","",0
121,"ShrineBrineKing",6574,[],[],"orb_finish","","","",0
122,"ShrineLunaris",6575,[],[],"orb_finish","","","",0
123,"ShrineSolaris",6576,[],[],"orb_finish","","","",0
124,"ShrineArakaali",6577,[],[],"orb_finish","","","",0
125,"TricksterHeartstopperHit",6578,[],[],"","","","",0
126,"TricksterHeartstopperDot",6579,[],[],"","","","",0
127,"ChargeEndurancePredatorFarruls",6581,[],[],"orb_finish","","orb_appear","orb_idle",0
128,"ChargePowerPredatorFarruls",6582,[],[],"orb_finish","","orb_appear","orb_idle",0
129,"ChargeFrenzyPredatorFarruls",6583,[],[],"orb_finish","","orb_appear","orb_idle",0
130,"MarkSunprismAlchemistsMark",6596,[],[],"","","","",0
131,"StarfallBloodScytheCharge",6682,[],[],"orb_finish","","","",0
132,"ChargeFireChargeHelmet",6702,[],[],"orb_finish","","orb_appear","orb_idle",0
133,"MTXGullHarpyShrineSymbolWing",6835,[],[],"orb_finish","","","",0
134,"MTXGullHarpyShrineSymbolFist",6836,[],[],"orb_finish","","","",0
135,"MTXGullHarpyShrineSymbolPlus",6837,[],[],"orb_finish","","","",0
136,"MTXGullHarpyShrineSymbolResistance",6838,[],[],"orb_finish","","","",0
137,"MTXGullHarpyShrineSymbolMassive",6839,[],[],"orb_finish","","","",0
138,"MTXGullHarpyShrineSymbolShield",6840,[],[],"orb_finish","","","",0
139,"MTXDruidGloveChargeEndurance",6945,[],[],"orb_finish","","","",0
140,"MTXDruidGloveChargePower",6946,[],[],"orb_finish","","","",0
141,"MTXDruidGloveChargeFrenzy",6947,[],[],"orb_finish","","","",0
142,"MTXPlanetaryOrbEndurance",6984,[-1],[],"fade","","startup","idle",0
143,"MTXPlanetaryOrbPower",6985,[-1],[],"fade","","startup","idle",0
144,"MTXPlanetaryOrbFrenzy",6986,[-1],[],"fade","","startup","idle",0
145,"MTXEldritchPlanetaryOrbEndurance",6987,[-1],[],"fade","","startup","idle",0
146,"MTXEldritchPlanetaryOrbPower",6988,[-1],[],"fade","","startup","idle",0
147,"MTXEldritchPlanetaryOrbFrenzy",6989,[-1],[],"fade","","startup","idle",0
148,"MTXVoidEmperorPlanetaryOrbEndurance",6990,[-1],[],"fade","","startup","idle",0
149,"MTXVoidEmperorPlanetaryOrbPower",6991,[-1],[],"fade","","startup","idle",0
