"rownum","Id","bool","bool","Message (English)","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32","bool","bool"
0,"FriendRequest",1,1,"Friend Request","Vous recevez une demande en ami","Freundesanfrage","フレンド申請","친구 요청","Solicitação de Amizade","Запрос в друзья","Solicitud de amistad","คำขอเป็นเพื่อน","好友要求","","","","","","","","","","",1,"",""
1,"FriendNowOnline","",1,"Friend Now Online","Un ami passe en ligne","Freund ist jetzt online","フレンドがオンラインです","친구 접속 중","Amigo Entrou","Друг вошёл в игру","Un amigo se ha conectado","เพื่อนกำลังออนไลน์","好友上線","","","","","","","","","","",1,"",""
2,"FriendNowOffline","",1,"Friend Now Offline","Un ami passe hors-ligne","Freund ist jetzt offline","フレンドがオフラインです","친구 접속 해제","Amigo Saiu","Друг вышел из игры","Un amigo se ha desconectado","เพื่อนกำลังออฟไลน์","好友下線","","","","","","","","","","",1,"",""
3,"FriendAreaChanged","","","Friend Area Changed","Un ami change de zone","Freund hat Gebiet gewechselt","フレンドエリアが変更されました","친구 지역 변경","Área do Amigo Mudou","Друг вошёл в область","Un amigo ha cambiado de área","เพื่อนเปลี่ยนด่าน","好友區域變化","","","","","","","","","","",1,"",""
4,"FriendLevelChanged","","","Friend Level Changed","Un ami gagne un niveau","Freund hat neue Stufe erreicht","フレンドレベルが変更されました","친구 레벨 변경","Nível do Amigo Mudou","Друг получил уровень","Un amigo ha cambiado de nivel","เพื่อนเปลี่ยนเลเวล","好友等級變化","","","","","","","","","","",1,"",""
5,"FriendStatusMessageChanged",1,1,"Friend Status Changed","Un ami change son statut","Freund hat Status geändert","フレンドステータスが変更されました","친구 상태 변경","Status do Amigo Mudou","Друг изменил статус","Un amigo ha cambiado de estado","เพื่อนเปลี่ยนสถานะ","好友狀態變化","","","","","","","","","","",1,"",""
6,"PartyInvite",1,1,"Party Invite","Vous êtes invité à un groupe","Gruppeneinladung","パーティへ招待","파티 초대","Convite para Grupo","Приглашён в группу","Te han invitado a un grupo","คำเชิญเข้าร่วมปาร์ตี้","邀請加入隊伍","","","","","","","","","","",1,"",""
7,"PartyJoined","",1,"Party Joined","Vous rejoignez un groupe","Gruppe beigetreten","パーティに参加しました","파티 합류","Grupo Entrou","Вступил в группу","Te has unido a un grupo","เข้าร่วมปาร์ตี้","已經加入隊伍","","","","","","","","","","",257,"",""
8,"PartyLeft","",1,"Party Left","Vous quittez un groupe","Gruppe verlassen","パーティから離脱しました","파티 퇴장","Grupo Saiu","Покинул группу","Has abandonado el grupo","ออกจากปาร์ตี้","已經離開隊伍","","","","","","","","","","",257,"",""
9,"PartyMemberInvited","",1,"Party Member Invited","Quelqu'un est invité à votre groupe","Gruppenmitglied wurde eingeladen","パーティメンバーを招待","파티원 초대","Membro do Grupo Convidado","Игрок приглашён в группу","Se ha invitado a un compañero al grupo","สมาชิกปาร์ตี้ถูกเชิญ","已邀請隊伍成員","","","","","","","","","","",1,"",""
