"rownum","Id1","Id2","[i32]","[i32]"
0,"FinalBoss","labyrinth_final_boss","[74,0,120,0]",[]
1,"FinalBossEasy","labyrinth_final_boss",[320],[]
2,"AirlockEntry","entrance_main",[446],[]
3,"Boss1_Sec1","boss_entrance1",[546],[]
4,"Boss2_Sec1","boss_entrance2",[646],[]
5,"Boss3_Sec1","boss_entrance3",[746],[]
6,"Boss1_Sec2","boss_entrance1",[814],[]
7,"Boss2_Sec2","boss_entrance2",[882],[]
8,"Boss3_Sec2","boss_entrance3",[950],[]
9,"Weylin01","override_blank",[1046],[]
10,"Weylin02","override_blank",[1110],[]
11,"Weylin03","override_blank",[1174],[]
12,"Weylin04","override_blank",[1238],[]
13,"BottleneckOverride","override_blank",[1322],[]
