"rownum","Id","AlternateTreeVersionsKey","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","PassiveType","StatsKeys","Stat1Min","Stat1Max","Stat2Min","Stat2Max","i32","i32","i32","i32","i32","i32","i32","i32","SpawnWeight","i32","RandomMin","RandomMax","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","DDSIcon","AchievementItemsKeys","i32","i32"
0,"vaal_keystone_1",1,"Divine Flesh","Chair divine","Göttliches Fleisch","ディバインフレッシュ","신성한 육체","Carne Divina","Божественная плоть","Carne divina","Divine Flesh","神聖血肉",[4],[9440],1,1,0,0,0,0,0,0,0,0,0,0,100,1,0,0,"Give up your flesh unto the gods, and in vulnerability find strength.","Abandonnez votre chair aux dieux, et dans la vulnérabilité vous trouverez la force.","Opfert Euer Fleisch den Göttern, und Eure Verwundbarkeit wird zu Eurer Stärke werden.","肉体を神に捧げ、弱みから力を見つけよ。","신께 육체를 바치어, 연약한 가운데 힘을 찾아라.","Dê sua carne aos deuses, e na vulnerabilidade encontre a força.","Отдай свою плоть богам, и в уязвимости найди силу.","Entrega tu carne a los dioses y encuentra fuerza en la vulnerabilidad.","สละกายเนื้อของเจ้าให้กับพระองค์ และในความอ่อนแอนั้นเจ้าจะพบความแข็งแกร่ง","把你的肉體獻給眾神，並在脆弱中找到力量。","Art/2DArt/SkillIcons/passives/DivineFlesh.dds",[],0,100
1,"vaal_keystone_2",1,"Eternal Youth","Jeunesse éternelle","Ewige Jugend","エターナルユース","영원한 젊음","Juventude Eterna","Вечная молодость","Juventud eterna","Eternal Youth","青春永駐",[4],[9396],1,1,0,0,0,0,0,0,0,0,0,0,100,2,0,0,"Burn the spirit to vitalise the flesh.","Consumez l'esprit pour vitaliser la chair.","Opfert Euren Geist und erwacht zu neuem Leben.","肉体に生気を吹き込むために心を燃やせ。","혼백을 불태워 육체를 북돋아라.","Queime o espírito para vitalizar a carne.","Сожги дух, чтобы обновить плоть.","Quema el espíritu para vitalizar la carne.","เผาวิญญาณเพื่อเติมชีวิตให้กับกายเนื้อ","焚燒靈魂賦予肉體生命。","Art/2DArt/SkillIcons/passives/EternalYouth.dds",[],0,0
2,"vaal_keystone_2_v2",1,"Immortal Ambition","Ambition immortelle","Unsterbliche Ambitionen","イモータルアンビション","불멸의 야망","Ambição Imortal","Бессмертные амбиции","Ambición inmortal","Immortal Ambition","不朽野望",[4],[12040],1,1,0,0,0,0,0,0,0,0,0,0,100,2,0,0,"You may live forever, so long as someone remains to be sacrificed.","La vie éternelle est une réalité, à condition qu'il reste quelqu'un à sacrifier.","Solange jemand verbleibt, den Ihr opfern könnt, werdet Ihr für immer leben.","犠牲になる者が残っていれば、其方は永遠に生きるだろう。","희생시킬 자가 남아 있는 한, 너는 영원히 살 수 있다.","Você pode viver para sempre, contanto que reste alguém para ser sacrificado.","Пока будет кого приносить в жертву, ты сможешь жить вечно.","Podrás vivir eternamente, siempre y cuando quede alguien para sacrificar.","เจ้าจะมีชีวิตนิรันดร์ ตราบใดที่ยังมีผู้ถูกสังเวย","只要有人持續被獻祭，你就能永生不朽。","Art/2DArt/SkillIcons/passives/SoulTetherKeystone.dds",[],1,100
3,"vaal_keystone_3",1,"Corrupted Soul","Âme corrompue","Verderbte Seele","コラプテッドソウル","타락한 영혼","Alma Corrompida","Осквернённая душа","Alma corrupta","Corrupted Soul","腐化之魂",[4],[9438],1,1,0,0,0,0,0,0,0,0,0,0,100,3,0,0,"As true belief fades, the facade of faith grows, leaving you powerful but hollow.","La façade de votre foi s'accroît à mesure que votre véritable croyance s'estompe, comblant de puissance le vide qui vous habite.","Während der wahre Glaube schwindet, wächst das blinde Vertrauen. Zurück bleibt eine starke, aber leere Hülle.","真の信仰が薄れ、見せかけの信仰が膨らむ。其方は強いが虚ろだ。","진실된 믿음이 스러지며 허울뿐인 신념이 자라나, 너를 강력하게 하는 만큼 공허에 빠트리는구나.","Na medida em que a verdadeira crença se esvai, a face da fé cresce, te deixando poderoso, mas vazio.","Когда истинная вера угасает, её видимость растёт, оставляя тебя могущественным, но опустошённым.","A medida que la auténtica creencia se desvanece, la fachada de la fe aumenta, dejándote poderoso pero hueco.","เมื่อความเชื่อที่แท้จริงจางหาย ความเชื่อจอมปลอมก็เติบโต ทำให้เจ้าแข็งแกร่งแต่กลวงเปล่าอยู่ภายใน","隨著信仰逝去，膚淺的信仰慢慢增長，金玉其外敗絮其內。","Art/2DArt/SkillIcons/passives/CorruptedDefences.dds",[],0,100
4,"vaal_small_fire_damage",1,"Fire Damage","Dégâts de feu","Feuerschaden","火ダメージ","화염 피해","Dano de Fogo","Урон от огня","Daño de fuego","ความเสียหายไฟ","火焰傷害","[1,2]",[42],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
5,"vaal_small_cold_damage",1,"Cold Damage","Dégâts de froid","Kälteschaden","冷気ダメージ","냉기 피해","Danod e Gelo","Урон от холода","Daño de hielo","ความเสียหายน้ำแข็ง","冰冷傷害","[1,2]",[49],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
6,"vaal_small_lightning_damage",1,"Lightning Damage","Dégâts de foudre","Blitzschaden","雷ダメージ","번개 피해","Dano de Raio","Урон от молнии","Daño de rayo","ความเสียหายสายฟ้า","閃電傷害","[1,2]",[56],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
7,"vaal_small_physical_damage",1,"Physical Damage","Dégâts physiques","Physischer Schaden","物理ダメージ","물리 피해","Dano Físico","Физический урон","Daño físico","ความเสียหายกายภาพ","物理傷害","[1,2]",[26],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
8,"vaal_small_chaos_damage",1,"Chaos Damage","Dégâts du chaos","Chaosschaden","混沌ダメージ","카오스 피해","Dano de Caos","Урон хаосом","Daño de caos","ความเสียหายเคออส","混沌傷害","[1,2]",[63],7,12,0,0,0,0,0,0,0,0,0,0,75,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
9,"vaal_small_minion_damage",1,"Minion Damage","Dégâts des Créatures","Kreaturenschaden","ミニオンダメージ","소환수 피해","Dano de Lacaio","Урон приспешников","Daño de esbirros","ความเสียหายมิเนียน","召喚物傷害","[1,2]",[488],8,13,0,0,0,0,0,0,0,0,0,0,50,0,0,0,"","","","","","","","","","","Art/2DArt/SkillIcons/passives/VaalOffensive.dds",[],0,100
