"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5806,5769,5784,1,1]","[5806,5806,1,1]","[5806,5769,5784,1,1]","[5806,5806,1,1]","[5806,5769,5784,1,1]","[5806,5806,1,1]","[5806,5769,5784,1,1]","[5806,5806,1,1]","[5806,5769,5784,1,1]","[5806,5806,1,1]","[5806,5769,5784,1,1]","[5806,5806,1,1]",1319,"[5806,5769,5784,1,1]","[5806,5806,1,1]"
1,"Descent2","[6147,6283,6,5333,6318]","[6147,6283,10,11,11,5332,6318]","[6147,6283,6,5333,6318]","[6147,6283,10,11,11,5332,6318]","[6030,6146,6032,6,5333,6295]","[6030,6146,6032,10,11,11,5332,6295]","[6144,6,5333,6306,6301]","[6144,10,11,11,5332,6306,6301]","[6153,6,5333,6306,6301]","[6153,10,11,11,5332,6306,6301]","[6283,6153,6147,6,5333,6301,6318]","[6283,6153,6147,10,11,11,5332,6301,6318]",1320,"[6147,6153,6283,6,5333,6318,6301]","[6147,6153,6283,10,11,11,5332,6301,6318]"
2,"Descent3","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,5215,5052,5052,5348]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,5215,5052,5052,5348]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,4999,4969,5190,5165]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,4999,4969,5190,5165]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,4999,4999,5108,5824]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,4999,4999,5108,5824]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,4910,4910,4884,4884]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,4910,4910,4884,4884]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,4884,4884,5080,5080]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,4884,4884,5080,5080]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,5080,5080,5137]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,5080,5080,5137]",1321,"[10,15,10,15,5770,5785,5280,5281,5282,5241,5241,5080,5080,5190,4969,4969]","[10,15,10,15,5770,5785,5280,5281,5282,5241,5242,5243,5080,5080,5190,4969,4969]"
3,"Descent4","[5279,10,14,1,1,1,6171,6035]","[6,6,6171,6035]","[5279,10,14,1,1,1,6171,6035]","[6,6,6171,6035]","[5279,10,14,1,1,1,6038,6041,6035]","[6,6,6041,6038,6035]","[5279,10,14,1,1,1,6038,6044,6041,6180,6310]","[6,6,6038,6041,6044,6180,6310]","[5279,10,14,1,1,1,6044,6038,6041,6310]","[6,6,6041,6044,6038,6310]","[5279,10,14,1,1,1,6044,6035,6171]","[6,6,6035,6044,6171]",1322,"[5279,10,14,1,1,1,6041,6044,6035]","[6,6,6035,6044,6041]"
4,"Descent5","[6008,0,0,0,0,6,2]","[6008,0,0,0,0,10,11,11,11,11,15,15]","[6008,0,0,0,0,6,2,6022]","[6008,0,0,0,0,10,11,11,11,11,15,15,6022]","[6267,6022,0,0,0,0,6,2]","[6267,6022,0,0,0,0,10,11,11,11,11,15,15]","[6092,0,0,0,0,6,2,6281,6131]","[6281,0,0,0,0,10,11,11,11,11,15,15,6092,6131]","[6092,6281,0,0,0,0,6,2,6131]","[6092,6281,0,0,0,0,10,11,11,11,11,15,15,6131]","[6281,0,0,0,0,6,2,6092,6277,6008]","[6008,6277,0,0,0,0,10,11,11,11,11,15,15,6281,6092]",1323,"[6281,0,0,0,0,6,2,6008,6092]","[6008,0,0,0,0,10,11,11,11,11,15,15,6092,6281]"
5,"Descent6","[5246,6011,5771,5786,6,6,6315]","[5246,5771,5786,6011,11,11,11,11,15,15,6315]","[5246,6011,5771,5786,6177,6,6,6315]","[5246,6177,5771,5786,6011,11,11,11,11,15,15,6315]","[5246,6100,6177,5771,5786,6117,6,6]","[5246,6177,6117,5771,5786,6100,11,11,11,11,15,15]","[5246,6182,5771,5786,6200,6208,6,6,6309,6297]","[5246,5771,5786,6200,6208,6182,11,11,11,11,15,15,6309,6297]","[5246,6118,5771,5786,6208,6111,6007,6,6,6309,6297]","[5246,6007,5771,5786,6111,6208,6118,11,11,11,11,15,15,6309,6297]","[5246,6111,5771,5786,6007,6011,6173,6,6,6315]","[5246,5771,5786,6011,6007,6111,6173,11,11,11,11,15,15,6315]",1324,"[5246,5771,5786,6111,6011,6,6,6315]","[5246,5771,5786,6111,6011,11,11,11,11,15,15,6315]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5054,5054,5349,5216]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5054,5054,5349,5216]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5166,5191,5001,4970]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5166,5191,5001,4970]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5110,5001,5001,5824]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5110,5001,5001,5824]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4885,4885,4912,4912]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4885,4885,4912,4912]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4885,4885,5082,5082]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4885,4885,5082,5082]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5082,5082,5138]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5082,5082,5138]",1325,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5082,5082,4970,4970,5191]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5082,5082,4970,4970,5191]"
7,"Descent8","[6256,6016,6151,5245,5247,5286,5287,5285,2,6,11]","[6256,6016,6151,5245,5247,5286,5287,5285,12,12,10,10,10,11]","[6256,6016,6151,5245,5247,5286,5287,5285,2,6,11]","[6256,6016,6151,5245,5247,12,12,10,10,10,11,5286,5287,5285]","[6256,6257,6023,6151,5245,5247,5286,5287,5285,2,6,11]","[6256,6257,6023,6151,5245,5247,12,12,10,10,10,11,5286,5287,5285]","[6258,6257,6151,5245,5247,5286,5287,5285,2,6,11]","[6258,6257,6151,5245,5247,12,12,10,10,10,11,5286,5287,5285]","[6258,6257,5245,5247,5286,5287,5285,2,6,11]","[6258,6257,5245,5247,12,12,10,10,10,11,5286,5287,5285]","[6256,6258,6016,5245,5247,5286,5287,5285,2,6,11]","[6256,6258,6016,5245,5247,12,12,10,10,10,11,5286,5287,5285]",1326,"[6257,6258,6256,5245,5247,5286,5287,5285,2,6,11]","[6257,6258,6256,5245,5247,12,12,10,10,10,11,5286,5287,5285]"
8,"Descent9","[4,4,4,6,6,5334,5525,5701,5447,5630,6078,5772,5787,6036,6108,4]","[5332,0,0,0,6,6,5217,5055,5350,6036,6108,5772,5787,6078,5055,0]","[4,4,4,6,6,5334,5577,5737,5478,5667,6078,5772,5787,6036,6108,4]","[5332,0,0,0,6,6,5192,5002,6108,6036,5772,5787,6078,5167,4972,0]","[4,4,4,6,6,5334,5543,5713,5458,5643,6206,5772,5787,6036,6108,6078,4]","[5332,0,0,0,6,6,5111,5824,6108,6036,5772,5787,5002,5002,6206,6078,0]","[4,4,4,6,6,5334,5611,5753,5505,5683,6101,5772,5787,6081,6289,4]","[5332,0,0,0,6,6,5333,4913,4913,6081,6289,5772,5787,6101,4886,4886,0]","[4,4,4,6,6,5334,5560,5725,5468,5655,6081,5772,5787,6101,4]","[5332,0,0,0,6,6,5333,6101,5772,5787,6081,4886,4886,5083,5083,0]","[4,4,4,6,6,5334,5594,5745,5491,5675,6081,6078,5772,5787,6036,6101,6108,4]","[5332,0,0,0,6,6,5333,5083,5083,6101,6108,5772,5787,6036,6078,6081,5139,0]",1327,"[4,4,4,6,6,5334,5577,5737,5478,5667,6081,6078,5772,5787,6101,6036,6108,4]","[5332,0,0,0,6,6,5192,6101,6036,5772,5787,6081,6108,6078,5083,5083,4972,4972,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1328,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
