"rownum","rid","rid","i32"
0,1,2,2
1,1,3,1
2,1,4,2
3,1,5,1
4,1,6,2
5,1,7,1
6,1,8,1
7,1,9,1
8,1,10,2
9,2,1,2
10,2,3,0
11,2,4,2
12,2,5,1
13,2,6,1
14,2,7,2
15,2,8,1
16,2,9,2
17,2,10,0
18,3,1,2
19,3,2,1
20,3,4,1
21,3,5,1
22,3,6,0
23,3,7,2
24,3,8,2
25,3,9,0
26,3,10,1
27,4,1,2
28,4,2,0
29,4,3,2
30,4,5,0
31,4,6,2
32,4,7,0
33,4,8,1
34,4,9,1
35,4,10,0
36,5,1,1
37,5,2,0
38,5,3,1
39,5,4,1
40,5,6,0
41,5,7,2
42,5,8,1
43,5,9,0
44,5,10,0
45,6,1,0
46,6,2,0
47,6,3,0
48,6,4,0
49,6,5,0
50,6,7,2
51,6,8,0
52,6,9,1
53,6,10,0
54,7,1,1
55,7,2,2
56,7,3,2
57,7,4,2
58,7,5,2
59,7,6,2
60,7,8,2
61,7,9,2
62,7,10,2
63,8,1,1
64,8,2,1
65,8,3,1
66,8,4,1
67,8,5,1
68,8,6,1
69,8,7,2
70,8,9,2
71,8,10,1
72,9,1,2
73,9,2,1
74,9,3,0
75,9,4,0
76,9,5,2
77,9,6,0
78,9,7,2
79,9,8,1
80,9,10,0
81,10,1,1
82,10,2,2
83,10,3,2
84,10,4,2
85,10,5,0
86,10,6,2
87,10,7,1
88,10,8,1
89,10,9,0
