"rownum","Mod","Categories","DestroyAchievements"
0,24971,[0],[]
1,24972,[0],[8128]
2,24973,[0],[8117]
3,24974,[0],[8129]
4,24975,[0],[8130]
5,24976,[0],[8125]
6,24977,[0],[8120]
7,24978,[0],[8122]
8,24979,[0],[8123]
9,24980,[0],[8124]
10,24981,[0],[8126]
11,24982,[1],[]
12,24983,[1],[8119]
13,24984,[1],[8118]
14,24985,[3],[]
15,24986,[0],[8127]
16,24987,[0],[8131]
17,24988,[0],[8132]
18,24989,[1],[8133]
19,24990,[0],[]
20,24991,[0],[]
21,24992,[0],[]
22,24993,[0],[8134]
23,24994,[0],[]
24,24995,[0],[8121]
25,24996,[0],[8135]
26,24997,[0],[8115]
27,24998,[0],[8114]
28,24999,[0],[8113]
29,25000,[0],[8116]
30,25001,[0],[8136]
31,25002,[0],[8137]
32,25003,[0],[8138]
33,25004,[0],[8139]
34,25005,[0],[8140]
35,25006,[0],[8141]
36,25007,[0],[8142]
37,25008,[0],[8143]
38,25009,[3],[]
39,25019,[3],[]
40,25018,[3],[]
41,25010,[0],[]
42,25011,[2],[]
43,25012,[0],[]
44,25013,[2],[]
45,25014,[0],[]
46,25015,[0],[]
47,25016,[0],[]
48,25017,[0],[]
49,25020,[0],[]
50,25021,[2],[]
51,25022,[0],[]
52,25023,[2],[]
53,25033,[1],[]
54,25034,[1],[]
55,25035,[1],[]
56,25036,[1],[]
57,25037,[2],[]
58,25038,[2],[]
59,25039,[2],[]
60,25040,[2],[]
61,25063,[1],[]
62,25041,[2],[]
63,25042,[2],[]
64,25043,[2],[]
65,25044,[1],[]
66,25045,[1],[]
67,25046,[1],[]
68,25064,[1],[]
69,25065,[1],[]
70,25066,[1],[]
71,25067,[1],[]
72,25068,[1],[]
73,25069,[1],[]
74,25070,[1],[]
75,25071,[1],[]
76,25072,[1],[]
77,25073,[1],[]
78,25057,[1],[]
79,25058,[1],[]
80,25060,[1],[]
81,25061,[1],[]
82,25059,[2],[]
83,25062,[2],[]
84,25074,[2],[]
85,25075,[2],[]
86,25076,[2],[]
87,25077,[2],[]
88,25078,[2],[]
89,25079,[2],[]
90,25080,[2],[]
91,25081,[2],[]
92,25082,[2],[]
93,25083,[2],[]
94,25084,[2],[]
95,24968,[0],[]
96,24970,[0],[]
97,24969,[0],[]
98,24936,[1],[]
99,24938,[1],[]
100,24940,[1],[]
101,24942,[1],[]
102,24944,[1],[]
103,24946,[1],[]
104,24948,[1],[]
105,24950,[1],[]
106,24952,[1],[]
107,24954,[1],[]
108,24956,[1],[]
109,24958,[1],[]
110,24960,[1],[]
111,24962,[1],[]
112,24964,[1],[]
113,24966,[1],[]
114,25047,[1],[]
115,25049,[1],[]
116,25051,[1],[]
117,25053,[1],[]
118,25048,[2],[]
119,25050,[2],[]
120,25052,[2],[]
121,25054,[2],[]
122,24937,[2],[]
123,24939,[2],[]
124,24941,[2],[]
125,24943,[2],[]
126,24945,[2],[]
127,24947,[2],[]
128,24949,[2],[]
129,24951,[2],[]
130,24953,[2],[]
131,24955,[2],[]
132,24957,[2],[]
133,24959,[2],[]
134,24961,[2],[]
135,24963,[2],[]
136,24965,[2],[]
137,24967,[2],[]
138,25055,[1],[]
139,25056,[2],[]
140,25024,[3],[]
141,25025,[0],[]
142,25026,[0],[]
143,25027,[0],[]
144,25028,[0],[]
145,25029,[3],[]
146,25030,[3],[]
147,25031,[0],[]
148,25032,[2],[]
