"rownum","Id","IsSupport","AllowedActiveSkillTypes","SupportGemLetter","Attribute","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","i32","[i32]","CannotBeSupported","i32","CastTime","ActiveSkill","IgnoreMinionTypes","bool","AddedMinionActiveSkillTypes","Animation","MultiPartAchievement","bool","SupportWeaponRestrictions","RegularVariant","i32","i32","i32","bool","StatSet","[rid]"
0,"Fireball","",[],"",3,[],[],"",-800852557,[],"",2,750,52,"","",[],"","","",[],"",0,0,0,"",0,[]
1,"FireballRoyale","",[],"",3,[],[],"",-1174666910,[],"",2,750,52,"","",[],"","","",[],"",0,0,0,"",1,[]
2,"MonsterFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,0,0,"",2,[]
3,"MonsterFireballContactPos","",[],"",3,[],[],"",0,[],"",2,1330,52,"","",[],"","","",[],"",0,0,0,"",3,[]
4,"BlightMonsterFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,0,0,"",4,[]
5,"GemlingFireball1","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,10,0,"",5,[]
6,"GemlingFireball2","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,11,0,"",6,[]
7,"GemlingFireball3","",[],"",3,[],[],"",0,[],"",2,3000,52,"","",[],"","","",[],"",1,11,0,"",7,[]
8,"FireballSuperNovaCitystalker","",[],"",3,[],[],"",0,[],"",2,2300,52,"","",[],"","","",[],"",0,7,0,"",8,[]
9,"MonsterFireball3Parallel","",[],"",3,[],[],"",0,[],"",2,1200,52,"","",[],"","","",[],"",0,8,0,"",9,[]
10,"HolyFireElementalFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,9,0,"",10,[]
11,"LegionTemplarFireball","",[],"",3,[],[],"",0,[],"",2,1330,52,"","",[],"","","",[],"",0,9,0,"",11,[]
12,"HolyCitystalkerFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,9,0,"",12,[]
13,"AbberathMinionFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,8,0,"",13,[]
14,"AbberathMinionFireballMap","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,8,0,"",14,[]
15,"ExileShadowFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,0,0,"",15,[]
16,"AvariusFireball","",[],"",3,[],[],"",0,[],"",2,1200,52,"","",[],"","","",[],"",0,6,0,"",16,[]
17,"AvariusWickermanFireball","",[],"",3,[],[],"",0,[],"",2,1200,52,"","",[],"","","",[],"",0,12,0,"",17,[]
18,"AvariusJudgeFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,7,0,"",18,[]
19,"BlackguardClericBossFireball","",[],"",3,[],[],"",0,[],"",2,1200,52,"","",[],"","","",[],"",0,7,0,"",19,[]
20,"VaalSideAreaBossHolyFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,7,0,"",20,[]
21,"PhoenixMinionFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,5,0,"",21,[]
22,"IzaroDaemonFireball","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,0,0,"",22,[]
23,"MonsterFireballSideArea","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,0,0,"",23,[]
24,"ProphecyFireballBurst","",[],"",3,[],[],"",0,[],"",2,850,52,"","",[],"","","",[],"",0,2,0,"",24,[]
