"rownum","Id","Command (English)","Command (French)","Command (German)","Command (Japanese)","Command (Korean)","Command (Portuguese)","Command (Russian)","Command (Spanish)","Command (Thai)","Command (Traditional Chinese)","bool","EnglishCommand","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","bool"
0,"PerformDance","dance","danser","tanzen","dance","춤","dancar","танец","bailar","dance","跳舞",1,"dance","","","","","","","","","","",1
1,"ShowTimePlayed","played","temps","gespielt","played","플레이시간","jogado","сыграно","jugado","played","遊戲時間",1,"played","/played displays how long you have played this character for","/temps : affiche le temps que vous avez joué avec votre personnage.","/gespielt zeigt an, wie lange du diesen Charakter spielst.","/played あなたがこのキャラクターで遊んでいた時間を表示します。","/플레이시간 또는 /played 를 입력하면 해당 캐릭터의 플레이 시간이 표시됩니다","/jogado exibe quanto tempo você já jogou com este personagem","/сыграно показывает, сколько вы играете данным персонажем","/jugado muestra cuánto tiempo has jugado con este personaje","/played แสดงว่าคุณเล่นตัวละครนี้มาเป็นเวลาเท่าใดแล้ว","/遊戲時間（/played）顯示總遊玩時間。",1
2,"ShowCharacterAge","age","âge","alter","age","캐릭터나이","idade","возраст","edad","age","創角時間",1,"age","/age displays how long ago you created this character","/âge : affiche la date de création du personnage.","/alter zeigt an, wann du diesen Charakter erstellt hast.","/age あなたがこのキャラクターをどれだけ昔に作ったかを表示します。","/캐릭터나이 또는 /age 를 입력하면 캐릭터를  얼마나 오래 전에 생성하였는지 표시됩니다","/idade exibe a quanto tempo você criou este personagem","/возраст показывает, как давно вы создали этого персонажа","/edad muestra hace cuánto tiempo creaste este personaje","/age แสดงว่าคุณสร้างตัวละครนี้ขึ้นมานานเพียงใดแล้ว","/創角時間（/age）顯示這個角色是在多久之前創立的。",1
3,"ShowMonstersRemaining","remaining","restant","übrig","remaining","몬스터수","restante","осталось","restante","remaining","剩餘怪物",1,"remaining","/remaining displays the number of monsters remaining in the area","/restant : affiche le nombre de monstres restant dans la zone.","/übrig zeigt die Anzahl der restlichen Monster im betreffenden Gebiet an.","/remaining エリア内に残っているモンスターの数を表示します。","/몬스터수 또는 /remaining 을 입력하면 지역 내에 남아있는 몬스터의 수가 표시됩니다","/restante exibe o número de monstros restantes na área","/осталось отображает количество оставшихся монстров в области","/restante muestra el número de monstruos restantes en el área","/remaining แสดงจำนวนสัตว์ประหลาดที่เหลืออยู่ในด่าน","/剩餘怪物（/remaining）顯示所在區域中剩餘怪物的數量。",1
4,"ShowDeaths","deaths","morts","tode","deaths","사망","mortes","смерти","muertes","deaths","死亡次數",1,"deaths","/deaths displays how many deaths you have incurred","/morts : affiche le nombre de fois que votre personnage est mort.","/tode zeigt an, wie oft dein Charakter gestorben ist.","/deaths あなたの死亡回数を表示します。","/사망 또는 /deaths 를 입력하면 지금까지의 사망 횟수가 표시됩니다","/mortes exibe quantas mortes seu personagem já sofreu","/смерти отображает количество ваших смертей","/muertes muestra cuántas veces has muerto","/deaths แสดงว่าคุณตายไปแล้วกี่ครั้ง","/死亡次數（/deaths）顯示你一共死了多少次。",1
5,"ShowPvPStats","pvp","pvp","pvp","pvp","pvp정보","pvp","пвп","jcj","pvp","互鬥",1,"pvp","","","","","","","","","","",""
6,"ShowLadder","ladder","classement","rangliste","ladder","래더","ranking","ладдер","clasificacion","ladder","天梯",1,"ladder","/ladder shows the top ten characters on the current ladder","/classement : affiche les dix personnages en tête du classement actuel.","/rangliste zeigt die ersten zehn Charaktere der aktuellen Liste.","/ladder 現在のラダーの上位10キャラクターを表示します。","/래더 또는 /ladder 를 입력하면 현재 래더의 최상위 10개 캐릭터가 표시됩니다","/ranking exibe os dez melhores personagens no ranking atual","/ладдер отображает топ-10 персонажей в текущем Ладдере","/clasificacion muestra los primeros diez personajes en la clasificación actual","/ladder แสดงตัวละครสิบอันดับสูงสุดในตารางอันดับปัจจุบัน","/天梯（/ladder）顯示聯盟前十名最高等級的玩家。",1
7,"ForceResync","oos","resync","sync","oos","oos","oos","синхрон","oos","oos","重置位置",1,"oos","","","","","","","","","","",1
8,"DestroyCursorItem","destroy","détruire","zerstören","destroy","아이템파괴","destruir","уничтожить","destruir","destroy","摧毀",1,"destroy","/destroy destroys the item on your cursor (be careful!)","/détruire : détruit l'objet sous votre curseur (faites attention !).","/zerstören vernichtet den Gegenstand am Cursor (seid vorsichtig!)","/destroy あなたのカーソル上のアイテムを破壊します（要注意！）","/아이템파괴 또는 /destroy 를 입력하면 커서가 올려진 아이템이 파괴됩니다(주의 요망)!","/destruir destrói o item em seu cursor (tenha cuidado!)","/уничтожить уничтожает предмет под курсором (будьте осторожны!)","/destruir destruye el objeto bajo tu cursor (¡ten cuidado!)","/destroy ทำลายไอเทมบนเคอร์เซอร์ของคุณ (โปรดระวัง!)","/摧毀（destroy）刪除你游標所選取的道具（請注意，刪除的道具無法復原）。",1
9,"Whois","whois","quiestce","werist","whois","누구","queme","инфо","quien_es","whois","查詢玩家",1,"whois","/whois displays some information about a character by name","/quiestce : affiche des informations sur un personnage d'après son nom.","/werist zeigt Informationen über einen Charakter an.","/whois 名前で指定したキャラクターの情報を表示します。","/누구 또는 /whois 와 캐릭터 이름을 입력하면 해당 캐릭터의 정보가 표시됩니다","/quemé exibe por nome algumas informações sobre um personagem","/инфо отображает некоторую информацию о персонаже","/quien_es muestra información sobre un personaje por nombre","/whois แสดงข้อมูลบางส่วนเกี่ยวกับตัวละครโดยใช้ชื่อ","/查詢玩家（/whois）查詢指定玩家。",1
10,"ShowHelp","help","aide","hilfe","help","도움말","ajuda","помощь","ayuda","help","提示","","help","","","","","","","","","","",1
11,"ShowCursorItemLevel","itemlevel","niveauobjet","stufe","itemlevel","아이템레벨","niveldoitem","уровень","niveldeitem","itemlevel","物品等級",1,"itemlevel","/itemlevel displays the level of an item on your cursor","/niveauobjet : affiche le niveau d'un objet sous votre curseur.","/stufe zeigt die Stufe des Gegenstands am Cursor an.","/itemlevel あなたのカーソル上のアイテムのレベルを表示します。","/아이템레벨 또는 /itemlevel 을 입력하면 커서가 올려진 아이템 레벨이 표시됩니다","/niveldoitem exibe o nível de um item em seu cursor","/уровень отображает уровень предмета под курсором","/niveldeitem muestra el nivel del objeto bajo tu cursor","/itemlevel แสดงเลเวลของไอเทมบนเคอร์เซอร์ของคุณ","/物品等級（/itemlevel）顯示游標所選取的道具之物品等級。",1
12,"FixMyHelmet","fixmyhelmet","réparermoncasque","helmrichten","fixmyhelmet","헬멧","ajeitarmeuelmo","правшлем","repararcasco","fixmyhelmet","修復頭盔模組",1,"fixmyhelmet","","","","","","","","","","",1
13,"ReportBug","bug","bug","bug","bug","버그","bug","баг","bug","bug","回報",1,"bug","/bug reports a bug and gives you the report reference number","/bug : permet de signaler un bug et vous attribue un numéro de référence.","/bug meldet einen Fehler und gibt eine Berichtskennziffer aus.","/bug バグを報告し報告参照番号を表示します。","/버그 또는 /bug 를 입력하면 버그를 신고하고, 조회 번호가 표시됩니다","/bug relata um erro e retorna um número de referência do relatório","/баг сообщает о баге и даёт уникальный номер баг-репорта","/bug reporta un error y te informa el número de reporte del error","/bug รายงานบัคและให้เลขอ้างอิงการรายงานกับคุณ","/回報（/bug）回報一個錯誤，並給予一個紀錄用的代碼。",1
