"rownum","Id","ArmFiles","TdtFiles","bool","[string]","[i32]","row","WorldAreasKey","bool","i32"
0,"MissionFish","[""Metadata/Terrain/Missions/Fish/mission_room.arm""]","[""Metadata/Terrain/Cave/Features/Water/cave_abysswater_v01_01.tdt""]","",[],[0],"","","",46
1,"MissionZana","[""Metadata/Terrain/Missions/Scion/mission_room.arm""]",[],"",[],[0],"","","",46
2,"StoneCircle","[""Metadata/Terrain/StoneCircles/stonecircle_01.arm""]","[""Metadata/Terrain/StoneCircles/stonecircle_v01_01.tdt""]","",[],[8],"","","",46
3,"Shrine","[""Metadata/Terrain/generic_shrine.arm""]",[],"",[],[8],"","","",46
4,"VaalSideArea","[""Metadata/Terrain/vaal_side_area.arm""]",[],"","[""sidearea""]",[0],"","","",46
5,"LabyrinthTrial","[""Metadata/Terrain/Labyrinth/RoomSets/LabyrinthTrial.arm""]",[],"","[""maptrial""]","[0,3]","","","",46
6,"ProphecyCrystalBoss","[""Metadata/Terrain/Mountain/Mines/Rooms_Level3/Unique/prophecy_boss.arm"",""Metadata/Terrain/Mountain/Mines/Rooms_Level3/Unique/prophecy_boss_alt.arm""]",[],"","[""telepad5"",""teleport6"",""telepad6"",""teleport5""]",[0],"","","",46
7,"ProphecyDarkTome","[""Metadata/Terrain/RuinedCity/Library/Rooms/Unique/book_prophecy.arm""]",[],"",[],[0],"","","",46
8,"IncursionPast","[""Metadata/Terrain/Leagues/Incursion/Rooms/treasure_hunter.arm""]",[],"",[],[0],"","","",46
9,"DelveMineralVein","[""Metadata/Terrain/Leagues/Delve/Rooms/mineral_vein1.arm"",""Metadata/Terrain/Leagues/Delve/Rooms/mineral_vein2.arm""]",[],"",[],[3],"","","",46
10,"DelveMineralChest","[""Metadata/Terrain/Leagues/Delve/Rooms/resource_chest.arm""]",[],"",[],[3],"","","",46
11,"BetrayalLaboratory","[""Metadata/Terrain/Leagues/Betrayal/Rooms/betrayal_feature_laboratory.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Tiles/Laboratory/laboratory_entrance_v01_01.tdt""]","","[""link""]",[0],"",407,"",46
12,"BetrayalFortFallback","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_fallback.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","","",46
13,"BetrayalFortSmall1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_small_ritual.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,46
14,"BetrayalFortMed1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_med_outpost.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,46
15,"BetrayalFortLarge1","[""Metadata/Terrain/Leagues/Betrayal/Fortress/Rooms/Forts/fortress_large_ritual.arm""]","[""Metadata/Terrain/Leagues/Betrayal/Fortress/tiles.tst""]","",[],[0],"","",1,46
16,"SynthesisEncounter","[""Metadata/Terrain/Leagues/Synthesis/Rooms/feature.arm""]",[],"","[""link""]",[3],"","","",30
17,"SynthesisReward","[""Metadata/Terrain/Leagues/Synthesis/Rooms/reward.arm""]","[""Metadata/Terrain/Leagues/Synthesis/Tiles/Synthesis_RewardPlatform.tdt""]","",[],[0],"","","",46
18,"LegionMonolith","[""Metadata/Terrain/Leagues/Legion/legion_monolith.arm""]",[],"",[],[8],"","","",46
19,"BlightEncounter","[""Metadata/Terrain/Leagues/Blight/blight_encounter.arm""]",[],"",[],[4],"","","",46
20,"HarvestEncounter","[""Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm""]",[],"","[""link""]",[0],"",1303,"",46
21,"HarvestEncounterMemoryLine","[""Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm""]",[],"","[""link""]",[0],"",1304,"",46
22,"UltimatumEncounter","[""Metadata/Terrain/Leagues/Ultimatum/wager_encounter.arm""]","[""Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Tiles/ultimatum_altar.tdt""]","",[],[0],"","","",46
23,"ExpeditionEncounter","[""Metadata/Terrain/Leagues/Expedition/encounter.arm""]",[],"",[],[0],"","","",46
