"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","rid","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Vous avez débloqué un emplacement supplémentaire dans votre Dispositif cartographique","Du hast einen zusätzlichen Gegenstandsplatz im Kartenapparat freigeschaltet.","マップデバイスで追加アイテムスロットが開かれました","지도 장치에서 추가 아이템 슬롯 1개를 해제했습니다","Você destravou um espaço de item adicional no Dispositivo de Mapas.","Вы разблокировали место для дополнительного предмета в Машине картоходца","Has desbloqueado un espacio de objeto adicional en el Artefacto de mapas","คุณได้ปลดล็อกช่องใส่ไอเทมเพิ่มในเครื่องเปิดแผนที่ของคุณแล้ว","你已解鎖地圖裝置上額外的物品欄","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","+1 Mission de l'Atlas avec Kirac","Atlasmission von Kirac erhalten","キラックからのアトラスミッションを受け取りました","키락으로부터 아틀라스 임무를 받았습니다","Missão do Atlas de Kirac Recebida","Получено задание Атласа от Кирака","Has recibido una misión de Atlas de Kirac","ได้รับภารกิจสมุดแผนที่จาก คิรัค","收到基拉克的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",1317,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
2,"AtlasMissionAlva","Atlas Mission from Alva Received","+1 Mission de l'Atlas avec Alva","Atlasmission von Alva erhalten","アルヴァからのアトラスミッションを受け取りました","알바로부터 아틀라스 임무를 받았습니다","Missão do Atlas da Alva Recebida","Получено задание Атласа от Альвы","Has recibido una misión de Atlas de Alva","ได้รับภารกิจสมุดแผนที่จาก อัลวา","收到艾瓦的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1317,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
3,"AtlasMissionNiko","Atlas Mission from Niko Received","+1 Mission de l'Atlas avec Niko","Atlasmission von Niko erhalten","ニコからのアトラスミッションを受け取りました","니코로부터 아틀라스 임무를 받았습니다","Missão do Atlas do Niko Recebida","Получено задание Атласа от Нико","Has recibido una misión de Atlas de Niko","ได้รับภารกิจสมุดแผนที่จาก นิโค้","收到尼科的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1317,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","+1 Mission de l'Atlas avec Einhar","Atlasmission von Einhar erhalten","アイナーからのアトラスミッションを受け取りました","아인하르로부터 아틀라스 임무를 받았습니다","Missão do Atlas do Einhar Recebida","Получено задание Атласа от Эйнара","Has recibido una misión de Atlas de Einhar","ได้รับภารกิจสมุดแผนที่จาก ไอนาร์","收到埃哈的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1317,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
5,"AtlasMissionJun","Atlas Mission from Jun Received","+1 Mission de l'Atlas avec Jun","Atlasmission von Jun erhalten","ジュンからのアトラスミッションを受け取りました","준으로부터 아틀라스 임무를 받았습니다","Missão do Atlas da Jun Recebida","Получено задание Атласа от Джун","Has recibido una misión de Atlas de Jun","ได้รับภารกิจสมุดแผนที่จาก จุน","收到瓊恩的輿圖任務","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1317,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Emplacement de Carte favorite débloqué","Platz für Lieblingskarte freigeschaltet","お気に入りマップスロットがアンロックされました","선호 지도 슬롯을 잠금 해제했습니다","Espaço de Mapa Favorecido Destrancado","Разблокирована ячейка предпочитаемой карты","Has desbloqueado un espacio de mapa favorito","ปลดล็อก ช่องใส่แผนที่ที่ชื่นชอบ แล้ว","解鎖幸運地圖欄位","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1317,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nÉtabli d'hortisanat","Die Dekoration Anfertigungsstation ist jetzt in deinem Versteck verfügbar","ハーベストクラフト台が隠れ家で使用できるようになりました","이제 푸르미 제작소 장식을 은신처에서 사용할 수 있습니다.","Decoração Estação de Horticultura agora disponível no seu Refúgio","Декоративная плодоремесленная установка теперь доступна в вашем убежище","La decoración Mesa de fabricación herbaria ya está disponible en tu guarida","ของตกแต่ง โต๊ะคราฟท์สวน (Horticrafting Station) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","園藝憩站現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1317,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nRéserve de graines","Die Dekoration Samenvorrat ist jetzt in deinem Versteck verfügbar","シード貯蔵庫が隠れ家で使用できるようになりました","이제 씨앗 전리품 장식을 은신처에서 사용할 수 있습니다.","Decoração Pilha de Sementes agora disponível em seu Refúgio","Декоративный сундук с семенами теперь доступен в вашем убежище","La decoración Reserva de semillas ya está disponible en tu guarida","ของตกแต่ง คลังเก็บเมล็ดพันธุ์ (Seed Stockpile) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：種子堆現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1317,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Malfaiteur","Die Dekoration Heist-Schließfach ist jetzt in deinem Versteck verfügbar","ハイストロッカーが隠れ家で使用できるようになりました","이제 강탈 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário Heist agora está disponível no seu Refúgio.","Декоративный сундук Кражи теперь доступен в вашем убежище","La decoración Armario de Heist ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์โจรกรรม (Heist Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：劫盜鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1317,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier d'Expédition","Die Dekoration Expedition-Truhe ist jetzt in deinem Versteck verfügbar","エクスペディションロッカーが隠れ家で使用できるようになりました","이제 탐험 사물함 장식을 은신처에서 사용할 수 있습니다.","A decoração Armário Expedition já está disponível em seu Refúgio","Декоративный сундук Экспедиции теперь доступен в вашем убежище","La decoración Armario de Expedition ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์กองสำรวจ (Expedition Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：探險鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1317,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0
