"rownum","Id","SkillGemInfoKey1","SkillGemInfoKey2","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","International_BK2File","SkillGemsKey","China_BK2File","CharactersKey"
0,"Blight","[2,1,120]","[3,4,141]","A channelled, area of effect chaos spell that applies a debuff to enemies. Debuffed enemies take chaos damage over time as well as having reduced movement speed.","Un sort de chaos canalisé et en zone qui applique un effet néfaste aux ennemis. Les ennemis affectés subissent des Dégâts de chaos sur la durée, ainsi qu'une Réduction à leur Vitesse de déplacement.","Ein kanalisierter Chaos-Zauber, der auf Gegner im Wirkungsbereich eine Schwächung anwendet. Gegner, die von der Schwächung betroffen sind, erleiden Chaosschaden über Zeit und werden in ihrer Bewegung verlangsamt.","チャネリングし、敵にデバフを付与する範囲混沌スペル。デバフを受けた敵は混沌継続ダメージを受け、移動スピードが減少する。","집중 유지로 적에게 디버프를 부여하는 광역 카오스 주문입니다. 디버프가 적용된 적들은 이동 속도가 감소하고 지속 카오스 피해를 받습니다.","Uma magia de caos canalizada de efeito em área que aplica uma penalidade aos inimigos. Inimigos penalizados sofrem dano de caos degenerativo assim como possuem velocidade de movimento reduzida.","Поддерживаемые чары хаоса с областью действия, которые накладывают на врага отрицательный эффект. Враги под действием отрицательного эффекта получают постепенный урон хаосом, а их скорость передвижения уменьшается.","Un hechizo de caos canalizado y con área de efecto que aplica una penalidad a los enemigos. Los enemigos con la penalidad reciben daño degenerativo de caos y tienen velocidad de movimiento reducida.","เวท​แชนเนล​พื้นที่​เคออส​ที่​ทำให้​ศัตรู​ติด​ดีบัฟ​ที่​ทำให้​ได้รับ​ความ​เสียหาย เคออส ต่อเนื่อง และ​ยัง​ลดความเร็ว​ใน​การ​เคลื่อนที่​อีก​ด้วย","引導施放範圍效果的混沌法術，對敵人造成減益效果。受到減益效果的敵人會承受混沌持續傷害，同時也會被減少移動速度。","http://web.poecdn.com/public/videos/Blight/BlightMainDemo.bk2 ",302,"http://down.qq.com/poe/videos/skills/Blight/BlightMainDemo.bk2","[6,2,1,5]"
1,"FreezingPulse","[7,6,9]","[8,5,144]","A cold based projectile spell that pierces enemies, dealing cold damage with a chance to freeze. The projectile loses damage and freeze chance based on how far it has travelled.","Un sort de froid sous forme de projectile qui Transperce les ennemis. Ce sort inflige des Dégâts de froid et a des chances de Geler les ennemis. Le projectile perd en Dégâts et en Chances de Geler au fur et à mesure de son trajet.","Ein auf Kälte basierter Projektilzauber, der Gegner durchbohrt und diesen Kälteschaden zufügt, mit einer Chance, diese einzufrieren. Die Chance auf Einfrieren und der Schaden werden geringer, je weiter sich das Projektil entfernt.","敵を貫通し、凍結する確率を持つ冷気ダメージを与える冷気投射物スペル。投射物は飛行距離に基づいて冷気ダメージと凍結確率を失っていく。","적들을 관통하고 냉기 피해를 주며, 일정 확률로 동결시키는 냉기 기반 투사체 주문입니다. 투사체가 멀리 이동할수록 피해와 동결 확률이 감소합니다.","Uma magia de projétil com base de gelo que perfura os inimigos, causando dano de gelo com uma chance de congelar. O projétil perde dano e chance de congelamento baseado em quão longe viajou.","Чары холода, выпускающие снаряды, которые пронзают врагов, нанося им урон от холода с шансом наложить заморозку. Урон снаряда и шанс наложить заморозку уменьшается в зависимости от дальности полета снаряда.","Un hechizo de proyectil de hielo que perfora a los enemigos e inflige daño de hielo con una probabilidad de congelar. El daño y la probabilidad de congelar del proyectil se reduce cuanto más lejos viaje el proyectil.","เวท​กระสุน​สาย​น้ำแข็ง​ที่​สามารถ​เจาะ​ทะลุ​ศัตรู กระสุน​นี้​​สร้าง​ความ​เสียหาย น้ำแข็ง และ​มี​โอกาส​สร้าง​สถานะ แช่แข็ง กระสุน​ที่​ยิง​ออก​มา​จะ​สูญเสีย​ความ​เสียหาย​และ​โอกาส​สร้าง​สถานะ แช่แข็ง ตาม​ระยะ​ทาง​ที่​มัน​เคลื่อนที่","冰冷基礎的投射物法術，會穿透敵人並造成冰冷傷害，有機率使敵人冰凍。投射物的傷害和冰凍機率隨著距離越遠而降低。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulseMainDemo.bk2 ",77,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulseFullDemo.bk2","[6,1,5]"
2,"LightningTendrils","[12,14,13]","[11,121,122]","An area of effect, channelled spell that deals pulses of lightning damage to enemies. The skill releases a stronger pulse every 4 pulses.","Un sort de zone canalisé qui inflige des Dégâts aux ennemis à chaque pulsation qu'il produit. Une fois relâchée, cette aptitude libère une pulsation plus puissante toutes les 4 pulsations canalisées.","Ein kanalisierter Zauber, der Gegnern im Wirkungsbereich durch elektrische Impulse Blitzschaden zufügt. Jeder vierte Impuls ist stärker als die übrigen.","範囲内の敵に雷ダメージを与えるパルスを放つチャネリングスキル。スキルは4回ごとに強力なパルスを放つ。","집중 유지로 적에게 번개 피해를 주는 파동형 범위 주문입니다. 4번째 파동마다 더 강한 파동을 방출합니다.","Uma magia canalizada de efeito em área que causa pulsos de dano de raio aos inimigos. A habilidade libera um pulso mais forte a cada 4 pulsos.","Поддерживаемые чары с областью действия, которые пульсами наносят урон от молнии врагам. Каждые 4 пульса умение выпускает более сильный пульс.","Un hechizo canalizado y con área de efecto que inflige pulsos de daño de rayo a los enemigos. Esta habilidad libera un pulso más fuerte cada 4 pulsos.","เวท​แชนเนล​พื้นที่​ที่​สร้าง​ความ​เสียหาย สายฟ้า เป็น​จังหวะ​ต่อ​ศัตรู สกิล​นี้​จะ​ปล่อย​คลื่น​พลัง​ที่​แรง​ขึ้น​ทุก 4 คลื่น","引導施放範圍效果的法術，對敵人造成閃電傷害的脈衝。此技能每四次脈衝會釋放一次較強的脈衝。","http://web.poecdn.com/public/videos/LightningTendrils/LightingTendrilsMainDemo.bk2 ",254,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrilsMainDemo.bk2","[6,2,1,5]"
3,"MagmaOrb","[15,17,16]","[18,19,148]","A fire based, projectile, area of effect spell. Projectiles bounce towards the target dealing fire damage. The skill chains at higher levels resulting in the projectiles bouncing more times.","Un sort de feu en zone sous forme de projectile. Les projectiles qu'il génère rebondissent vers la cible en infligeant des Dégâts de feu. Quand elle est de niveau élevée, cette aptitude effectue des Ricochets, ce qui permet à ses projectiles de rebondir plus de fois.","Ein auf Feuer basierter Projektilzauber, der über einen Wirkungsbereich verfügt. Die Projektile prallen auf das Ziel auf und verursachen dabei Feuerschaden. Auf höheren Stufen verkettet sich die Fertigkeit, wodurch die Projektile häufiger aufprallen.","投射物を放つ範囲火スペル。投射物は対象に向かってバウンスしながら火ダメージを与える。高レベルでは投射物は連鎖し、より多くの回数バウンスする。","화염 기반의 범위 피해 투사체 주문입니다. 투사체는 대상을 향해 튀어 오르면서 화염 피해를 줍니다. 스킬 레벨이 높아지면 투사체가 튀어 오르는 횟수가 증가합니다.","Uma magia de projétil e efeito em área com base de fogo. Projéteis quicam em direção aos inimigos causando dando de fogo. A habilidade ricocheteia em níveis maiores, resultando em mais quiques dos projéteis.","Чары огня с областью действия. Выпускают снаряды, которые прыгают в направлении цели, нанося урон от огня. На высоких уровнях умение поражает врагов по цепи, совершая больше прыжков.","Un hechizo de proyectil de fuego con área de efecto. Los proyectiles rebotan hacia el objetivo e infligen daño de fuego. Esta habilidad se encadena a niveles altos, lo que hace que los proyectiles reboten más veces.","เวท​กระสุน​พื้นที่​สาย​ไฟ​ กระสุน​จะ​กระดอน​ไป​ยัง​เป้าหมาย​และ​สร้าง​ความ​เสียหาย ไฟ ทุก​ครั้ง​ที่​มัน​กระดอน การ​ชิ่ง​ที่​เพิ่ม​ขึ้น​ใน​สกิล​เลเวล​สูง​จะ​เพิ่ม​จำนวน​ครั้ง​ที่​มัน​กระดอน","火焰基礎的投射物、範圍效果法術。投射物向目標彈跳造成火焰傷害。此技能連鎖在較高等時會使投射物彈跳更多次。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrbMainDemo.bk2 ",282,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrbFullDemo.bk2","[6,2,1,5]"
4,"Fireball ","[22,21,26]","[27,24,29]","A fire based, projectile, area of effect spell that deals fire damage to enemies with a high chance to ignite, causing fire damage over time. ","Un sort de feu en zone sous forme de projectile qui inflige des Dégâts de feu aux ennemis. Cette aptitude a de grandes chances d'Embraser les ennemis. L'Embrasement inflige des Dégâts de feu sur la durée.","Ein auf Feuer basierter Projektilzauber mit einem Wirkungsbereich. Der Zauber fügt Gegnern Feuerschaden zu, der über eine hohe Chance verfügt, diese zu entzünden und dadurch Feuerschaden über Zeit zu verursachen.","火ダメージを与える投射物を放つ範囲火スペル。火継続ダメージを与える発火を高い確率で敵に付与する。","화염 기반의 범위 피해 투사체 주문입니다. 적들에게 화염 피해를 주고, 높은 확률로 점화시켜 지속 화염 피해를 줍니다.","Uma magia de projétil e efeito em área com base de dano de fogo que causa dano de fogo aos inimigos com uma grande chance de incendiar, causando dano de fogo degenerativo.","Чары огня с областью действия. Выпускают снаряды, поражающие врагов уроном от огня с высоким шансом наложить поджог, который наносит постепенный урон от огня.","Un hechizo de proyectil de fuego con área de efecto que inflige daño de fuego a los enemigos con una gran probabilidad de quemar e infligir daño degenerativo de fuego.","เวทกระสุนพื้นที่สายไฟที่สร้างความเสียหาย ไฟ ต่อ​ศัตรู​และ​มี​โอกาส​สร้าง​สถานะ ลุกไหม้ สูง ทำให้​มัน​ได้​รับ​ความ​เสียหาย ไฟ ต่อ​เนื่อง","火焰基礎的投射物、範圍效果法術對敵人造成火焰傷害，並有高機率造成點燃受到火焰持續傷害。","http://web.poecdn.com/public/videos/Fireball/FireballMainDemo.bk2",0,"http://down.qq.com/poe/videos/skills/Fireball/FireballFullDemo.bk2","[6,2,0,1,5,3]"
5,"RaiseZombies","[31,32,34]","[149,30,33]","A minion spell that raises a zombie from a corpse. The zombie will follow and fight for you with melee attacks.","Un sort de Créature qui génère un Zombie à partir d'un cadavre. Ce Zombie vous suivra et combattra pour vous en utilisant des attaques de mêlée.","Ein Kreaturenzauber, der aus einer Leiche einen Zombie beschwört. Der Zombie folgt dem Charakter des Spielers und unterstützt diesen mit einem Nahkampfangriff.","死体からゾンビを蘇生させるミニオンスペル。ゾンビは蘇生者に従い、近接アタックで戦う。","시체에서 좀비를 일으키는 소환수 주문입니다. 좀비는 플레이어를 따라다니며 근접 공격으로 적과 싸웁니다.","Uma magia de lacaios que ergue um zumbi de um corpo. O zumbi o seguirá e lutará por você com ataques corpo a corpo.","Чары приспешников, которые поднимают труп, превращая его в зомби. Зомби будет следовать за персонажем и сражаться атаками ближнего боя.","Un hechizo de esbirros que levanta un zombi de un cadáver. El zombi te seguirá y luchará por ti con ataques cuerpo a cuerpo.","เวท​มิเนียน​ที่​ปลุก​ซอมบี้​จาก​ศพ ซอมบี้​จะ​ตาม​และ​ช่วย​ต่อสู้​ด้วย​การ​โจมตี​ประชิด","召喚物法術，透過屍體召喚殭屍。殭屍會跟隨你並使用近戰攻擊為你戰鬥。","http://web.poecdn.com/public/videos/RaiseZombies/RaiseZombiesMainDemo.bk2",44,"http://down.qq.com/poe/videos/skills/RaiseZombies/RaiseZombiesFullDemo.bk2","[6,2,1]"
6,"GlacialHammer","[38,40,39]","[36,37,147]","A physical/cold based melee single target attack. Glacial Hammer has a built in chance to freeze and will shatter frozen enemies if they are on low life.","Une attaque de mêlée monocible qui inflige des Dégâts physiques et des Dégâts de froid. Cette aptitude a des chances inhérentes de Geler les ennemis, en plus de les Fracasser s'ils sont Gelés et que leur Vie est basse.","Ein Nahkampfangriff, der sich gegen Einzelziele richtet und auf physischem Schaden und Kälteschaden basiert. Die Fertigkeit gewährt eine Chance auf Einfrieren und lässt Gegner mit niedrigem Leben zerschmettern.","敵一体を対象とする物理/冷気近接アタック。グレイシャルハンマーは凍結付与確率を持ち、低ライフおよび凍結状態の敵を粉砕する。","물리/냉기 기반의 단일 대상 근접 공격입니다. 빙하 망치에는 일정 확률로 적을 동결시키고, 동결된 적이 낮은 생명력 상태일 경우 산산조각 내는 기능이 장착되어 있습니다.","Um ataque de alvo único com base de dano físico/gelo. Martelo Glacial possui uma chance interna de congelar e explodirá inimigos congelados caso estejam em vida baixa.","Физическая/холодная атака ближнего боя по одиночной цели. Леденящий молот имеет встроенный шанс наложить заморозку и будет разбивать замороженных врагов, если у них мало здоровья.","Un ataque cuerpo a cuerpo físico y de hielo de un solo objetivo. La habilidad Martillo Glacial tiene incluida una probabilidad de congelar y hacer añicos a los enemigos congelados si tienen vida baja.","การ​โจมตี​เป้าหมาย​เดียว​สาย​กายภาพ/น้ำแข็ง สกิล​ค้อน​เยือกแข็ง (Glacial Hammer) มี​โอกาส​สร้าง​สถานะ แช่แข็ง ต่อ​ศัตรู และ​ทำให้​ศัตรู​ที่​ติด​สถานะ​นี้​แตกสลาย​ทันที​หาก​​มัน​มี พลังชีวิต​เหลือน้อย","物理/冰冷基礎的近戰單體攻擊。冰霜之錘有機率造成冰凍，並且在被冰凍的敵人處於貧血時會粉碎他們。","http://web.poecdn.com/public/videos/GlacialHammer/GlacialHammerFullDemo.bk2",74,"http://down.qq.com/poe/videos/skills/GlacialHammer/GlacialHammerFullDemo.bk2","[6,4,0]"
7,"EtheralKnives","[47,46,43]","[42,44,45]","A physical based projectile spell that launches several projectiles in an arc in front of the caster.","Un sort physique qui envoie plusieurs projectiles en éventail devant votre personnage.","Ein Projektilzauber, der auf physischem Schaden basiert und mehrere Projektile in einem bogenförmigen Bereich vor dem Wirkenden abfeuert.","使用者の前方に円弧状に複数の投射物を放つ物理投射物スペル。","시전자 전방에 원호 형태로 몇 개의 투사체를 발사하는 물리 기반 투사체 주문입니다.","Uma magia de projétil com base física que lança vários projéteis em um arco na frente do conjurador.","Физические чары снарядов. Выпускают несколько снарядов дугой перед сотворяющим чары.","Un hechizo de proyectil físico que lanza varios proyectiles en un arco frente al lanzador.","เวท​กระสุน​สาย​กายภาพ​ที่​ปล่อย​กระสุน​หลาย​ลูก​ออก​ไป​เป็น​วง​โค้ง​ข้างหน้า​ผู้ร่าย","物理基礎的投射物法術，會在施放者前方以弧形發射投射物。","http://web.poecdn.com/public/videos/EtherealKnives/EtherealKnivesFullDemo.bk2",162,"http://down.qq.com/poe/videos/skills/EtherealKnives/EtherealKnivesFullDemo.bk2","[0,1,5]"
8,"ExplosiveTrap","[49,48,52]","[51,50,53]","Throws a trap that when triggered creates several small explosions that deal physical and fire damage to nearby enemies.","Une aptitude qui jette un Piège au sol. Une fois déclenché, ce Piège crée plusieurs petites explosions qui infligent des Dégâts physiques et des Dégâts de feu aux ennemis à proximité.","Wirft eine Falle, die bei Auslösung mehrere kleine Explosionen erzeugt, die bei Gegnern im Umkreis physischen Schaden und Feuerschaden verursachen.","作動時、付近の敵に物理および火ダメージを与える複数の小さな爆発を起こすトラップを投げる。","발동 시 몇 개의 작은 폭발을 일으켜, 주변의 적들에게 물리 피해와 화염 피해를 주는 덫을 투척합니다.","Arremessa uma armadilha que quando ativada cria várias explosões pequenas que causam dano físico e de fogo aos inimigos próximos.","Бросает ловушку, которая при срабатывании создает несколько небольших взрывов, наносящих физический урон и урон от огня врагам поблизости.","Lanza una trampa que al activarse crea varias explosiones pequeñas que infligen daño físico y de fuego a los enemigos cercanos.","โยน​กับดัก​ที่​ทำ​การ​ระเบิด​ขนาด​เล็ก​หลาย​ครั้ง​เมื่อ​ถูก​ทริกเกอร์ สร้าง​ความ​เสียหาย กายภาพ​และ​ไฟ ต่อ​ศัตรู​ที่​อยู่​ใกล้","投擲陷阱，當被觸發時會製造幾次小規模爆炸，對附近敵人造成物理和火焰傷害。","http://web.poecdn.com/public/videos/ExplosiveTrap/ExplosiveTrapFullDemo.bk2",352,"http://down.qq.com/poe/videos/skills/ExplosiveTrap/ExplosiveTrapFullDemo.bk2","[2,1,5,3]"
9,"FrostBlades","[54,58,56]","[57,55,145]","A projectile based melee attack skill that converts 60% of physical damage to cold damage. The melee strike splits into multiple projectiles when hitting the targeted enemy, potentially dealing damage to multiple secondary targets.","Une attaque de mêlée sous forme de projectile qui convertit 60% de ses Dégâts physiques en Dégâts de froid. Lorsque la frappe initiale de cette attaque touche un ennemi, elle éclate en plusieurs projectiles capables de blesser d'autres ennemis.","Ein auf Projektilen basierter Nahkampfangriff, bei dem 60% des physischen Schadens in Kälteschaden umgewandelt werden. Wenn ein Gegner getroffen wird, zersplittert das Projektil und teilt sich in mehrere Projektile auf, die bei mehreren sekundären Zielen Schaden verursachen können.","物理ダメージの60％を冷気ダメージに変換する投射物/近接アタックスキル。近接ストライクは敵にヒット時に、複数の別の敵に対してダメージを与えることが可能な複数の投射物を放つ。","물리 피해의 60%를 냉기 피해로 전환하는 투사체 기반 근접 공격 스킬입니다. 근접 타격이 대상을 명중시킬 경우 다수의 투사체로 분열되어, 다수의 2차 대상들에게 피해를 줄 수 있습니다.","Uma habilidade corpo a corpo baseada em projéteis que converte 60% do dano físico para dano de gelo. O golpe corpo a corpo é dividido em múltiplos projéteis ao acertar o inimigo alvo, potencialmente causando dano à múltimos inimigos secundários.","Атака снарядами в ближнем бою, которая переводит 60% физического урона в урон от холода. Атака ближнего боя разделяется на несколько снарядов при попадании по врагу, в результате чего урон может быть нанесён ещё нескольким вторичным целям.","Una habilidad de ataque de proyectil cuerpo a cuerpo que convierte el 60% del daño físico a daño de hielo. Cuando golpea al enemigo objetivo, el proyectil se hace añicos y se divide en múltiples proyectiles, que pueden infligir daño a múltiples objetivos secundarios.","สกิล​โจมตี​สาย​กระสุน​ที่​แปลง​ความ​เสียหาย กายภาพ 60% เป็น น้ำแข็ง กระสุน​ที่​ยิง​ออก​มา​เมื่อ​โดน​ศัตรู​จะ​แตก​ออก​เป็น​กระสุน​ขนาด​เล็ก จึง​มี​โอกาส​สร้าง​ความเสียหาย​ให้​กับ​เป้าหมาย​อื่น​เพิ่มเติม​ได้","投射物基礎的近戰攻擊技能，轉化 60% 的物理傷害至冰冷傷害。近戰攻擊在擊中目標敵人時會粉碎並分裂成多個投射物，有機率對多個二階段目標造成傷害。","http://web.poecdn.com/public/videos/FrostBlades/FrostBladesMainDemo.bk2",278,"http://down.qq.com/poe/videos/skills/FrostBlades/FrostbladesFullDemo.bk2","[2,2,5,3]"
