"rownum","ModsKey","Weight","MinLevel","MaxLevel"
0,19848,80,13,100
1,19849,80,0,100
2,19850,80,0,100
3,19851,80,13,100
4,19852,80,0,100
5,19853,80,0,100
6,19854,120,13,100
7,19855,120,0,100
8,19856,120,0,100
9,19857,80,20,100
10,19858,80,20,100
11,19859,80,20,100
12,19860,50,68,100
13,19861,50,68,100
14,19862,50,68,100
15,19863,50,40,100
16,19864,50,40,100
17,19865,50,40,100
18,19866,80,13,100
19,19867,80,0,100
20,19868,80,0,100
21,19869,120,13,100
22,19870,120,0,100
23,19871,120,0,100
24,19872,120,13,100
25,19873,120,0,100
26,19874,120,0,100
27,19875,120,13,100
28,19876,120,68,100
29,19877,120,68,100
30,19878,80,13,100
31,19879,80,0,100
32,19880,80,0,100
33,19881,50,68,100
34,19882,50,68,100
35,19883,0,68,100
36,19884,50,68,100
37,19885,50,68,100
38,19886,0,68,100
39,19887,50,68,100
40,19888,50,68,100
41,19889,50,68,100
42,19890,50,40,100
43,19891,50,40,100
44,19892,0,40,100
45,19893,80,20,100
46,19894,50,50,100
47,19895,37,68,100
48,19896,50,30,100
49,19897,80,13,100
50,19898,120,13,100
51,19899,37,13,100
52,19900,50,68,100
53,19901,80,63,100
54,19902,120,13,100
55,19903,80,13,100
56,19904,50,13,100
57,19905,120,0,100
58,19906,120,0,100
59,19907,120,13,100
60,19908,120,0,100
61,19909,50,40,100
62,19916,120,0,100
63,19917,80,20,100
64,19918,50,40,100
