"rownum","HideoutArea","HASH16","HideoutFile","rid","string","bool","bool","string","[i32]","bool","rid","string"
0,9,-492,"Metadata/Terrain/Missions/Hideouts/PillarsOfArun/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ToweringHideout","",1,"Towering Hideout",[],"",6789,""
1,10,-31184,"Metadata/Terrain/Missions/Hideouts/ArenaAtziri/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CorruptedHideout","",1,"Corrupted Hideout",[],"",6790,""
2,11,-19926,"Metadata/Terrain/Missions/Hideouts/ArenaInnocence/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/InnocentHideout","",1,"Innocent Hideout",[],"",6791,""
3,12,-24046,"Metadata/Terrain/Missions/Hideouts/ArenaShaper/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ShaperHideout","",1,"Shaped Hideout",[],"",6792,""
4,13,26625,"Metadata/Terrain/Missions/Hideouts/ArenaKaom/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/FuriousHideout","",1,"Furious Hideout",[],"",6793,""
5,14,-15628,"Metadata/Terrain/Missions/Hideouts/ArenaDaresso/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/ChampionsHideout","",1,"Champion's Hideout",[],"",6794,""
6,15,-13455,"Metadata/Terrain/Missions/Hideouts/ArenaDominus/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/IndomitableHideout","",1,"Indomitable Hideout",[],"",6795,""
7,16,-23555,"Metadata/Terrain/Missions/Hideouts/ArenaPiety/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/MorbidHideout","",1,"Morbid Hideout",[],"",6796,""
8,17,-28508,"Metadata/Terrain/Missions/Hideouts/ArenaSolarisLunaris/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EclipsedHideout","",1,"Eclipsed Hideout","[0,1]","",6797,""
9,18,-29158,"Metadata/Terrain/Missions/Hideouts/ArenaKitavaAct10/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/RavenousHideout","",1,"Ravenous Hideout",[],"",6798,""
10,19,-11166,"Metadata/Terrain/Missions/Hideouts/Doomguard/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DoomguardHideout","",1,"Doomguard Hideout",[],"",6799,""
11,20,-27643,"Metadata/Terrain/Missions/Hideouts/Sunspire/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/SunspireHideout","",1,"Sunspire Hideout",[],"",6800,""
12,21,1739,"Metadata/Terrain/Missions/Hideouts/Darkwood/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/DarkwoodHideout","",1,"Darkwood Hideout",[],"",6801,""
13,7,-30514,"Metadata/Terrain/Missions/Hideouts/Space/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/CelestialNebulaHideout","",1,"Celestial Nebula Hideout",[],"",6802,""
14,8,30781,"Metadata/Terrain/Missions/Hideouts/ArenaGraveyardTrio/decoration.hideout","","Art/2DArt/UIImages/InGame/Hideout/HideoutImages/EntombedHideout","",1,"Entombed Hideout",[],"",6803,""
