"rownum","Id","Description","CharactersKey","Level","PassiveSkillsKeys","CharacterStartStateSetKey","rid","CharacterStartQuestStateKeys","bool","InfoText","rid","[rid]","[rid]","[rid]","[rid]","[rid]","[rid]","bool"
0,"StrFourDefault","Default",0,1,[],0,85,[],"","","",[],[],[],[],[],[],""
1,"IntFourDefault","Default",1,1,[],0,85,[],"","","",[],[],[],[],[],[],""
2,"DexFourDefault","Default",2,1,[],0,85,[],"","","",[],[],[],[],[],[],""
3,"StrDexFourDefault","Default",3,1,[],0,85,[],"","","",[],[],[],[],[],[],""
4,"DexIntFourDefault","Default",4,1,[],0,85,[],"","","",[],[],[],[],[],[],""
5,"StrIntFourDefault","Default",5,1,[],0,85,[],"","","",[],[],[],[],[],[],""
6,"StrFourBDefault","Default",6,1,[],0,85,[],"","","",[],[],[],[],[],[],""
7,"IntFourBDefault","Default",7,1,[],0,85,[],"","","",[],[],[],[],[],[],""
8,"DexFourBDefault","Default",8,1,[],0,85,[],"","","",[],[],[],[],[],[],""
9,"StrDexFourBDefault","Default",9,1,[],0,85,[],"","","",[],[],[],[],[],[],""
10,"DexIntFourBDefault","Default",10,1,[],0,85,[],"","","",[],[],[],[],[],[],""
11,"StrIntFourBDefault","Default",11,1,[],0,85,[],"","","",[],[],[],[],[],[],""
12,"WitchActFour","WitchActFour",1,42,[],0,"",[2],1,"","",[],[],[],[],[],[],""
13,"ActFiveMercenary","MercenaryActFive",9,52,[],0,"",[0],1,"","",[],[],[],[],[],[],""
14,"WitchActFive","WitchActFive",1,56,[],0,"",[1],1,"","",[],[],[],[],[],[],""
15,"TemplarActTwo","TemplarActTwo",5,18,"[3934,2493,1514,3486,3487,556,2523,2496,2500,309,2498,2495,308,4402,310,1510,2525]",0,101,[3],1,"","",[513],[],[],[],"[556,309,308,310]","[302,300,300,300]",""
16,"DruidActTwo","DruidActTwo",11,18,"[3934,3581,1514,3559,2437,556,2496,309,306,308,4402,307,513,310,3561,1510,2436]",0,101,[4],1,"","","[2435,2462]",[],[],[],"[556,309,306,308,307,310]","[302,300,300,300,300,300]",""
17,"MarauderActTwo","MarauderActTwo",0,18,[],0,101,[5],1,"","",[],[],[],[],[],[],""
18,"WarriorActTwo","WarriorActTwo",6,18,"[3128,864,1520,1005,1518,3925,3926,1396,3139,1521,324,1004,858,344,3127,1517,1519]",0,101,[6],1,"","",[1399],[],[],[],"[324,344]","[300,300]",""
