"rownum","string","[rid]","rid","[rid]","rid","i32","[rid]"
0,"fully_broken_armour_consumed_for_active_skill_hit_or_stun_damage","[18433,18464]",2245,"[18900,17919]","",0,[]
1,"fully_broken_armour_consumed_for_support_damage",[18279],2245,[18900],"",0,[]
2,"fully_broken_armour_consumed_to_guarantee_crit",[18280],2245,[340],"",0,[]
3,"fully_broken_armour_generic",[20474],2245,[],"",0,[]
4,"freeze_consumed_generic",[18896],2,[],"",0,[]
5,"freeze_consumed_to_guarantee_crit",[18854],2,[340],"",0,[]
6,"freeze_consumed_for_active_skill_hit_damage",[18567],2,[19374],"",0,[]
7,"freeze_consumed_for_active_skill_hit_damage_from_support",[20753],2,[20754],"",0,[]
8,"shock_consumed_generic",[18901],3,[],"",0,[]
9,"shock_consumed_for_active_skill_damage_per_5percent_shock_effect",[15813],3,[18902],15811,1045220557,[]
10,"ignite_consumed_by_elemental_discharge",[18867],0,[],"",0,[]
11,"freeze_consumed_by_elemental_discharge",[18867],2,[],"",0,[]
12,"shock_consumed_by_elemental_discharge",[18867],3,[],"",0,[]
13,"dazed_consumed_for_guarantee_crit",[19828],2443,[340],"",0,[19833]
14,"dazed_consumed_for_stun_buildup",[19829],2443,[19830],"",0,[19833]
