"rownum","Id","StatsKey","bool","StatMin","StatMax","bool"
0,"IsMagic",1902,"",1,1,""
1,"IsRare",1902,"",2,2,""
2,"IsUnique",1902,"",3,3,""
3,"IsTwinned",947,1,1,1,""
4,"IsUnidentified",1319,1,1,1,""
5,"IsCorrupted",2447,1,1,1,""
6,"Has4ExplicitMods",4329,1,4,4,""
7,"Has5ExplicitMods",4329,1,5,5,""
8,"Has8ExplicitMods",4329,1,8,8,""
9,"Has10TotalMods",6143,1,10,10,""
10,"Has3Leaguestones",5596,1,3,3,""
11,"HasZanaMod",7266,1,1,1,""
12,"HasCraftedMods",7267,1,1,1,""
13,"HasShaperInfluence",6469,"",1,1,""
14,"HasElderInfluence",6469,"",2,2,""
15,"HasShaperOrElderInfluence",6469,"",1,2,""
16,"IsWhiteTier",9474,"",1,5,""
17,"IsYellowTier",9474,"",6,10,""
18,"IsRedTier",9474,"",11,16,""
19,"IsTier15",9474,"",15,15,""
20,"IsTier16",9474,"",16,16,""
21,"HasSextantMod",5629,1,1,1,""
22,"HasNemesisSextant",4753,1,1,1,""
23,"HasGroundHasteSextant",4869,1,1,1,""
24,"HasNoReflectSextant",4894,1,1,1,""
25,"HasExtraTeamMonstersSextant",4902,1,1,1,""
26,"HasBodyguardsSextant",4931,1,1,1,""
27,"HasBarrelSextant1",4928,1,1,1,""
28,"HasBarrelSextant2",4955,1,1,1,""
29,"HasBarrelSextant3",4956,1,1,1,""
30,"HasBarrelSextant4",4957,1,1,1,""
31,"HasBarrelSextant5",4958,1,1,1,""
32,"HasBarrelSextant6",4959,1,1,1,""
33,"HasConvertOnDeathSextant",4901,1,1,1,""
34,"HasOnslaughtIfHitRecentlySextant",4853,1,1,1,""
35,"HasQualityAffectsRaritySextant",4886,1,1,1,""
36,"HasCorruptedDropsSextant",4888,1,1,1,""
37,"HasMinStrongboxRaritySextant",4954,1,1,1,""
38,"HasPossessedRustedScarabSextant",8821,1,1,1,""
39,"HasPossessedPolishedScarabSextant",8822,1,1,1,""
40,"HasPossessedGildedScarabSextant",8823,1,1,1,""
41,"HasPossessedWingedScarabSextant",8824,1,1,1,""
42,"HasPossessedUniqueDropSextant",8825,1,1,1,""
43,"HasPossessedMapDropSextant",8826,1,1,1,""
44,"HasShrineDurationSextant",5509,1,1,1,""
45,"HasCurrencyShardSextant",8830,1,1,1,""
46,"HasVaalMonstersSextant",8854,1,1,1,""
47,"HasBeyondSextant",8845,1,1,1,""
48,"HasTormentBetrayersSextant",8883,1,1,1,""
49,"HasTormentHereticsSextant",8884,1,1,1,""
50,"HasTormentGraverobbersSextant",8882,1,1,1,""
51,"HasCorruptEssenceSextant",9278,1,1,1,""
52,"HasTempests",3000,1,1,1,""
53,"HasLegionSextant",8842,1,1,1,""
54,"HasQuality",4887,1,20,20,""
55,"IsDeliriumMap",10901,1,1,1,""
56,"IsMaximumDelirium",10901,1,100,100,""
57,"AwakeningLevel8",10116,1,8,8,""
58,"ContainsElderGuardian",6201,1,1,1,""
59,"IsBlightedMap",9729,1,1,1,""
60,"IsUberBlightedMap",14119,1,1,1,""
61,"IsT10PlusHellscapeMap",14419,1,10,10,""
62,"HasIncreasedAreaOfEffect",3122,1,1,1,""
63,"HasMinusMaxResistances",975,"",-1,-1,1
64,"HasAdditionalProjectiles",962,1,1,1,""
65,"HasAttackSpeed",958,1,1,1,""
66,"HasCastSpeed",959,1,1,1,""
67,"HasMovementSpeed",957,1,1,1,""
68,"Has4SextantMods",5629,1,4,4,""
69,"HasTangleInfluence",9978,"",1,1,""
70,"HasCleansingFireInfluence",9978,"",2,2,""
71,"HasHeightOfHubrisAffectingArea",15598,1,1,1,""
72,"Has70PercentBossAoE",3132,1,70,70,""
73,"IsTier14Plus",9474,1,14,14,""
74,"Expedition5Remnants",14004,1,5,5,""
75,"Expedition15Remnants",14004,1,15,15,""
76,"IsLastMapOfAMemoryLine",16164,1,1,1,""
77,"IsFirstMapOfMemoryLineTier14Plus",16165,1,14,14,""
78,"IsAnyMemoryLine",16166,1,1,1,""
79,"IsAbyssMemoryLine",16166,"",1,1,""
80,"IsAmbushMemoryLine",16166,"",2,2,""
81,"IsAnarchyMemoryLine",16166,"",3,3,""
82,"IsBestiaryMemoryLine",16166,"",4,4,""
83,"IsBetrayalMemoryLine",16166,"",5,5,""
84,"IsBlightMemoryLine",16166,"",6,6,""
85,"IsBreachMemoryLine",16166,"",7,7,""
86,"IsDeliriumMemoryLine",16166,"",8,8,""
87,"IsDominationMemoryLine",16166,"",9,9,""
88,"IsEssenceMemoryLine",16166,"",10,10,""
89,"IsExpeditionMemoryLine",16166,"",11,11,""
90,"IsHarvestMemoryLine",16166,"",12,12,""
91,"IsHeistMemoryLine",16166,"",13,13,""
92,"IsIncursionMemoryLine",16166,"",14,14,""
93,"IsLegionMemoryLine",16166,"",15,15,""
94,"IsMetamorphMemoryLine",16166,"",16,16,""
95,"IsRitualMemoryLine",16166,"",17,17,""
96,"IsTormentMemoryLine",16166,"",18,18,""
97,"IsHarbingerMemoryLine",16166,"",19,19,""
98,"AtLeast100Quantity",1004,1,100,100,""
99,"AtLeast80Quantity",1004,1,80,80,""
100,"SextantMinimumRarity",4954,1,2,2,""
101,"SextantEnragedStrongbox",4917,1,25,25,""
102,"SextantBossHarbinger",8835,1,1,1,""
103,"SextantBossBodyguards",4931,1,1,1,""
104,"SextantHealingPacks",4897,1,4,4,""
105,"SextantConvertPacks",4901,1,4,4,""
106,"SextantHereticGhost",8884,1,1,1,""
107,"SextantBetrayerGhost",8883,1,1,1,""
108,"SextantGraverobberGhost",8882,1,1,1,""
109,"SextantGloomShrine",9320,1,1,1,""
110,"SextantResonatingShrine",9319,1,1,1,""
111,"IsAlvaMemoryLine",17857,"",3,3,""
112,"IsNikoMemoryLine",17857,"",5,5,""
113,"IsEinharMemoryLine",17857,"",2,2,""
114,"IsKiracMemoryLine",17857,"",7,7,""
115,"Tier1",9474,"",1,1,""
116,"Tier2",9474,"",2,2,""
117,"Tier3",9474,"",3,3,""
118,"Tier4",9474,"",4,4,""
119,"Tier5",9474,"",5,5,""
120,"Tier6",9474,"",6,6,""
121,"Tier7",9474,"",7,7,""
122,"Tier8",9474,"",8,8,""
123,"Tier9",9474,"",9,9,""
124,"Tier10",9474,"",10,10,""
125,"Tier11",9474,"",11,11,""
126,"Tier12",9474,"",12,12,""
127,"Tier13",9474,"",13,13,""
128,"Tier14",9474,"",14,14,""
129,"Tier15",9474,"",15,15,""
130,"Tier16",9474,"",16,16,""
