"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","bool","bool","bool","bool","rid","rid","i32","i32"
0,"TheMiller",0,2936,4119,"","","","","","","","","","",0,0
1,"MudBurrower",1,2929,4119,"","","","","","","","","","",100,500
2,"TreeOfSouls",2,"",4119,"","",1,"","","","","","","",0,0
3,"UnaLute",6,"",4119,"","",1,"","","","","","","",0,0
4,"GraveyardFight",7,3129,4119,"","","","","","","","","","",0,0
5,"TheOutcast",8,4791,4119,"","","","","","","","","","",0,0
6,"TheExecutioner",9,2994,4119,"","","","","","","","","","",0,0
7,"TheIronCount",10,3132,4119,"","","","","","","","","","",0,0
8,"FindTheSuicideNote",23,"",4119,"","",1,"","","","","","","",0,0
9,"AscentToPower",25,4885,4119,"","","","","","","","","","",0,0
10,"AscentToPower2",25,"",4119,"","",1,"","","","","","","",0,0
11,"CaravanRescue",16,3704,4119,"","","","","","","","","","",200,1000
12,"OpenTheDesertGates",17,4778,4119,"","","","","","","","","","",0,0
13,"PryTheFlameRuby",20,4568,4119,"","","","","","","","","","",400,2000
14,"BurnTheWaterGoddess",18,4571,4119,"","","","","","","","","","",400,2000
15,"StealTheMastodonTusks",19,4573,4119,"","","","","","","","","","",400,2000
16,"HornOfTheVastiri",17,"",4119,"","",1,"","","","","","","",0,0
17,"JungleDepthsLandmark",28,4869,4119,"","","","","","","","","","",0,0
18,"CleanseTheSnakePit",29,"",4119,"","",1,"","","","","","","",0,0
19,"RaidTheTreasureVault",30,4864,4119,"","","","","","","","","","",1000,5000
20,"KillTheBogWitch",31,3778,4119,"","","","","","","","","","",0,0
21,"SearchForTheVaalRepository",26,4849,4119,"","","","","","","","","","",0,0
22,"EndgameQuestlineTier1",43,"",4119,"","",1,"","","","","","","",0,0
23,"EndgameQuestlineTier2",43,"",4119,"","",1,"","","","","","","",0,0
24,"EndgameQuestlineTier3",43,"",4119,"","",1,"","","","","","","",0,0
25,"EndgameQuestlineTier4",43,"",4119,"","",1,"","","","","","","",0,0
26,"EndgameQuestlineTier5",43,"",4119,"","",1,"","","","","","","",0,0
27,"EndgameQuestlineTier6",43,"",4119,"","",1,"","","","","","","",0,0
28,"EndgameQuestlineTier7",43,"",4119,"","",1,"","","","","","","",0,0
29,"EndgameQuestlineTier8",43,"",4119,"","",1,"","","","","","","",0,0
30,"EndgameQuestlineTier9",43,"",4119,"","",1,"","","","","","","",0,0
31,"EndgameQuestlineTier10",43,"",4119,"","",1,"","","","","","","",0,0
32,"EndgameQuestlineTier11",43,"",4119,"","",1,"","","","","","","",0,0
33,"EndgameQuestlineTier12",43,"",4119,"","",1,"","","","","","","",0,0
34,"EndgameQuestlineTier13",43,"",4119,"","",1,"","","","","","","",0,0
35,"EndgameQuestlineTier14",43,"",4119,"","",1,"","","","","","","",0,0
36,"EndgameQuestlineTier15",43,"",4119,"","",1,"","","","","","","",0,0
37,"EndgameQuestInvestigateTower",44,"",4119,"","",1,"","","","","","","",0,0
