"rownum","string","rid","i32","i32","i32","i32","i32","i32","string","string","i32","bool","i32","i32","i32","i32","i32","u16","bool"
0,"0",35,0,0,72,8,1,0,"","I",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
1,"1",35,0,8,72,8,2,0,"","II",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
2,"2",35,0,16,72,8,3,0,"","III",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
3,"3",35,0,24,72,8,4,0,"","IV",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
4,"4",35,0,32,72,8,5,0,"","V",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
5,"5",35,0,40,72,8,6,1,"","VI",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
6,"6",35,0,48,72,8,7,1,"","VII",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
7,"7",35,0,56,72,8,8,1,"","VIII",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
8,"8",35,0,64,72,8,9,1,"","IX",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
9,"9",35,0,72,72,8,0,1,"","X",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
10,"10",35,0,80,72,8,11,2,"","XI",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
11,"11",35,0,88,72,8,12,2,"","XII",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
12,"12",35,0,96,72,8,13,2,"","XIII",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
13,"13",35,0,104,72,8,14,2,"","XIV",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
14,"14",35,0,112,72,8,15,2,"","XV",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
15,"15",35,0,120,72,8,16,2,"","XVI",72,"",-33554432,-16843010,-16843010,-16843010,218038014,0,""
16,"16","",0,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/BreachPrecursorMapStashIcon","",72,1,385875968,12,0,0,201326592,0,""
17,"17","",12,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/ExpeditionPrecursorMapStashIcon","",72,1,402653184,12,0,0,201326592,0,""
18,"18","",24,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/DeliriumPrecursorMapStashIcon","",72,1,419430400,12,0,0,201326592,0,""
19,"19","",36,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/RitualPrecursorMapStashIcon","",72,1,436207616,12,0,0,201326592,0,""
20,"20","",48,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/PrecursorMapStashIcon","",72,1,452984832,12,0,0,201326592,0,""
21,"21","",60,128,12,8,0,0,"Art/2DArt/UIImages/InGame/MTX/MapStash/BossPrecursorMapStashIcon","",72,1,469762048,12,0,0,201326592,0,""
