"rownum","string","rid","rid","i32","rid"
0,"0",491,"",231,""
1,"1",492,"",231,""
2,"2",493,"",231,""
3,"3",494,"",231,""
4,"4",495,"",231,""
5,"5",496,"",231,""
6,"6",497,"",231,""
7,"7",498,"",231,""
8,"8",499,"",231,""
9,"9",500,"",231,""
10,"10",53,"",231,""
11,"11",54,"",231,""
12,"12",55,"",231,""
13,"13",56,"",231,""
14,"14",57,"",231,""
15,"15",58,"",231,""
16,"16",59,"",231,""
17,"17",60,"",231,""
18,"18",61,"",231,""
19,"19",62,"",231,""
20,"20",63,"",231,""
21,"21",64,"",231,""
22,"22",65,"",231,""
23,"23",66,"",231,""
24,"24",67,"",231,""
25,"25",68,"",231,""
26,"26",69,"",231,""
27,"27",70,"",231,""
28,"28",71,"",231,""
29,"29",72,"",231,""
30,"30",73,"",231,""
31,"31",74,"",231,""
32,"32",75,"",231,""
33,"33",76,"",231,""
34,"34",501,"",231,""
35,"35",502,"",231,""
36,"36",503,"",231,""
37,"37",504,"",231,""
38,"38",505,"",231,""
39,"39",506,"",231,""
40,"40",507,"",231,""
41,"41",508,"",231,""
42,"42",509,"",231,""
43,"43",510,"",231,""
44,"44",511,"",231,""
45,"45",512,"",231,""
46,"83",513,"",231,""
47,"82",514,"",231,""
48,"81",515,"",231,""
49,"46",183,"",231,""
50,"47",184,"",231,""
51,"48",185,"",231,""
52,"49",186,"",231,""
53,"50",187,"",231,""
54,"51",188,"",231,""
55,"52",189,"",231,""
56,"53",190,"",231,""
57,"54",191,"",231,""
58,"55",192,"",231,""
59,"56",193,"",231,""
60,"57",194,"",231,""
61,"58",811,812,231,""
62,"59",812,813,231,""
63,"60",813,814,231,""
64,"61",814,815,231,""
65,"62",815,816,231,""
66,"63",816,817,231,""
67,"64",817,818,231,""
68,"65",818,819,231,""
69,"66",819,820,231,""
70,"67",516,517,231,""
71,"68",517,518,231,""
72,"69",518,519,231,""
73,"70",519,520,231,""
74,"71",520,521,231,""
75,"72",521,522,231,""
76,"73",522,523,231,""
77,"74",523,524,231,""
78,"75",524,525,231,""
79,"76",525,526,231,""
80,"77",526,527,231,""
81,"78",527,528,231,""
82,"79",528,529,231,""
83,"80",529,530,231,""
