"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","CopiedStats","bool"
0,"MeleePlayer","",[603],[16270],[10],1,0.055,0,[],""
1,"MeleeUnarmedPlayer","",[603],[16270],[10],1,0.055,0,[],""
2,"MeleeQuarterstaffPlayer","",[603],[16270],[10],1,0.055,0,[],""
3,"MeleeFlailPlayer","",[603],[16270],[10],1,0.055,0,[],""
4,"Melee1HSwordPlayer","",[603],[16270],[10],1,0.055,0,[],""
5,"MeleeSwordSwordPlayer","",[603],"[16270,9704]","[10,-30]",1,0.055,0,[],""
6,"Melee2HSwordPlayer","",[603],[16270],[10],1,0.055,0,[],""
7,"Melee1HAxePlayer","",[603],[16270],[10],1,0.055,0,[],""
8,"MeleeAxeAxePlayer","",[603],"[16270,9704]","[10,-30]",1,0.055,0,[],""
9,"Melee2HAxePlayer","",[603],[16270],[10],1,0.055,0,[],""
10,"Melee1HMacePlayer","",[603],[16270],[10],1,0.055,0,[],""
11,"MeleeMaceMacePlayer","","[603,1082]","[16270,9704]","[10,-30]",1,0.055,0,[],""
12,"Melee2HMacePlayer","",[603],[16270],[10],1,0.055,0,[],""
13,"MeleeClawPlayer","",[603],[16270],[10],1,0.055,0,[],""
14,"MeleeClawClawPlayer","",[603],"[16270,9704]","[10,-30]",1,0.055,0,[],""
15,"MeleeDaggerPlayer","",[603],[16270],[10],1,0.055,0,[],""
16,"MeleeDaggerDaggerPlayer","",[603],"[16270,9704]","[10,-30]",1,0.055,0,[],""
17,"MeleeSpearPlayer","",[603],[16270],[10],1,0.055,0,[],""
18,"MeleeBowPlayer","","[488,4415,6480,10057,816,18623,18709]","[18616,18677,20405]","[-70,160,60]",1,0.055,0,[],""
19,"MeleeCrossbowPlayer","","[488,18385,18471,4415,6480,10057,18509,9012,8806,18623]","[18470,18517,18524,18525,18526,18543,18616,18677,20405]","[90,10,2,8,300,0,-70,160,60]",1,0.055,0,[],""
20,"PlaytestAttack",33,[603],[16270],[10],1,0,0,[],""
21,"PlaytestSlam","",[603],"[16270,17750]","[10,25]",1,0,0,[],""
22,"PlaytestSpell",3,"[488,4415,10057,18623,6480,18709]",[],[],1,0,0,[],""
23,"PlaytestSpellExplosion",5,[603],[17750],[7],1,0,0,[],""
24,"FireboltPlayer",3,"[488,4415,10057,18623,6480,18709]","[18616,18677,20405,11459]","[-70,160,60,100]",2.4,0.14,0.0065,[],""
25,"FireboltExplosionPlayer",5,"[603,20733]",[17750],[7],1,0.055,0,[],""
26,"CommandCompanionPlayer",85,"[18573,18623,18919]","[18616,18677,20405]","[-70,160,60]",1,0.055,0,[],""
27,"CommandUnloadAmmoPlayer","","[18573,18623,18919,2876]","[18616,18677,20405,18446]","[-70,160,60,7]",1,0.055,0,[],""
28,"IceNovaPlayer",12,"[603,104,18623]","[17985,17984,17986,17750,7968,16720,18616,18677,20405]","[50,-90,20,32,1,100,-70,160,60]",1.34,0.14,0.0065,[],""
29,"LeapSlamPlayer","","[603,9328,1953,19873]","[18513,16633,16270,17543,16637,16656,18464,17750,1862]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
30,"ShieldChargePlayer",38,"[603,9345,1953]","[17750,18290,349,18687,452,18748,18749,18754,18755,18767]","[24,1300,5000,120,80,0,400,10,-20,0]",1.21,0.1165,0.0067,[],""
31,"DetonateDeadPlayer","","[603,18623]","[17750,18616,18677,20405,18911,18829,18992]","[26,-70,160,60,26,200,400]",2,0.14,0.0065,[],""
32,"RaiseZombiePlayer",79,"[18623,20393]","[447,18455,159,18877,18616,18677,20405,18988,18990,20523,349]","[1,25,10,0,-70,160,80,25,100,30,20000]",0,0.0927,0,[],""
33,"FlickerStrikePlayer","","[1808,1953,18008,603]",[18007],[2],0,0.0927,0,[],""
34,"SparkPlayer","","[488,17940,4415,6480,10057,18623]","[349,17552,11393,18616,18677,20405]","[2000,20,1009,-70,160,60]",1.14,0.14,0.0065,[],""
35,"UniqueEarthboundTriggeredSparkPlayer","","[488,17940,4415,6480,10057,18623]","[349,17552,11393,18616,18677,20405,20813]","[2000,20,1009,-70,160,60,100]",1.14,0.14,0.0065,[],""
36,"SummonSpectrePlayer",79,"[18448,20393]",[18449],[12000],0,0.0927,0,[],""
37,"FrostWallPlayer","","[1953,603,18623]","[498,349,17750,18616,18677,20405,18454]","[150,8000,20,-70,160,60,50]",2.28,0.14,0.0065,[],""
38,"ShockNovaPlayer","","[603,18623,17747]","[18616,18677,20405,17973]","[-70,160,60,100]",1.306,0.14,0.0065,[],""
39,"TemporalChainsPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",0,0.0927,0,[],""
40,"EnfeeblePlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",0,0.0927,0,[],""
41,"SnipersMarkPlayer","","[2876,18623]","[349,18616,18677,20405,20672]","[8000,-70,160,60,1]",0,0.0927,0,[],""
42,"VulnerabilityPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",0,0.0927,0,[],""
43,"LightningWarpPlayer","","[1953,603,17980,18623]","[17750,20594,18616,18677,20405]","[40,10000,-70,160,60]",3.6,0.14,0.0065,[],""
44,"ArmourBreakerPlayer","","[104,603,9242]","[1193,16270,9704]","[2,17,40]",1,0.055,0,[],""
45,"FirestormPlayer",80,"[1953,603,18623,2248]","[597,11758,349,17750,17753,18616,18677,20405,21109]","[100,1,6000,10,56,-70,160,60,150]",0.96,0.14,0.0065,[],""
46,"FallingThunderPlayer",2,[603],"[1067,16270,18257,17750]","[60,21,120,40]",0.62,0.14,0.0065,[],""
47,"FallingThunderProjectilePlayer",3,"[488,4385,17940,4415,6480,10057,20190,20733]","[6703,1067,17614,19675,17612]","[50,40,3,100,25]",0.62,0.14,0.0065,"[17750,17752]",""
48,"PowerSiphonPlayer","","[17980,18623,1185]","[18616,18677,20405]","[-70,160,60]",0.37,0.14,0.0095,[],""
49,"LightningArrowPlayer",3,"[488,4415,6480,10057,816,18385,18623,18643,18709]","[1067,768,17750,18616,18677,20405]","[40,2,24,-70,160,60]",0.67,0.0927,0.0233,[],""
50,"DisciplinePlayer","",[2876],[19010],[1],1,0.0927,0,[],""
51,"ShockwaveTotemPlayer",77,"[822,18999,18703,13547]","[828,830,18704,18737,18743,834]","[12000,80,23,500,3000,1]",1.941,0.1165,0.0067,[],""
52,"ShockwaveTotemQuakePlayer",43,"[603,9345,1746]","[17750,17753,16614]","[30,60,2]",1,0.055,0,[],""
53,"ShockwaveTotemJaggedQuakePlayer",16,[],[],[],1,0.055,0,[],1
54,"KnifeFlipPlayer","",[488],"[10278,10354,6703,349,169,2445]","[40,1,50,6000,-30,80]",2.1717,0.0927,0.0436,[],""
55,"ArcPlayer","","[8806,18623,18709]","[8365,7484,18694,18616,18677,20405]","[35,10,0,-70,160,60]",3.1,0.14,0.0065,[],""
56,"ArcticArmourPlayer","",[],[],[],2.18,0.14,0.0065,[],""
57,"FlammabilityPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",1,0.0927,0,[],""
58,"HypothermiaPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",1,0.0927,0,[],""
59,"ConductivityPlayer","","[2876,18623]","[18451,18616,18677,20405]","[1000,-70,160,60]",1,0.0927,0,[],""
60,"BallLightningPlayer","","[488,603,18623]","[18694,18616,18677,20405,17750,19150]","[750,-70,160,60,18,200]",0.3,0.14,0.0065,[],""
61,"PurityOfFirePlayer","",[2876],[19010],[1],1,0.0927,0,[],""
62,"PurityOfIcePlayer","",[2876],[19010],[1],1,0.0927,0,[],""
63,"PurityOfLightningPlayer","",[2876],[19010],[1],1,0.0927,0,[],""
64,"FlameblastPlayer","","[603,1953,18752,18229,18623]","[1957,7580,12338,17635,18290,18616,18677,20405,20522]","[200,4,10,600,490,-70,160,60,30]",0.8,0.14,0.0065,[],""
65,"BarragePlayer","","[18623,2876]","[349,19002,18662,18663,18616,18677,20405]","[5000,30000,2,1,-70,160,60]",1,0.0927,0,[],""
66,"BoneOfferingPlayer",39,"[18623,20393]","[349,3070,18616,18677,20405,19021]","[5000,5000,-70,160,60,1]",1.71,0.14,0.0065,[],""
67,"HeraldOfAshPlayer",39,[2876],[17981],[20],1,0.055,0,[],""
68,"HeraldOfAshOnKillPlayer",5,[20393],"[349,17750]","[3000,10]",1,0.055,0,"[17981,2876]",""
69,"HeraldOfIcePlayer",39,"[2876,20393,21101]",[],[],1,0.055,0,[],""
70,"HeraldOfIceOnKillPlayer",5,"[603,1953,3063,1678,1289]","[17750,1066]","[18,100]",1,0.055,0,"[2876,20393,21101]",""
71,"HeraldOfThunderPlayer",39,[2876],[],[],1,0.055,0,[],""
72,"HeraldOfThunderOnKillPlayer",28,"[1953,1288,3063]","[1067,17750]","[100,16]",1,0.055,0,[2876],""
73,"InfernalCryPlayer","","[11454,18623,20393]","[17990,17991,11188,349,17750,18326,18759,18616,18677,20405]","[25,100,1,8000,40,200,1,-70,160,80]",1,0.055,0,[],""
74,"InfernalCryCorpseExplosionPlayer","","[1953,2229,603,11220,20733,1598]","[17750,18156]","[16,10]",1.41,0.14,0.0065,[],""
75,"SSMQuadrillaRock","","[2386,854]","[850,2096,4596]","[1022,1,-99]",1,0.0927,0,[],""
76,"MarakethUndeadPriestRollingMagma","","[603,488,12825,4415,6480,18650,18623,18709,1851]","[18616,18677,169,17750,19033,19034,19035,167]","[0,50,150,10,7,25,12,2]",5.25,0.1,0.0175,[],""
77,"RollingMagmaPlayer","","[603,488,12825,4415,6480,18650,18623,18709]","[18616,18677,20405,19033,19034,19035,19036,19037,19038]","[-70,160,60,10,25,6,40,6,50]",2.56,0.14,0.0065,[],""
78,"FrostBombPlayer","","[603,1953,9012,18623]","[17750,349,3070,18423,645,18616,18677,20405]","[17,3000,5000,20,400,-70,160,60]",6.84,0.14,0.0065,[],""
79,"OrbOfStormsPlayer","","[1678,13190,8806,18623]","[8365,17750,17753,18844,18616,18677,20405,18965,18897,349]","[35,56,28,1,-70,160,80,25,75,10000]",0.86,0.14,0.0065,[],""
80,"EarthquakePlayer",4,"[603,14010,20816]","[18667,18668,17750,17756,16270,1862]","[4000,100,18,22,10,-30]",1.5,0.0927,0.0233,[],""
81,"EarthquakeAftershockPlayer",18,[20733],[17750],[16],1,0.055,0,[18667],1
82,"ContagionPlayer","","[3526,18623]","[349,17750,18634,18961,18616,18677,20405,19654]","[5000,17,100,300,-70,160,60,10000]",1.63,0.14,0.0087,[],""
83,"WitherPlayer","",[18623],"[3298,18616,18677,20405]","[6,-70,160,60]",1,0.055,0,[],""
