"rownum","rid","i32","BK2File","SoundFile","bool","BK2File2","bool","rid","f32"
0,40,0,"Art/Videos/CurrencyEffect_IncursionSuperCorruption.bk2","Audio/Sound Effects/Misc/CorruptionBreak/Break.ogg","","","","",1
1,3,0,"","",1,"Art/Videos/CurrencyEffect_ChaosOrb.bk2","",17838,1.75
2,238,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
3,239,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
4,240,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
5,241,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
6,242,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
7,243,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
8,244,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
9,245,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
10,246,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
11,247,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
12,248,0,"Art/Videos/LightDarkBox_Opening.bk2","",1,"","","",1
