"rownum","rid","i32","f32","i32","bool"
0,2262,320,21,1065562931,""
1,2263,400,27,1065562931,""
2,2267,400,27,1065562931,""
3,2269,320,21,1065562931,""
4,2270,400,27,1065562931,""
5,2271,320,21,1065562931,""
6,2272,400,27,1065562931,""
7,2273,320,21,1065562931,""
8,2275,400,27,1065562931,1
9,2276,400,27,1065562931,""
10,2277,400,27,1065562931,""
11,2278,400,27,1065562931,""
12,2279,400,27,1065562931,""
13,2280,400,27,1065562931,""
14,2281,290,19,1065562931,""
15,2282,290,19,1065562931,""
16,2283,290,19,1065562931,""
17,2284,290,19,1065562931,""
18,2285,290,19,1065562931,""
19,2286,290,19,1065562931,""
20,2287,280,19,1065562931,""
21,2288,280,19,1065562931,""
22,2289,280,19,1065562931,""
23,2290,280,19,1065562931,""
24,2291,280,19,1065562931,""
25,2292,280,19,1065562931,""
26,2293,280,19,1065562931,""
27,2294,280,19,1065562931,""
28,2295,280,19,1065562931,""
29,2296,280,19,1065562931,""
30,2297,280,19,1065562931,""
31,2298,280,19,1065562931,""
32,2299,290,19,1065562931,1
33,2300,290,19,1065562931,""
34,2301,290,19,1065562931,""
35,2303,290,19,1065562931,""
36,2304,1000,0,1065604874,""
37,2305,3000,0,1065604874,1
38,2306,2000,0,1065604874,""
39,2307,1600,0,1065604874,""
