"rownum","rid","[rid]"
0,2258,"[13760,13763,13766,13768,13770]"
1,2259,"[13773,13776,13779,13781,13783]"
2,2260,"[13786,13789,13792,13794,13796]"
3,2261,"[13799,13802,13805,13807,13809]"
4,2262,"[13812,13815,13818,13820,13822]"
5,2263,"[13825,13828,13831,13833,13835]"
6,2264,"[13838,13841,13844,13846,13848]"
7,2265,"[13851,13854,13857,13859,13861]"
8,2266,"[13864,13867,13870,13872,13874]"
9,2267,"[13877,13880,13883,13885,13887]"
10,2268,"[13890,13893,13896,13898,13900]"
11,2269,[13903]
12,2270,[13916]
13,2271,"[13929,13932,13935,13937,13939]"
14,2272,"[13942,13945,13948,13950,13952]"
15,2273,"[13955,13958,13963,13965,13967]"
16,2274,[13970]
17,2275,"[13986,13989,13992,13994,13996]"
18,2276,"[14001,14004,14007,14009,14011]"
19,2277,"[14016,14019,14022,14024,14026]"
20,2278,"[14031,14033,14035,14037,14039]"
21,2279,"[14044,14046,14048,14050,14052]"
22,2280,"[14057,14059,14061,14063,14065]"
23,2281,"[14070,14072,14074,14076,14078]"
24,2282,"[14081,14083,14085,14087,14089]"
25,2283,"[14092,14094,14096,14098,14100]"
26,2284,"[14103,14105,14107,14108,14109]"
27,2285,"[14111,14113,14115,14116,14117]"
28,2286,"[14119,14121,14123,14124,14125]"
29,2287,"[14127,14129,14131,14132,14133]"
30,2288,"[14135,14137,14139,14140,14141]"
31,2289,"[14143,14145,14147,14148,14149]"
32,2290,"[14151,14152,14153,14154,14155]"
33,2291,"[14157,14158,14159,14160,14161]"
34,2292,"[14163,14164,14165,14166,14167]"
35,2293,"[14169,14171,14173,14174,14175]"
36,2294,"[14177,14179,14181,14182,14183]"
37,2295,"[14185,14187,14189,14190,14191]"
38,2296,"[14193,14194,14195,14196,14197]"
39,2297,"[14199,14200,14201,14202,14203]"
40,2298,"[14205,14206,14207,14208,14209]"
41,2299,"[14211,14214,14217,14219,14221]"
42,2300,"[14224,14226,14228,14230,14232]"
43,2301,"[14235,14237,14239,14241,14243]"
44,2302,"[14246,14249,14252,14254,14256]"
45,2303,"[14259,14262,14265,14267,14269]"
46,2304,[14272]
47,2305,[14294]
48,2306,[14304]
49,2307,[14315]
