"rownum","i32","[rid]","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
0,40,[53],[],4,0,0,0,0,2,10,4,"","",2,"",0
1,41,[54],[],5,0,0,0,0,1,0,7,"","",2,"",0
2,43,[55],[],5,0,0,0,0,1,0,7,"","",2,"",0
3,44,[56],[],4,0,0,0,0,1,0,7,"","",2,"",0
4,86,"[73,74,75]",[],4,3,7,0,0,1,0,7,"","pods",2,1,0
5,91,[101],[],4,0,0,0,0,2,0,2,"","pods",2,1,0
6,92,[102],[],4,0,0,0,0,1,0,7,"","",2,"",0
7,93,[104],[],4,0,0,0,0,1,0,7,"","",2,"",0
8,95,[107],[],4,12,12,0,0,2,13,2,"","",2,"",0
9,96,[652],[],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
10,98,[110],[],4,0,0,0,0,1,0,7,"","",2,"",0
11,103,[111],[],4,0,0,0,0,1,0,7,"","",2,"",0
12,109,[509],[],4,0,0,0,0,1,0,7,"","pods",2,1,0
13,117,[581],[],4,0,0,0,0,1,0,4,"","",2,"",0
14,118,[582],[],4,0,0,0,0,1,0,4,"","",2,"",0
15,119,[583],[],4,0,0,0,0,1,0,4,"","",2,"",0
16,120,[584],[],4,0,0,0,0,1,0,4,"","",2,"",0
17,121,[585],[],4,0,0,0,0,1,0,4,"","",2,"",0
18,122,[586],[],4,0,0,0,0,1,0,4,"","",2,"",0
19,123,[587],[],4,0,0,0,0,1,0,4,"","",2,"",0
20,124,[588],[],4,0,0,0,0,1,0,4,"","",2,"",0
21,1000,"[116,117,118]",[],4,0,0,0,0,2,0,4,"","",2,"",0
22,1001,"[116,117,118]",[],4,0,0,0,0,2,0,4,"","",2,"",0
23,1002,"[116,117,118]",[],3,0,0,0,0,1,0,2,"","",2,"",0
24,1003,"[116,117,118]",[],4,0,5,0,0,1,0,7,"","",2,1,0
25,1004,[119],[],4,0,0,0,0,1,0,7,"","flank_markers",2,1,0
26,1005,[121],[],3,0,0,0,0,1,0,7,"","",2,"",0
27,1006,[122],[],4,0,0,0,0,1,0,7,"","sand_golem_spike",2,1,0
