"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",2891
1,"Woe",1,"",2892
2,"Greed",1,"",2893
3,"Contempt",1,"",2894
4,"Sorrow",2,"",2895
5,"Anger",2,"",2896
6,"Torment",2,"",2897
7,"Fear",2,"",2898
8,"Suffering",3,"",2899
9,"Rage",3,"",2901
10,"Wrath",3,"",2900
11,"Doubt",3,"",2902
12,"Anguish",4,"",2903
13,"Loathing",4,"",2904
14,"Spite",4,"",2906
15,"Zeal",4,"",2905
16,"Misery",5,"",2907
17,"Dread",5,"",2908
18,"Scorn",5,"",2909
19,"Envy",5,"",2910
20,"Hysteria",6,1,2911
21,"Insanity",6,1,2912
22,"Horror",6,1,2913
23,"Delirium",6,1,2914
24,"NotEssence",0,"",2915
