"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32","[string]"
0,17452,[],[],[1960],[],3,[]
1,9397,[],[],[1143],[],3,[]
2,9396,[],[],[1142],[],3,[]
3,3970,[],[],[575],[],3,[]
4,4009,[],[],[577],[],3,[]
5,12600,[],[],[1457],[],3,[]
6,10184,[],[],[871],[],3,[]
7,17051,[2547],[],[],[],3,[]
8,17516,[],[],[],"[563,564]",3,[]
9,17674,[3543],[],[],[],3,[]
10,17859,[],[],[1982],[],3,[]
11,18624,[8192],[],[],[],3,[]
12,18949,[],[],[],[],3,"[""\r""]"
13,20109,[8718],[],[],[],3,[]
14,20377,[8756],[],[],[],3,[]
15,20668,[],[],[2246],[],3,[]
16,20809,[8757],[],[],[],3,[]
