"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotGroup","string","i32","i32","i32"
0,"Metadata/Items/Currency/CurrencyUpgradeToMagic",11,266,80,0,1,1,1,0,"radeToMagic",0,0,0
1,"Metadata/Items/Currency/CurrencyAddModToMagic",16,351,80,1,1,1,1,0,"radeToMagic",0,0,0
2,"Metadata/Items/Currency/CurrencyUpgradeToRare",7,436,80,2,1,1,1,0,"radeToMagic",0,0,0
3,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",15,521,80,3,1,1,1,0,"radeToMagic",0,0,0
4,"Metadata/Items/Currency/CurrencyRerollRare",3,606,80,4,1,1,1,0,"radeToMagic",0,0,0
5,"Metadata/Items/Currency/CurrencyCorrupt",38,266,170,5,1,1,1,0,"radeToMagic",0,0,0
6,"Metadata/Items/Currency/CurrencyAddModToRare",14,351,170,6,1,1,1,0,"radeToMagic",0,0,0
7,"Metadata/Items/Currency/CurrencyModValues",26,436,170,7,1,1,1,0,"radeToMagic",0,0,0
8,"Metadata/Items/Currency/CurrencyRemoveMod",102,521,170,8,1,1,1,0,"radeToMagic",0,0,0
9,"Metadata/Items/Currency/CurrencyUpgradeRandomly",8,606,170,9,1,1,1,0,"radeToMagic",0,0,0
10,"Metadata/Items/Currency/CurrencyDuplicate",6,436,260,10,1,1,1,0,"radeToMagic",0,0,0
11,"Metadata/Items/Currency/CurrencyMagicQuality",1,130,375,11,1,1,1,0,"radeToMagic",0,0,0
12,"Metadata/Items/Currency/CurrencyArmourQuality",5,215,375,12,1,1,1,0,"radeToMagic",0,0,0
13,"Metadata/Items/Currency/CurrencyWeaponQuality",0,300,375,13,1,1,1,0,"radeToMagic",0,0,0
14,"Metadata/Items/Currency/CurrencyIdentification",2,258,465,14,1,1,1,0,"radeToMagic",0,0,0
15,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",25,173,465,15,1,1,1,0,"radeToMagic",0,0,0
16,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",22,580,375,16,1,1,1,0,"radeToMagic",0,0,0
17,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",23,665,375,17,1,1,1,0,"radeToMagic",0,0,0
18,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",24,750,375,18,1,1,1,0,"radeToMagic",0,0,0
19,"Metadata/Items/Currency/CurrencyGemQuality",19,622,465,19,1,1,1,0,"radeToMagic",0,0,0
20,"Metadata/Items/Currency/CurrencyFlaskQuality",18,707,465,20,1,1,1,0,"radeToMagic",0,0,0
21,"Metadata/Items/Currency/CurrencyAddEquipmentSocketShard",121,309,620,21,1,1,1,0,"radeToMagic",0,0,0
22,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",31,394,620,22,1,1,1,0,"radeToMagic",0,0,0
23,"Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard",119,479,620,23,1,1,1,0,"radeToMagic",0,0,0
24,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",34,564,620,24,1,1,1,0,"radeToMagic",0,0,0
25,"CraftingSlot","",418,360,25,2,4,1,2,"爀攀渀挀礀唀瀀最爀愀搀攀吀漀䴀愀最椀挀",0,0,0
26,"Generic1","",182,710,27,1,1,1,2,"radeToMagic",0,0,0
27,"Generic2","",266,710,28,1,1,1,2,"radeToMagic",0,0,0
28,"Generic3","",351,710,29,1,1,1,2,"radeToMagic",0,0,0
29,"Generic4","",437,710,30,1,1,1,2,"radeToMagic",0,0,0
30,"Generic5","",522,710,31,1,1,1,2,"radeToMagic",0,0,0
31,"Generic6","",607,710,32,1,1,1,2,"radeToMagic",0,0,0
32,"Generic7","",694,710,33,1,1,1,2,"radeToMagic",0,0,0
33,"Generic8","",179,800,34,1,1,1,2,"radeToMagic",0,0,0
34,"Generic9","",265,800,35,1,1,1,2,"radeToMagic",0,0,0
35,"Generic10","",351,800,36,1,1,1,2,"radeToMagic",0,0,0
36,"Generic11","",437,800,37,1,1,1,2,"radeToMagic",0,0,0
37,"Generic12","",522,800,38,1,1,1,2,"radeToMagic",0,0,0
38,"Generic13","",607,800,39,1,1,1,2,"radeToMagic",0,0,0
39,"Generic14","",694,800,40,1,1,1,2,"radeToMagic",0,0,0
