"rownum","Id","rid","rid","rid","[rid]","[rid]","[rid]","[rid]"
0,"Poisoner","","",405,[],[],[],[]
1,"VoidTouched","","",406,[],[],[],[]
2,"FrostTouched",6454,9,"",[1032],[],[],[]
3,"Freezer",6455,8,"",[],[],[],[]
4,"Raider","","",407,[],[],[],[]
5,"Deadeye","","",431,[],[],[],[]
6,"Bombardier","","","",[],[],[],[]
7,"FlameTouched",6450,9,"",[1031],[],[],[]
8,"Igniter",6451,8,"",[],[],[],[]
9,"ArcaneEnchanted","","",408,[],[593],[],[]
10,"Echoist","","",409,[],[],[],[]
11,"StormTouched",6452,9,"",[1033],[],[],[]
12,"Shocker",6453,8,"",[],[],[],[]
13,"Bonebreaker","","","",[],[],[],[]
14,"Bloodletter","","","",[],[],[],[]
15,"BloodletterMagic","","",411,[],[],[],[]
16,"SteelAttuned",6456,9,"",[],[],[],[]
17,"Gargantuan","","","",[],[],[],[]
18,"Berserker","","",412,[],[],[],[]
19,"Defender","","","",[],[653],[],[]
20,"Juggernaut","","",450,[],[],[],[]
21,"Vampiric","","",413,[],[],[],[]
22,"ChargeGenerator","","",414,[],[],[],[]
23,"SoulConduit","","","",[],[],[],[]
24,"Wealthy","","",415,[],[],[],[]
25,"Oppressor","","",428,[],[],[],[]
26,"Consecration","","",416,[],[],[],[]
27,"MonsterPeriodicEnrage","","",828,[1737],[618],[],[]
28,"HeraldOfTheObelisk","","","",[],[647],"[6436,6437]",[]
29,"UnionOfSouls","","","",[],[],[],[]
30,"Assassin","","",418,[],[],[],[]
31,"Trickster","","","",[1739],[],[],[]
32,"Necromancer","","",445,[],[],[],[]
33,"Rejuvenating","","","","[1735,1736]",[],[],[]
34,"Executioner","","","",[],[],[],[]
35,"Hexer","","","","[68,76]",[643],[],[]
36,"FlaskDrain","","","",[],[],[],[]
37,"GraspingVines","","",420,[],[],[5037],[]
38,"TimeBubble","","","",[],[],[],[]
39,"Saplings","","","",[],[650],[],[399]
40,"FrostWalker","","",421,[],[],[],[]
41,"GlacialCage",6460,10,"",[],[],[],[]
42,"SoulEater","","","",[],[],[],[]
43,"FlameWalker","","",422,[],[],[],[]
44,"CorpseExploder","","","",[],[],[],[]
45,"Prismatic",6567,9,"",[],[],[],[]
46,"VolatileFlameBlood","","","",[],[],[],[]
47,"MirrorImage","","","",[],[],[],[]
48,"LightningWalker","","",423,[],[],[],[]
49,"ManaDonut","","","",[],[],[],[]
50,"Corrupter","","",424,[],[],[],[]
51,"DivineTouched","","","",[],[],[],[]
52,"LivingCrystals","","","",[],[],[],[]
53,"CycleOfElements","","","",[],[],[],[]
54,"VoodooDoll","","","",[],[],[],[]
55,"Lunaris","","","",[],[],[],[]
56,"Solaris","","","",[],[],[],[]
57,"Arakaali","","","",[],[],[],[]
58,"BrineKing","","","",[],[],[],[]
59,"Tukohama","","","",[],[],[],[]
60,"Abberath","","","",[],[],[],[]
61,"Shakari","","","",[],[],[],[]
62,"Innocence","","","",[],[],[],[]
63,"Kitava","","","",[],[],[],[]
64,"Hasted","","",786,[],[],[],[]
65,"MonsterStrongerMinions","","",801,[],[],[],[]
66,"MonsterMinionStrongerMinions","","",802,[],[],[],[]
67,"MonsterManaSiphonAura","","","",[],[606],[],[]
68,"MonsterFlameBeacons","","",819,[],[607],[8779],[]
69,"MonsterFrostBeacons","","",820,[],[608],[8780],[]
70,"MonsterLightningBeacons","","",821,[],[609],[8781],[]
71,"MonsterImmuneAura1","","",822,[],[613],[],[]
72,"MonsterFireGroundOnDeath","","",833,[],"[569,570]",[],[]
73,"MonsterShockedGroundOnDeath","","",834,[],"[567,568]",[],[]
74,"MonsterChilledGroundOnDeath","","",835,[],"[571,572]",[],[]
75,"MonsterBurningGroundTrail","","","",[],[597],[],[]
76,"MonsterChilledGroundTrail","","","",[],[598],[],[]
77,"MonsterShockedGroundTrail","","","",[],[599],[],[]
78,"MonsterHealingNova","","",823,"[1735,1736]",[617],[],[]
79,"MonsterFlaskDrainAura","","","",[1728],[],[],[]
80,"MonsterRevivesMinions","","",825,[],[634],[],[]
81,"MonsterMinionsTakeLifeInstead","","",826,[],[],[],[827]
82,"MonsterMinionsTakeLifeInsteadMinions","","",827,[],[],[],[]
83,"MonsterShroudWalker","","",418,[],[573],[],[]
84,"MonsterCorpseExplode","","",832,[],[616],[],[]
85,"MonsterMagmaBarrier","","","",[],[602],[],[]
86,"MonsterBombadier","","","",[],[637],[],[]
87,"MonsterGlacialPrison","","",829,[],[595],[],[]
88,"MonsterFlamewaller","","",830,[],[596],[],[]
89,"MonsterLightningStorms","","",831,[],[574],[],[]
90,"MonsterLivingCrystals","","",430,[],[646],[],[]
91,"MonsterVolatilePlants","","",876,[],[575],[],[]
