"rownum","rid","bool","bool","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32"
0,36,"","",3699,"",6341,6342,"","","","","","","","","","","","","","","","",19956,2795,"","",11
1,7,"","",9071,545,6289,6290,6315,6316,6327,6328,6301,6302,13280,13281,96,37,2889,2906,"","",492,89,77,9304,"",738,9
2,8,"","",2284,2341,6287,6288,402,403,404,405,400,401,"","",2342,41,2882,2899,107,458,497,93,81,"",406,734,9
3,9,"","",9073,2309,6293,6294,6319,6320,6333,6334,6307,6308,"","",600,40,2881,2898,"","",490,92,80,9302,"",728,9
4,11,"","",9068,2709,6295,6296,6321,6322,6335,6336,6309,6310,"","",599,34,2892,2909,"","",493,86,74,9301,"",735,9
5,12,"","",9072,2339,6297,6298,6323,6324,6337,6338,6311,6312,"","",643,38,2887,2904,"","",496,90,78,9303,1059,731,9
6,13,1,"",14894,546,2139,2140,2141,2142,6331,6332,6305,6306,13282,13283,601,39,2891,2908,105,457,491,91,79,"",2785,737,5
7,14,1,"","","","","","","","","","","","","","","","","","","","","","","","",739,6
8,15,1,"",9073,2309,6293,6294,6319,6320,6333,6334,6307,6308,"","",600,40,2881,2898,"","",490,92,80,9302,"",730,3
9,16,1,"",9068,2709,6295,6296,6321,6322,6335,6336,6309,6310,"","",599,34,2892,2909,"","",493,86,74,9301,"",736,1
10,17,1,"",9072,2339,6297,6298,6323,6324,6337,6338,6311,6312,"","",643,38,2887,2904,"","",496,90,78,9303,1059,732,1
11,20,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
12,26,"","","","","","","","","","","","","","","","","","","","","","","","","",741,2
13,32,"","","","","","","","","","","","","","","","","","","","","","","","","",733,9
14,6,"","",9070,547,6291,6292,6317,6318,6329,6330,6303,6304,13278,13279,2710,36,2890,2907,"","",494,88,76,9305,"",740,7
15,37,1,"","","","","","","","","","","","","","","","","","","","","","","","","",11
16,57,1,"",9069,2340,6299,6300,6325,6326,6339,6340,6313,6314,"","",2711,35,2886,2903,106,456,495,87,75,9300,9277,739,6
17,77,"",1,12701,12705,12708,12709,12710,12711,12712,12713,12714,12715,"","",12706,"","","","","",12703,12702,12704,12707,"",1038,3
18,78,1,"",16640,16645,16647,16648,16649,16650,16651,16652,16653,16654,"","",16646,16656,"","","","",16643,16642,16644,"",16641,1039,4
19,79,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
20,83,"","",16419,16424,16427,16428,16429,16430,16431,16432,16433,16434,"","",16425,"","","","","",16422,16421,16423,16426,16420,"",8
21,92,"","","","","","","","","","","","","","","","","","","","","","","","","","",2
22,96,1,"","","","","","","","","","","","","","","","","","","","","","","","","",11
23,99,"","","","","","","","","","","","","","","","","","","","","","","","","","",11
