"rownum","Id","BuffDefinition","Buff_StatValues","AuraRadius","[i32]","[i32]","BuffVisual","f32","bool","Stats","i32","i32","bool","rid","bool"
0,"UltimatumRecoveryDebuff1",1683,"[-40,-40,-40]",0,[],[],"",0,1,[],1,0,"","",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1688,"[-50,-50]",0,[],[],"",0,1,[],1,0,"","",""
2,"UltimatumBuffsExpireFaster",1689,"[200,-66]",0,[],[],"",0,1,[],1,0,"","",""
3,"UltimatumCooldownSpeedDebuff",1690,[-80],0,[],[],"",0,1,[],1,0,"","",""
4,"UltimatumVulnerabilityDebuff",1679,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"","",""
5,"UltimatumMonsterSpeedBuff",1694,[25],0,[],"[-100,5,0]","",0,1,[],1,0,"","",""
6,"UltimatumResistancesDebuff1",1684,"[-15,-10]",0,[],[],"",0,1,[],1,0,"","",""
7,"UltimatumResistancesDebuff2",1684,"[-30,20]",0,[],[],"",0,1,[],1,0,"","",""
8,"UltimatumDefencesDebuff1",1685,[-40],0,[],[],"",0,1,[],1,0,"","",""
9,"UltimatumDefencesDebuff2",1685,[-80],0,[],[],"",0,1,[],1,0,"","",""
10,"UltimatumBossEnrage",1687,"[25,25]",0,[],[],"",0,1,[],1,0,"","",""
11,"UltimatumBloodFog",2568,[],0,[],[],"",0,1,[],1,0,"","",""
12,"Unhinged",1602,[],0,[],[],"",0,1,[],1,0,"","",""
13,"PainSuppression",1699,"[0,0,0]",0,[],[],"",0,1,"[13246,13180,13336]",1,0,"","",""
14,"PlayerDebuffExtraCriticalRolls",1713,[-1],0,[],[],"",0,1,[],1,0,"","",""
15,"PlayerDebuffHinderedMsOnFlaskUse",1714,[4000],0,[],[],"",0,1,[],1,0,"","",""
16,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1715,[1],0,[],[],"",0,1,[],1,0,"","",""
17,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1716,"[1,1]",0,[],[],"",0,1,[],1,0,"","",""
18,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1717,[1000],0,[],[],"",0,1,[],1,0,"","",""
19,"PlayerDebuffRandomProjectileDirection",1718,[1],0,[],[],"",0,1,[],1,0,"","",""
20,"UltimatumFrostInfection",359,[],1,[9],[],1561,0,1,[],1,0,"","",""
21,"PlayerDebuffAurasAlsoAffectEnemies",1720,[1],0,[],[],"",0,1,[],1,0,"","",""
22,"ScionMovementSpeed",498,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
23,"OccultistWitherNearbyEnemies",1158,[15000],0,[],[],"",0,1,[],1,0,"","",""
24,"ScionAuguryOfPenitence",552,[10],60,[3],[],"",0,1,[],1,0,"","",""
25,"OccultistPowerChargeOnManaSpent",860,[],0,[],[],"",0,1,[],1,0,"","",""
26,"OccultistNearbyEnemiesColdChaosResistLifeRegen",598,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"","",""
27,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",598,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"","",""
28,"ChampionMovementSpeed",497,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
29,"JuggernautPhysDamagePreventedAsLifeRegen",994,[],0,[],[],"",0,1,[],1,0,"","",""
30,"OccultistNearbyEnemiesChilled",1411,[],60,[3],[1],"",0,1,[],1,0,"","",""
31,"ChampionFortify",1836,[],0,[],[],"",0,1,[],20,0,"","",""
32,"ChampionFortifyHardMode",1836,[],0,[],[],"",0,1,[],10,0,"","",""
33,"PendulumOfDestruction",975,[],0,[],[],"",0,1,[],1,0,"","",""
34,"ChieftanPhysicalAsFireCycle",981,[100],0,[],[],"",0,1,[],1,0,"","",""
35,"ChampionDamageAgainstImpaled",1162,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
36,"SaboteurBlind",1411,[],35,[3],[9],"",0,1,[],1,0,"","",""
37,"AuguryOfPenitence",551,"[16,-8]",60,[3],[],"",0,1,[],1,0,"","",""
38,"AuguryOfPenitenceHardMode",551,"[8,-8]",60,[3],[],"",0,1,[],1,0,"","",""
39,"OccultistNearbyChilledEnemiesReducedHitDamage",1160,[-10],60,[3],[],"",0,1,[],1,0,"","",""
40,"OccultistNearbyHinderedEnemiesReducedDotDamage",1161,[-15],60,[3],[],"",0,1,[],1,0,"","",""
41,"SlayerCritMultiplier",1247,[-30],60,[3],[],"",0,1,[],1,0,"","",""
42,"GuardianDamageSpeedAreaIntimidate",1265,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
43,"HardModeGuardianIntimidateUnnerve",1265,"[0,0,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
44,"AfflictionNearbyEnemiesChilled",1411,[],30,[3],[1],"",0,1,[],1,0,"","",""
45,"AfflictionNearbyEnemiesFireExposure",1411,[],30,[3],"[3,10]","",0,1,[],1,0,"","",""
