"rownum","Id","Variant","i32","i32","TextAudio","RoundsMin","RoundsMax"
0,"ApproachShout",0,-256,256,13007,1,1
1,"ApproachShout",1,-256,256,13007,2,2
2,"ApproachShout",2,-256,256,13007,3,3
3,"ApproachShout",3,-256,256,13007,4,4
4,"ApproachShout",4,-256,256,13007,5,5
5,"ApproachShout",5,-256,256,13015,6,6
6,"ApproachShout",6,-256,256,13015,7,7
7,"ApproachShout",7,-256,256,13015,8,8
8,"ApproachShout",8,-256,256,13015,9,9
9,"ApproachShout",9,-256,-5,13042,0,0
10,"ApproachShout",10,-4,-2,13033,0,0
11,"ApproachShout",11,-1,-1,13021,0,0
12,"ApproachShout",12,0,0,12939,0,0
13,"ApproachShout",13,1,1,12951,0,0
14,"ApproachShout",14,2,2,12971,0,0
15,"ApproachShout",15,3,4,12974,0,0
16,"ApproachShout",16,5,256,12989,0,0
17,"PlayerWon",0,-256,-5,13628,0,10
18,"PlayerWon",1,-4,-2,13622,0,10
19,"PlayerWon",2,-1,-1,13616,0,10
20,"PlayerWon",3,0,0,13634,0,10
21,"PlayerWon",4,1,1,13634,0,10
22,"PlayerWon",5,2,4,13640,0,10
23,"PlayerWon",6,100,100,13613,0,10
24,"PlayerWon",7,5,256,13646,0,10
25,"PlayerLost",0,-256,-5,12909,0,10
26,"PlayerLost",1,-4,-2,12897,0,10
27,"PlayerLost",2,-1,-1,12870,0,10
28,"PlayerLost",3,0,0,12870,0,10
29,"PlayerLost",4,1,1,12870,0,10
30,"PlayerLost",5,2,4,12870,0,10
31,"PlayerLost",6,5,256,12870,0,10
