"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"G1_1",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"G1_2",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"G1_3",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"G1_4",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"G1_5",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"G1_6",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"G1_7_1",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"G1_7_2",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"G1_8",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"G1_9",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"G1_10",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"G1_11",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
13,"G1_12",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
14,"G1_13_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
15,"G1_13",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
16,"G1_14",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
17,"G1_15",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
18,"G2_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
19,"G2_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
20,"G2_3",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
21,"G2_4_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
22,"G2_4_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
23,"G2_4_3",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
24,"G2_5_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
25,"G2_5_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
26,"G2_6",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
27,"G2_7",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
28,"G2_8",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
29,"G2_9_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
30,"G2_9_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
31,"G2_10_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
32,"G2_10_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
33,"G2_11",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
34,"G2_12_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
35,"G2_12_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
36,"G3_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
37,"G3_2",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
38,"G3_3",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
39,"G3_4",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
40,"G3_5",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
41,"G3_6_1",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
42,"G3_7",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
43,"G3_8",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
44,"G3_9",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
45,"G3_10",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
46,"G3_11",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
47,"G3_12",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
48,"G3_14",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
49,"G3_15",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
50,"G3_16",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
51,"G3_17",0,0,0,1,0,660,0,0,0,0,0,0,13,10,0,0,0,0,0,100,0,0,0
52,"StoryNoEssence",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,"Story",0,0,0,0,0,20,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0
54,"Maps",0,0,0,4,0,792,0,33,15,0,0,0,13,10,0,0,0,0,0,0,0,13,10
